time,open,high,low,close,volume
2025-04-08 09:15:00,23.1,23.3,23.05,23.1,785400
2025-04-08 09:20:00,23.1,23.1,22.9,23.0,781100
2025-04-08 09:25:00,23.0,23.05,22.8,22.8,384200
2025-04-08 09:30:00,22.8,22.85,22.5,22.55,536500
2025-04-08 09:35:00,22.55,22.75,22.5,22.65,315600
2025-04-08 09:40:00,22.65,22.7,22.65,22.65,230300
2025-04-08 09:45:00,22.65,22.7,22.65,22.65,163800
2025-04-08 09:50:00,22.65,22.75,22.65,22.7,677000
2025-04-08 09:55:00,22.7,22.75,22.65,22.7,225600
2025-04-08 10:00:00,22.7,22.7,22.6,22.6,222400
2025-04-08 10:05:00,22.6,22.65,22.5,22.55,610800
2025-04-08 10:10:00,22.55,22.55,22.4,22.4,615300
2025-04-08 10:15:00,22.4,22.4,22.15,22.15,1089800
2025-04-08 10:20:00,22.15,22.25,22.15,22.2,1211200
2025-04-08 10:25:00,22.2,22.3,22.15,22.3,857800
2025-04-08 10:30:00,22.3,22.4,22.25,22.25,110000
2025-04-08 10:35:00,22.25,22.3,22.2,22.2,545900
2025-04-08 10:40:00,22.2,22.25,22.15,22.2,209000
2025-04-08 10:45:00,22.2,22.25,22.2,22.25,222900
2025-04-08 10:50:00,22.25,22.25,22.2,22.25,116400
2025-04-08 10:55:00,22.25,22.25,22.2,22.2,161100
2025-04-08 11:00:00,22.2,22.3,22.2,22.3,115000
2025-04-08 11:05:00,22.3,22.35,22.25,22.25,167400
2025-04-08 11:10:00,22.25,22.35,22.25,22.3,166000
2025-04-08 11:15:00,22.3,22.3,22.25,22.3,153500
2025-04-08 11:20:00,22.3,22.4,22.25,22.4,768500
2025-04-08 11:25:00,22.4,22.55,22.4,22.45,160200
2025-04-08 13:00:00,22.45,22.5,22.2,22.25,16125900
2025-04-08 13:05:00,22.25,22.35,22.2,22.3,296600
2025-04-08 13:10:00,22.3,22.3,22.2,22.25,373500
2025-04-08 13:15:00,22.25,22.3,22.15,22.15,3219400
2025-04-08 13:20:00,22.15,22.2,22.15,22.15,321700
2025-04-08 13:25:00,22.15,22.2,22.15,22.15,497600
2025-04-08 13:30:00,22.15,22.2,22.15,22.15,310200
2025-04-08 13:35:00,22.15,22.2,22.15,22.15,586600
2025-04-08 13:40:00,22.15,22.2,22.15,22.2,371500
2025-04-08 13:45:00,22.2,22.25,22.15,22.2,187300
2025-04-08 13:50:00,22.2,22.25,22.15,22.2,452700
2025-04-08 13:55:00,22.2,22.2,22.15,22.2,267700
2025-04-08 14:00:00,22.2,22.25,22.15,22.15,2263100
2025-04-08 14:05:00,22.15,22.2,22.15,22.15,194700
2025-04-08 14:10:00,22.15,22.2,22.15,22.15,3206000
2025-04-08 14:15:00,22.15,22.15,22.15,22.15,216600
2025-04-08 14:20:00,22.15,22.2,22.15,22.2,1443100
2025-04-08 14:25:00,22.2,22.2,22.15,22.2,874700
2025-04-08 14:45:00,22.15,22.15,22.15,22.15,865300
2025-04-09 09:15:00,20.75,21.9,20.75,21.35,2115200
2025-04-09 09:20:00,21.35,21.6,21.05,21.6,813200
2025-04-09 09:25:00,21.6,21.9,21.6,21.7,493500
2025-04-09 09:30:00,21.7,21.8,21.7,21.75,441500
2025-04-09 09:35:00,21.75,22.25,21.7,22.25,655100
2025-04-09 09:40:00,22.25,22.6,22.1,22.25,2787600
2025-04-09 09:45:00,22.25,22.5,22.1,22.4,8655200
2025-04-09 09:50:00,22.4,22.7,22.3,22.6,1686600
2025-04-09 09:55:00,22.6,22.75,22.6,22.65,381200
2025-04-09 10:00:00,22.65,22.8,22.65,22.75,830100
2025-04-09 10:05:00,22.75,22.85,22.7,22.75,694300
2025-04-09 10:10:00,22.75,22.8,22.4,22.4,974100
2025-04-09 10:15:00,22.4,22.5,22.35,22.45,299800
2025-04-09 10:20:00,22.45,22.5,22.4,22.4,416800
2025-04-09 10:25:00,22.4,22.5,22.25,22.3,560100
2025-04-09 10:30:00,22.3,22.35,22.15,22.25,1001400
2025-04-09 10:35:00,22.25,22.45,22.0,22.1,1217900
2025-04-09 10:40:00,22.1,22.15,22.05,22.1,553000
2025-04-09 10:45:00,22.1,22.15,22.05,22.05,464800
2025-04-09 10:50:00,22.05,22.15,22.0,22.0,527700
2025-04-09 10:55:00,22.0,22.0,21.65,21.7,641700
2025-04-09 11:00:00,21.7,21.75,21.6,21.7,260400
2025-04-09 11:05:00,21.7,22.15,21.7,22.0,275700
2025-04-09 11:10:00,22.0,22.0,21.75,21.85,279600
2025-04-09 11:15:00,21.85,21.9,21.7,21.75,345700
2025-04-09 11:20:00,21.75,21.85,21.65,21.7,335200
2025-04-09 11:25:00,21.7,21.75,21.5,21.55,689700
2025-04-09 13:00:00,21.55,21.65,21.45,21.65,977400
2025-04-09 13:05:00,21.65,22.0,21.65,21.9,135700
2025-04-09 13:10:00,21.9,22.2,21.9,22.05,229700
2025-04-09 13:15:00,22.05,22.15,22.05,22.15,188600
2025-04-09 13:20:00,22.15,22.15,22.1,22.1,244100
