time,open,high,low,close,volume
2025-04-08 09:15:00,35.0,35.5,34.6,34.85,174500
2025-04-08 09:20:00,34.85,34.85,34.75,34.75,113000
2025-04-08 09:25:00,34.75,34.8,34.3,34.3,159600
2025-04-08 09:30:00,34.3,34.5,33.95,34.05,172400
2025-04-08 09:35:00,34.05,34.8,33.95,34.7,198400
2025-04-08 09:40:00,34.7,34.7,34.2,34.3,101500
2025-04-08 09:45:00,34.3,34.3,34.2,34.2,39200
2025-04-08 09:50:00,34.2,34.3,34.2,34.2,53100
2025-04-08 09:55:00,34.2,34.2,34.1,34.15,92200
2025-04-08 10:00:00,34.15,34.15,33.95,33.95,161400
2025-04-08 10:05:00,33.95,33.95,33.65,33.65,146800
2025-04-08 10:10:00,33.65,33.7,33.6,33.6,196600
2025-04-08 10:15:00,33.6,33.65,33.55,33.6,164000
2025-04-08 10:20:00,33.6,33.6,33.5,33.55,240800
2025-04-08 10:25:00,33.55,33.6,33.5,33.55,138900
2025-04-08 10:30:00,33.55,33.65,33.5,33.6,103600
2025-04-08 10:35:00,33.6,33.65,33.6,33.6,47800
2025-04-08 10:40:00,33.6,33.7,33.6,33.6,68800
2025-04-08 10:45:00,33.6,33.65,33.6,33.6,35800
2025-04-08 10:50:00,33.6,33.65,33.6,33.65,33000
2025-04-08 10:55:00,33.65,33.65,33.6,33.6,44400
2025-04-08 11:00:00,33.6,33.7,33.6,33.6,101500
2025-04-08 11:05:00,33.6,33.7,33.55,33.65,22700
2025-04-08 11:10:00,33.65,33.7,33.65,33.7,39000
2025-04-08 11:15:00,33.7,33.9,33.7,33.8,54000
2025-04-08 11:20:00,33.8,33.9,33.8,33.85,29400
2025-04-08 11:25:00,33.85,34.0,33.85,33.95,51600
2025-04-08 13:00:00,33.95,34.0,33.9,33.9,70300
2025-04-08 13:05:00,33.9,33.9,33.8,33.85,77400
2025-04-08 13:10:00,33.85,33.85,33.75,33.75,34500
2025-04-08 13:15:00,33.75,33.8,33.65,33.65,82400
2025-04-08 13:20:00,33.65,33.65,33.5,33.5,333500
2025-04-08 13:25:00,33.5,33.55,33.5,33.5,724900
2025-04-08 13:30:00,33.5,33.5,33.5,33.5,77100
2025-04-08 13:35:00,33.5,33.5,33.5,33.5,38300
2025-04-08 13:40:00,33.5,33.5,33.5,33.5,29200
2025-04-08 13:45:00,33.5,33.5,33.5,33.5,78800
2025-04-08 13:50:00,33.5,33.5,33.5,33.5,60700
2025-04-08 13:55:00,33.5,33.5,33.5,33.5,111000
2025-04-08 14:00:00,33.5,33.5,33.5,33.5,130400
2025-04-08 14:05:00,33.5,33.5,33.5,33.5,8000
2025-04-08 14:10:00,33.5,33.5,33.5,33.5,8000
2025-04-08 14:15:00,33.5,33.5,33.5,33.5,25900
2025-04-08 14:20:00,33.5,33.5,33.5,33.5,8200
2025-04-08 14:25:00,33.5,33.5,33.5,33.5,4800
2025-04-08 14:45:00,33.5,33.5,33.5,33.5,19100
2025-04-09 09:15:00,31.2,32.5,31.2,31.9,1361600
2025-04-09 09:20:00,31.9,31.9,31.45,31.6,453300
2025-04-09 09:25:00,31.6,31.85,31.55,31.7,208400
2025-04-09 09:30:00,31.7,31.75,31.45,31.45,203500
2025-04-09 09:35:00,31.45,32.5,31.45,32.5,435300
2025-04-09 09:40:00,32.5,33.0,32.5,32.7,138700
2025-04-09 09:45:00,32.7,32.9,32.5,32.9,176000
2025-04-09 09:50:00,32.9,33.2,32.7,33.1,111600
2025-04-09 09:55:00,33.1,33.5,33.1,33.45,133300
2025-04-09 10:00:00,33.45,34.5,33.4,34.1,187800
2025-04-09 10:05:00,34.1,34.4,34.05,34.05,210900
2025-04-09 10:10:00,34.05,34.05,33.5,33.5,98400
2025-04-09 10:15:00,33.5,33.9,33.5,33.85,55900
2025-04-09 10:20:00,33.85,33.85,33.6,33.6,44600
2025-04-09 10:25:00,33.6,33.65,33.5,33.5,33100
2025-04-09 10:30:00,33.5,33.6,33.2,33.2,79900
2025-04-09 10:35:00,33.2,33.2,32.8,32.8,107400
2025-04-09 10:40:00,32.8,33.0,32.8,32.8,34600
2025-04-09 10:45:00,32.8,33.0,32.8,33.0,34000
2025-04-09 10:50:00,33.0,33.1,32.8,32.8,97200
2025-04-09 10:55:00,32.8,33.0,32.75,32.85,26300
2025-04-09 11:00:00,32.85,33.0,32.5,32.6,63000
2025-04-09 11:05:00,32.6,33.25,32.5,32.5,86900
2025-04-09 11:10:00,32.5,33.2,32.5,33.1,27800
2025-04-09 11:15:00,33.1,33.1,32.6,32.6,38600
2025-04-09 11:20:00,32.6,32.9,32.6,32.7,25000
2025-04-09 11:25:00,32.7,33.0,32.5,32.5,108500
2025-04-09 13:00:00,32.5,32.85,32.4,32.55,81900
2025-04-09 13:05:00,32.55,32.8,32.55,32.8,52900
2025-04-09 13:10:00,32.8,33.1,32.8,33.1,47600
2025-04-09 13:15:00,33.1,33.1,33.0,33.05,47400
2025-04-09 13:20:00,33.05,33.05,32.9,32.9,22000
2025-04-09 13:25:00,32.9,32.95,32.85,32.95,39500
2025-04-09 13:30:00,32.95,33.05,32.9,33.05,134500
2025-04-09 13:35:00,33.05,33.5,33.05,33.5,25600
2025-04-09 13:40:00,33.5,33.5,33.2,33.2,57300
2025-04-09 13:45:00,33.2,33.2,32.9,33.0,68100
2025-04-09 13:50:00,33.0,33.15,32.9,33.15,41900
2025-04-09 13:55:00,33.15,33.2,32.95,33.15,33000
2025-04-09 14:00:00,33.15,33.15,33.0,33.1,198400
2025-04-09 14:05:00,33.1,33.1,32.9,32.95,114800
2025-04-09 14:10:00,32.95,32.95,32.3,32.4,258700
2025-04-09 14:15:00,32.4,32.55,32.35,32.5,52000
2025-04-09 14:20:00,32.5,32.6,32.35,32.45,162200
2025-04-09 14:25:00,32.45,32.5,32.3,32.3,189300
2025-04-09 14:45:00,32.45,32.45,32.45,32.45,310400
2025-04-10 09:15:00,34.7,34.7,34.7,34.7,585500
2025-04-10 09:20:00,34.7,34.7,34.7,34.7,9500
2025-04-10 09:25:00,34.7,34.7,34.7,34.7,3200
2025-04-10 09:30:00,34.7,34.7,34.7,34.7,9800
2025-04-10 09:35:00,34.7,34.7,34.7,34.7,3700
2025-04-10 09:40:00,34.7,34.7,34.7,34.7,4800
2025-04-10 09:45:00,34.7,34.7,34.7,34.7,600
2025-04-10 09:55:00,34.7,34.7,34.7,34.7,300
2025-04-10 10:00:00,34.7,34.7,34.7,34.7,300
2025-04-10 10:05:00,34.7,34.7,34.7,34.7,100
2025-04-10 10:10:00,34.7,34.7,34.7,34.7,1200
2025-04-10 10:20:00,34.7,34.7,34.7,34.7,100
2025-04-10 10:25:00,34.7,34.7,34.7,34.7,100
2025-04-10 10:35:00,34.7,34.7,34.7,34.7,100
2025-04-10 10:50:00,34.7,34.7,34.7,34.7,1100
2025-04-10 10:55:00,34.7,34.7,34.7,34.7,3300
2025-04-10 13:00:00,34.7,34.7,34.7,34.7,8500
2025-04-10 13:10:00,34.7,34.7,34.7,34.7,300
2025-04-10 13:20:00,34.7,34.7,34.7,34.7,100
2025-04-10 13:35:00,34.7,34.7,34.7,34.7,1000
2025-04-10 13:40:00,34.7,34.7,34.7,34.7,700
2025-04-10 13:45:00,34.7,34.7,34.7,34.7,100
2025-04-10 14:00:00,34.7,34.7,34.7,34.7,800
2025-04-10 14:10:00,34.7,34.7,34.7,34.7,500
2025-04-10 14:45:00,34.7,34.7,34.7,34.7,100
2025-04-11 09:15:00,36.9,36.9,35.55,35.75,1370300
2025-04-11 09:20:00,35.75,36.0,35.7,35.9,178400
2025-04-11 09:25:00,35.9,36.15,35.9,35.95,253500
2025-04-11 09:30:00,35.95,36.05,35.85,35.85,195200
2025-04-11 09:35:00,35.85,35.95,35.8,35.8,247800
2025-04-11 09:40:00,35.8,35.8,35.65,35.65,416700
2025-04-11 09:45:00,35.65,35.75,35.65,35.7,78100
2025-04-11 09:50:00,35.7,35.7,35.65,35.7,74800
2025-04-11 09:55:00,35.7,35.75,35.65,35.7,39900
2025-04-11 10:00:00,35.7,35.85,35.7,35.85,130700
2025-04-11 10:05:00,35.85,35.95,35.85,35.95,61000
2025-04-11 10:10:00,35.95,36.4,35.9,36.4,178300
2025-04-11 10:15:00,36.4,36.4,36.0,36.0,127400
2025-04-11 10:20:00,36.0,36.05,36.0,36.05,47000
2025-04-11 10:25:00,36.05,36.05,36.0,36.05,44500
2025-04-11 10:30:00,36.05,36.05,36.0,36.0,91800
2025-04-11 10:35:00,36.0,36.05,36.0,36.05,28900
2025-04-11 10:40:00,36.05,36.1,36.0,36.05,66300
2025-04-11 10:45:00,36.05,36.1,36.05,36.05,28000
2025-04-11 10:50:00,36.05,36.1,36.05,36.05,140700
2025-04-11 10:55:00,36.05,36.1,36.0,36.05,90100
2025-04-11 11:00:00,36.05,36.1,36.0,36.05,18300
2025-04-11 11:05:00,36.05,36.05,36.0,36.0,26300
2025-04-11 11:10:00,36.0,36.0,35.95,36.0,111800
2025-04-11 11:15:00,36.0,36.0,35.95,35.95,21100
2025-04-11 11:20:00,35.95,35.95,35.9,35.9,98100
2025-04-11 11:25:00,35.9,35.9,35.85,35.9,76100
2025-04-11 13:00:00,35.9,35.9,35.65,35.7,289300
2025-04-11 13:05:00,35.7,35.95,35.7,35.95,78300
2025-04-11 13:10:00,35.95,36.0,35.9,35.95,132100
2025-04-11 13:15:00,35.95,36.0,35.9,36.0,102500
2025-04-11 13:20:00,36.0,36.1,35.95,36.0,185900
2025-04-11 13:25:00,36.0,36.15,36.0,36.15,168300
2025-04-11 13:30:00,36.15,36.25,36.15,36.2,174300
2025-04-11 13:35:00,36.2,36.3,36.15,36.25,186800
2025-04-11 13:40:00,36.25,36.25,36.2,36.25,92100
2025-04-11 13:45:00,36.25,36.3,36.15,36.15,115600
2025-04-11 13:50:00,36.15,36.3,36.15,36.2,132100
2025-04-11 13:55:00,36.2,36.4,36.2,36.4,82000
2025-04-11 14:00:00,36.4,36.45,36.35,36.4,97800
2025-04-11 14:05:00,36.4,36.5,36.4,36.4,133700
2025-04-11 14:10:00,36.4,36.45,36.4,36.45,125900
2025-04-11 14:15:00,36.45,36.6,36.45,36.55,159500
2025-04-11 14:20:00,36.55,36.7,36.55,36.7,139900
2025-04-11 14:25:00,36.7,36.8,36.65,36.75,138400
2025-04-11 14:45:00,36.75,36.75,36.75,36.75,171900
2025-04-14 09:15:00,37.0,37.0,36.4,36.45,370800
2025-04-14 09:20:00,36.45,36.5,36.4,36.5,72100
2025-04-14 09:25:00,36.5,36.7,36.5,36.65,106400
2025-04-14 09:30:00,36.65,36.7,36.55,36.65,62000
2025-04-14 09:35:00,36.65,36.65,36.6,36.6,43700
2025-04-14 09:40:00,36.6,36.65,36.5,36.6,56600
2025-04-14 09:45:00,36.6,36.6,36.45,36.45,278100
2025-04-14 09:50:00,36.45,36.45,36.4,36.4,59900
2025-04-14 09:55:00,36.4,36.45,36.4,36.45,29800
2025-04-14 10:00:00,36.45,36.5,36.4,36.5,35900
2025-04-14 10:05:00,36.5,36.5,36.45,36.45,24100
2025-04-14 10:10:00,36.45,36.55,36.45,36.5,38700
2025-04-14 10:15:00,36.5,36.5,36.45,36.45,113400
2025-04-14 10:20:00,36.45,36.5,36.4,36.4,52500
2025-04-14 10:25:00,36.4,36.5,36.4,36.4,18300
2025-04-14 10:30:00,36.4,36.45,36.4,36.4,51100
2025-04-14 10:35:00,36.4,36.4,36.35,36.35,76100
2025-04-14 10:40:00,36.35,36.4,36.3,36.3,115200
2025-04-14 10:45:00,36.3,36.35,36.3,36.3,30100
2025-04-14 10:50:00,36.3,36.4,36.3,36.35,29900
2025-04-14 10:55:00,36.35,36.35,36.25,36.3,80400
2025-04-14 11:00:00,36.3,36.35,36.25,36.3,23900
2025-04-14 11:05:00,36.3,36.3,36.25,36.25,30900
2025-04-14 11:10:00,36.25,36.25,36.1,36.1,56700
2025-04-14 11:15:00,36.1,36.15,36.1,36.15,29400
2025-04-14 11:20:00,36.15,36.15,36.05,36.1,53000
2025-04-14 11:25:00,36.1,36.15,36.1,36.1,41200
2025-04-14 13:00:00,36.1,36.2,36.0,36.1,128400
2025-04-14 13:05:00,36.1,36.2,36.1,36.2,25000
2025-04-14 13:10:00,36.2,36.35,36.2,36.3,39300
2025-04-14 13:15:00,36.3,36.45,36.3,36.35,74400
2025-04-14 13:20:00,36.35,36.4,36.3,36.35,38400
2025-04-14 13:25:00,36.35,36.4,36.3,36.3,40000
2025-04-14 13:30:00,36.3,36.55,36.3,36.5,54900
2025-04-14 13:35:00,36.5,36.6,36.45,36.55,48200
2025-04-14 13:40:00,36.55,36.6,36.5,36.55,111600
2025-04-14 13:45:00,36.55,36.55,36.45,36.55,66800
2025-04-14 13:50:00,36.55,36.55,36.3,36.35,70100
2025-04-14 13:55:00,36.35,36.45,36.35,36.35,26500
2025-04-14 14:00:00,36.35,36.45,36.35,36.4,27400
2025-04-14 14:05:00,36.4,36.45,36.35,36.4,20400
2025-04-14 14:10:00,36.4,36.45,36.35,36.4,33300
2025-04-14 14:15:00,36.4,36.45,36.4,36.4,15900
2025-04-14 14:20:00,36.4,36.7,36.4,36.7,135800
2025-04-14 14:25:00,36.7,36.85,36.55,36.75,304400
2025-04-14 14:30:00,36.75,36.75,36.75,36.75,1000
2025-04-14 14:45:00,37.0,37.0,37.0,37.0,305400
2025-04-15 09:15:00,36.6,36.6,36.2,36.2,109800
2025-04-15 09:20:00,36.2,36.45,36.2,36.35,88000
2025-04-15 09:25:00,36.35,36.5,36.35,36.45,31500
2025-04-15 09:30:00,36.45,36.6,36.45,36.5,30100
2025-04-15 09:35:00,36.5,36.6,36.5,36.5,44800
2025-04-15 09:40:00,36.5,36.75,36.5,36.75,38400
2025-04-15 09:45:00,36.75,36.75,36.65,36.7,49100
2025-04-15 09:50:00,36.7,36.7,36.5,36.5,28200
2025-04-15 09:55:00,36.5,36.6,36.5,36.6,13000
2025-04-15 10:00:00,36.6,36.6,36.5,36.6,8400
2025-04-15 10:05:00,36.6,36.65,36.5,36.65,61700
2025-04-15 10:10:00,36.65,36.7,36.6,36.65,38400
2025-04-15 10:15:00,36.65,36.7,36.6,36.65,49300
2025-04-15 10:20:00,36.65,36.7,36.6,36.6,30800
2025-04-15 10:25:00,36.6,36.65,36.6,36.6,28300
2025-04-15 10:30:00,36.6,36.6,36.55,36.6,17800
2025-04-15 10:35:00,36.6,36.6,36.5,36.55,50500
2025-04-15 10:40:00,36.55,36.55,36.5,36.5,52900
2025-04-15 10:45:00,36.5,36.55,36.45,36.5,62900
2025-04-15 10:50:00,36.5,36.5,36.45,36.45,25200
2025-04-15 10:55:00,36.45,36.5,36.35,36.35,105300
2025-04-15 11:00:00,36.35,36.4,36.3,36.3,48300
2025-04-15 11:05:00,36.3,36.3,36.25,36.25,48700
2025-04-15 11:10:00,36.25,36.3,36.25,36.3,25400
2025-04-15 11:15:00,36.3,36.3,36.25,36.3,67600
2025-04-15 11:20:00,36.3,36.3,36.2,36.25,73800
2025-04-15 11:25:00,36.25,36.25,36.15,36.15,78100
2025-04-15 11:30:00,36.15,36.15,36.15,36.15,300
2025-04-15 13:00:00,36.15,36.15,36.0,36.05,189700
2025-04-15 13:05:00,36.05,36.15,36.05,36.1,57100
2025-04-15 13:10:00,36.1,36.15,36.1,36.15,51900
2025-04-15 13:15:00,36.15,36.15,36.1,36.15,85700
2025-04-15 13:20:00,36.15,36.15,36.1,36.15,41900
2025-04-15 13:25:00,36.15,36.15,36.1,36.15,38500
2025-04-15 13:30:00,36.15,36.15,36.1,36.15,63600
2025-04-15 13:35:00,36.15,36.2,36.15,36.15,80600
2025-04-15 13:40:00,36.15,36.2,36.15,36.15,26700
2025-04-15 13:45:00,36.15,36.15,36.1,36.15,18200
2025-04-15 13:50:00,36.15,36.15,36.1,36.1,25000
2025-04-15 13:55:00,36.1,36.15,36.1,36.15,86600
2025-04-15 14:00:00,36.15,36.25,36.15,36.2,121800
2025-04-15 14:05:00,36.2,36.3,36.15,36.15,45900
2025-04-15 14:10:00,36.15,36.2,36.1,36.15,63500
2025-04-15 14:15:00,36.15,36.2,36.1,36.2,115800
2025-04-15 14:20:00,36.2,36.25,36.2,36.25,91900
2025-04-15 14:25:00,36.25,36.5,36.25,36.5,98100
2025-04-15 14:45:00,36.5,36.5,36.5,36.5,390000
2025-04-16 09:15:00,36.1,36.3,36.1,36.25,27300
2025-04-16 09:20:00,36.25,36.4,36.2,36.25,35200
2025-04-16 09:25:00,36.25,36.3,36.2,36.25,26500
2025-04-16 09:30:00,36.25,36.3,36.25,36.25,16000
2025-04-16 09:35:00,36.25,36.25,36.2,36.2,114000
2025-04-16 09:40:00,36.2,36.2,36.15,36.2,11500
2025-04-16 09:45:00,36.2,36.2,36.15,36.2,24200
2025-04-16 09:50:00,36.2,36.2,36.2,36.2,13800
2025-04-16 09:55:00,36.2,36.25,36.2,36.2,7700
2025-04-16 10:00:00,36.2,36.25,36.2,36.2,78500
2025-04-16 10:05:00,36.2,36.3,36.2,36.25,40600
2025-04-16 10:10:00,36.25,36.3,36.25,36.3,28900
2025-04-16 10:15:00,36.3,36.35,36.25,36.3,26200
2025-04-16 10:20:00,36.3,36.35,36.3,36.3,5100
2025-04-16 10:25:00,36.3,36.35,36.3,36.35,45900
2025-04-16 10:30:00,36.35,36.35,36.3,36.3,85000
2025-04-16 10:35:00,36.3,36.3,36.2,36.25,32500
2025-04-16 10:40:00,36.25,36.3,36.2,36.2,27700
2025-04-16 10:45:00,36.2,36.25,36.2,36.2,53900
2025-04-16 10:50:00,36.2,36.25,36.2,36.2,8200
2025-04-16 10:55:00,36.2,36.25,36.15,36.2,86900
2025-04-16 11:00:00,36.2,36.2,36.15,36.15,10300
2025-04-16 11:05:00,36.15,36.2,36.15,36.15,25800
2025-04-16 11:10:00,36.15,36.15,36.1,36.1,26200
2025-04-16 11:15:00,36.1,36.15,36.1,36.1,12300
2025-04-16 11:20:00,36.1,36.15,36.1,36.1,32000
2025-04-16 11:25:00,36.1,36.15,36.1,36.15,11600
2025-04-16 13:00:00,36.15,36.15,36.1,36.1,79300
