time,open,high,low,close,volume
2025-04-08 09:15:00,36.1,38.2,36.1,37.2,2527600
2025-04-08 09:20:00,37.2,37.45,36.05,36.65,1046800
2025-04-08 09:25:00,36.65,36.95,36.5,36.6,527000
2025-04-08 09:30:00,36.6,36.6,36.05,36.35,966400
2025-04-08 09:35:00,36.35,36.45,36.0,36.4,1404400
2025-04-08 09:40:00,36.4,36.4,36.0,36.35,771800
2025-04-08 09:45:00,36.35,36.35,36.25,36.25,493500
2025-04-08 09:50:00,36.25,36.25,36.0,36.1,2227800
2025-04-08 09:55:00,36.1,36.15,36.0,36.1,689300
2025-04-08 10:00:00,36.1,36.1,36.0,36.05,752300
2025-04-08 10:05:00,36.05,36.1,36.0,36.0,468800
2025-04-08 10:10:00,36.0,36.05,36.0,36.0,608100
2025-04-08 10:15:00,36.0,36.0,36.0,36.0,297900
2025-04-08 10:20:00,36.0,36.0,36.0,36.0,73500
2025-04-08 10:25:00,36.0,36.0,36.0,36.0,39600
2025-04-08 10:30:00,36.0,36.0,36.0,36.0,46800
2025-04-08 10:35:00,36.0,36.0,36.0,36.0,34100
2025-04-08 10:40:00,36.0,36.0,36.0,36.0,123400
2025-04-08 10:45:00,36.0,36.0,36.0,36.0,44500
2025-04-08 10:50:00,36.0,36.0,36.0,36.0,70000
2025-04-08 10:55:00,36.0,36.0,36.0,36.0,54000
2025-04-08 11:00:00,36.0,36.0,36.0,36.0,50000
2025-04-08 11:05:00,36.0,36.0,36.0,36.0,409400
2025-04-08 11:10:00,36.0,36.1,36.0,36.1,1003100
2025-04-08 11:15:00,36.1,36.25,36.05,36.25,128500
2025-04-08 11:20:00,36.25,36.25,36.2,36.2,131900
2025-04-08 11:25:00,36.2,36.3,36.2,36.25,167300
2025-04-08 13:00:00,36.25,36.3,36.0,36.05,452700
2025-04-08 13:05:00,36.05,36.2,36.0,36.15,175500
2025-04-08 13:10:00,36.15,36.15,36.0,36.0,247000
2025-04-08 13:15:00,36.0,36.05,36.0,36.0,383000
2025-04-08 13:20:00,36.0,36.0,36.0,36.0,807900
2025-04-08 13:25:00,36.0,36.0,36.0,36.0,168400
2025-04-08 13:30:00,36.0,36.0,36.0,36.0,21600
2025-04-08 13:35:00,36.0,36.0,36.0,36.0,27800
2025-04-08 13:40:00,36.0,36.0,36.0,36.0,59100
2025-04-08 13:45:00,36.0,36.0,36.0,36.0,557800
2025-04-08 13:50:00,36.0,36.15,36.0,36.05,278200
2025-04-08 13:55:00,36.05,36.05,36.0,36.0,149100
2025-04-08 14:00:00,36.0,36.0,36.0,36.0,37700
2025-04-08 14:05:00,36.0,36.0,36.0,36.0,40800
2025-04-08 14:10:00,36.0,36.0,36.0,36.0,7700
2025-04-08 14:15:00,36.0,36.0,36.0,36.0,13200
2025-04-08 14:20:00,36.0,36.0,36.0,36.0,5800
2025-04-08 14:25:00,36.0,36.0,36.0,36.0,20700
2025-04-08 14:45:00,36.0,36.0,36.0,36.0,76800
2025-04-09 09:15:00,33.8,34.2,33.8,33.9,1579600
2025-04-09 09:20:00,33.9,34.35,33.8,34.35,772100
2025-04-09 09:25:00,34.35,34.8,34.1,34.15,836400
2025-04-09 09:30:00,34.15,34.15,33.95,34.15,474400
2025-04-09 09:35:00,34.15,35.15,34.15,35.15,428500
2025-04-09 09:40:00,35.15,35.55,35.05,35.4,449700
2025-04-09 09:45:00,35.4,35.4,35.0,35.25,184400
2025-04-09 09:50:00,35.25,35.65,35.0,35.55,333200
2025-04-09 09:55:00,35.55,36.0,35.5,35.95,384300
2025-04-09 10:00:00,35.95,36.7,35.95,36.7,519100
2025-04-09 10:05:00,36.7,37.0,36.0,36.2,456600
2025-04-09 10:10:00,36.2,36.2,35.35,35.4,271100
2025-04-09 10:15:00,35.4,35.9,35.35,35.9,155900
2025-04-09 10:20:00,35.9,35.95,35.8,35.9,89900
2025-04-09 10:25:00,35.9,35.9,35.6,35.65,139800
2025-04-09 10:30:00,35.65,35.7,35.3,35.3,180700
2025-04-09 10:35:00,35.3,35.35,35.05,35.05,159300
2025-04-09 10:40:00,35.05,35.1,35.05,35.1,110200
2025-04-09 10:45:00,35.1,35.1,35.0,35.05,93800
2025-04-09 10:50:00,35.05,35.05,34.9,35.0,298300
2025-04-09 10:55:00,35.0,35.0,34.8,34.85,173000
2025-04-09 11:00:00,34.85,35.0,34.85,35.0,68200
2025-04-09 11:05:00,35.0,35.5,34.95,35.35,228700
2025-04-09 11:10:00,35.35,35.4,35.3,35.3,20800
2025-04-09 11:15:00,35.3,35.3,35.0,35.0,53400
2025-04-09 11:20:00,35.0,35.05,34.6,34.6,208200
2025-04-09 11:25:00,34.6,34.7,34.45,34.5,277700
2025-04-09 13:00:00,34.5,34.8,34.2,34.75,453700
