time,open,high,low,close,volume
2025-04-08 09:15:00,12.4,12.5,12.3,12.4,1443700
2025-04-08 09:20:00,12.4,12.4,12.25,12.25,557000
2025-04-08 09:25:00,12.25,12.3,12.1,12.1,886200
2025-04-08 09:30:00,12.1,12.15,11.9,12.0,1700800
2025-04-08 09:35:00,12.0,12.3,11.95,12.2,706300
2025-04-08 09:40:00,12.2,12.2,12.15,12.2,309200
2025-04-08 09:45:00,12.2,12.2,12.1,12.15,167200
2025-04-08 09:50:00,12.15,12.15,12.05,12.1,318100
2025-04-08 09:55:00,12.1,12.15,12.0,12.05,346500
2025-04-08 10:00:00,12.05,12.1,11.95,12.0,1204100
2025-04-08 10:05:00,12.0,12.0,11.95,12.0,750000
2025-04-08 10:10:00,12.0,12.05,11.95,12.0,846200
2025-04-08 10:15:00,12.0,12.0,11.95,11.95,457200
2025-04-08 10:20:00,11.95,12.05,11.95,12.0,924600
2025-04-08 10:25:00,12.0,12.0,11.9,11.95,384900
2025-04-08 10:30:00,11.95,12.0,11.95,12.0,241300
2025-04-08 10:35:00,12.0,12.0,11.95,12.0,376000
2025-04-08 10:40:00,12.0,12.05,11.95,12.0,331400
2025-04-08 10:45:00,12.0,12.05,11.95,12.05,963400
2025-04-08 10:50:00,12.05,12.05,11.95,11.95,331000
2025-04-08 10:55:00,11.95,12.0,11.9,11.9,429500
2025-04-08 11:00:00,11.9,11.95,11.9,11.95,146500
2025-04-08 11:05:00,11.95,12.05,11.95,12.0,428100
2025-04-08 11:10:00,12.0,12.15,12.0,12.1,510700
2025-04-08 11:15:00,12.1,12.2,12.1,12.2,283700
2025-04-08 11:20:00,12.2,12.25,12.15,12.25,288700
2025-04-08 11:25:00,12.25,12.3,12.25,12.25,167700
2025-04-08 11:30:00,12.25,12.25,12.2,12.2,99800
2025-04-08 13:00:00,12.2,12.25,12.1,12.1,788200
2025-04-08 13:05:00,12.1,12.15,12.05,12.05,232000
2025-04-08 13:10:00,12.05,12.15,12.05,12.1,213000
2025-04-08 13:15:00,12.1,12.15,12.05,12.1,341600
2025-04-08 13:20:00,12.1,12.1,12.0,12.0,294800
2025-04-08 13:25:00,12.0,12.05,11.95,11.95,1518100
2025-04-08 13:30:00,11.95,12.0,11.9,11.9,1813100
2025-04-08 13:35:00,11.9,11.95,11.9,11.9,713200
2025-04-08 13:40:00,11.9,11.95,11.9,11.95,1102500
2025-04-08 13:45:00,11.95,12.0,11.95,12.0,172400
2025-04-08 13:50:00,12.0,12.05,11.95,12.0,245500
2025-04-08 13:55:00,12.0,12.05,11.95,12.0,231000
2025-04-08 14:00:00,12.0,12.0,11.95,11.95,262800
2025-04-08 14:05:00,11.95,11.95,11.9,11.9,845500
2025-04-08 14:10:00,11.9,11.95,11.9,11.9,3162000
2025-04-08 14:15:00,11.9,11.9,11.9,11.9,223800
2025-04-08 14:20:00,11.9,11.9,11.9,11.9,743600
2025-04-08 14:25:00,11.9,11.95,11.9,11.9,1152500
2025-04-08 14:45:00,11.9,11.9,11.9,11.9,742300
2025-04-09 09:15:00,11.1,11.7,11.1,11.45,3587800
2025-04-09 09:20:00,11.45,11.5,11.3,11.5,1548600
2025-04-09 09:25:00,11.5,11.6,11.45,11.55,1278200
2025-04-09 09:30:00,11.55,11.55,11.45,11.5,671600
2025-04-09 09:35:00,11.5,11.9,11.5,11.9,1293400
2025-04-09 09:40:00,11.9,12.05,11.85,11.9,974700
2025-04-09 09:45:00,11.9,11.95,11.85,11.9,250300
2025-04-09 09:50:00,11.9,12.15,11.9,12.1,825700
2025-04-09 09:55:00,12.1,12.25,12.1,12.2,759400
2025-04-09 10:00:00,12.2,12.45,12.2,12.4,986200
2025-04-09 10:05:00,12.4,12.45,12.15,12.15,1879500
2025-04-09 10:10:00,12.15,12.2,12.0,12.0,1198200
2025-04-09 10:15:00,12.0,12.15,12.0,12.1,493100
2025-04-09 10:20:00,12.1,12.15,12.05,12.05,404100
2025-04-09 10:25:00,12.05,12.1,12.0,12.0,292600
2025-04-09 10:30:00,12.0,12.0,11.85,11.9,1267800
2025-04-09 10:35:00,11.9,11.95,11.85,11.95,408500
2025-04-09 10:40:00,11.95,11.95,11.9,11.95,146000
2025-04-09 10:45:00,11.95,11.95,11.9,11.95,99400
2025-04-09 10:50:00,11.95,11.95,11.9,11.9,43000
2025-04-09 10:55:00,11.9,11.95,11.9,11.95,74700
2025-04-09 11:00:00,11.95,11.95,11.85,11.9,330600
2025-04-09 11:05:00,11.9,12.05,11.85,12.0,471200
2025-04-09 11:10:00,12.0,12.0,11.95,11.95,78000
2025-04-09 11:15:00,11.95,12.0,11.95,11.95,242200
2025-04-09 11:20:00,11.95,12.0,11.9,11.95,366800
2025-04-09 11:25:00,11.95,11.95,11.85,11.9,485400
2025-04-09 11:30:00,11.9,11.9,11.85,11.85,31100
2025-04-09 13:00:00,11.85,11.95,11.8,11.95,1058300
2025-04-09 13:05:00,11.95,12.05,11.95,12.0,623900
2025-04-09 13:10:00,12.0,12.05,11.95,12.05,367900
2025-04-09 13:15:00,12.05,12.1,12.0,12.05,304600
2025-04-09 13:20:00,12.05,12.05,12.0,12.0,283800
2025-04-09 13:25:00,12.0,12.05,11.85,11.9,1079800
2025-04-09 13:30:00,11.9,11.95,11.9,11.95,595200
2025-04-09 13:35:00,11.95,12.05,11.9,11.95,1417000
2025-04-09 13:40:00,11.95,12.0,11.85,11.9,352500
2025-04-09 13:45:00,11.9,11.9,11.85,11.9,277800
2025-04-09 13:50:00,11.9,11.9,11.8,11.9,580600
2025-04-09 13:55:00,11.9,11.9,11.85,11.9,404800
2025-04-09 14:00:00,11.9,11.9,11.8,11.9,324100
2025-04-09 14:05:00,11.9,11.9,11.85,11.85,356000
2025-04-09 14:10:00,11.85,11.85,11.8,11.8,162000
2025-04-09 14:15:00,11.8,11.85,11.8,11.85,165000
2025-04-09 14:20:00,11.85,11.9,11.85,11.85,264400
2025-04-09 14:25:00,11.85,11.9,11.7,11.7,1378500
2025-04-09 14:45:00,11.7,11.7,11.7,11.7,389100
2025-04-10 09:15:00,12.5,12.5,12.5,12.5,608200
2025-04-10 09:20:00,12.5,12.5,12.5,12.5,441100
2025-04-10 09:25:00,12.5,12.5,12.5,12.5,15600
2025-04-10 09:30:00,12.5,12.5,12.5,12.5,36800
2025-04-10 09:35:00,12.5,12.5,12.5,12.5,1200
2025-04-10 09:40:00,12.5,12.5,12.5,12.5,13000
2025-04-10 09:45:00,12.5,12.5,12.5,12.5,1200
2025-04-10 09:50:00,12.5,12.5,12.5,12.5,1900
2025-04-10 09:55:00,12.5,12.5,12.5,12.5,14200
2025-04-10 10:00:00,12.5,12.5,12.5,12.5,13200
2025-04-10 10:05:00,12.5,12.5,12.5,12.5,1000
2025-04-10 10:10:00,12.5,12.5,12.5,12.5,100
2025-04-10 10:15:00,12.5,12.5,12.5,12.5,5700
2025-04-10 10:20:00,12.5,12.5,12.5,12.5,600
2025-04-10 10:30:00,12.5,12.5,12.5,12.5,1400
2025-04-10 10:35:00,12.5,12.5,12.5,12.5,1000
2025-04-10 10:40:00,12.5,12.5,12.5,12.5,5400
2025-04-10 10:45:00,12.5,12.5,12.5,12.5,1500
2025-04-10 10:50:00,12.5,12.5,12.5,12.5,300
2025-04-10 11:00:00,12.5,12.5,12.5,12.5,100
2025-04-10 11:05:00,12.5,12.5,12.5,12.5,300
2025-04-10 11:10:00,12.5,12.5,12.5,12.5,400
2025-04-10 11:15:00,12.5,12.5,12.5,12.5,2300
2025-04-10 11:20:00,12.5,12.5,12.5,12.5,10000
2025-04-10 13:00:00,12.5,12.5,12.5,12.5,18000
2025-04-10 13:05:00,12.5,12.5,12.5,12.5,900
2025-04-10 13:10:00,12.5,12.5,12.5,12.5,7400
2025-04-10 13:15:00,12.5,12.5,12.5,12.5,2400
2025-04-10 13:20:00,12.5,12.5,12.5,12.5,1500
2025-04-10 13:25:00,12.5,12.5,12.5,12.5,1700
2025-04-10 13:30:00,12.5,12.5,12.5,12.5,600
2025-04-10 13:35:00,12.5,12.5,12.5,12.5,600
2025-04-10 13:40:00,12.5,12.5,12.5,12.5,200
2025-04-10 13:55:00,12.5,12.5,12.5,12.5,3700
2025-04-10 14:00:00,12.5,12.5,12.5,12.5,100
2025-04-10 14:05:00,12.5,12.5,12.5,12.5,800
2025-04-10 14:10:00,12.5,12.5,12.5,12.5,1000
2025-04-10 14:15:00,12.5,12.5,12.5,12.5,50000
2025-04-10 14:20:00,12.5,12.5,12.5,12.5,10700
2025-04-10 14:25:00,12.5,12.5,12.5,12.5,1300
2025-04-10 14:45:00,12.5,12.5,12.5,12.5,400
2025-04-11 09:15:00,13.35,13.35,12.95,13.0,6245900
2025-04-11 09:20:00,13.0,13.05,12.95,12.95,1242900
2025-04-11 09:25:00,12.95,13.0,12.9,12.95,1247200
2025-04-11 09:30:00,12.95,13.0,12.95,12.95,935900
2025-04-11 09:35:00,12.95,12.95,12.8,12.8,1142900
2025-04-11 09:40:00,12.8,12.85,12.75,12.8,420900
2025-04-11 09:45:00,12.8,12.85,12.75,12.8,353400
2025-04-11 09:50:00,12.8,12.9,12.8,12.85,263400
2025-04-11 09:55:00,12.85,12.9,12.85,12.85,84800
2025-04-11 10:00:00,12.85,12.9,12.85,12.9,443000
2025-04-11 10:05:00,12.9,13.0,12.9,13.0,573900
2025-04-11 10:10:00,13.0,13.05,12.95,12.95,853900
2025-04-11 10:15:00,12.95,13.0,12.9,12.9,363200
2025-04-11 10:20:00,12.9,12.95,12.9,12.9,130600
2025-04-11 10:25:00,12.9,12.95,12.9,12.95,102200
2025-04-11 10:30:00,12.95,13.0,12.9,13.0,306900
2025-04-11 10:35:00,13.0,13.0,12.95,13.0,66000
2025-04-11 10:40:00,13.0,13.0,12.95,13.0,321100
2025-04-11 10:45:00,13.0,13.0,12.95,13.0,284800
2025-04-11 10:50:00,13.0,13.0,12.95,12.95,321000
2025-04-11 10:55:00,12.95,13.0,12.95,12.95,75900
2025-04-11 11:00:00,12.95,13.0,12.9,12.95,312700
2025-04-11 11:05:00,12.95,13.0,12.9,12.95,172200
2025-04-11 11:10:00,12.95,13.0,12.9,13.0,260600
2025-04-11 11:15:00,13.0,13.0,12.95,13.0,129100
2025-04-11 11:20:00,13.0,13.0,12.95,12.95,314100
2025-04-11 11:25:00,12.95,12.95,12.9,12.95,194700
2025-04-11 13:00:00,12.95,12.95,12.9,12.95,606800
2025-04-11 13:05:00,12.95,13.0,12.9,12.95,296500
2025-04-11 13:10:00,12.95,13.0,12.95,13.0,137000
2025-04-11 13:15:00,13.0,13.0,12.9,13.0,1107000
2025-04-11 13:20:00,13.0,13.05,12.95,13.05,1427000
2025-04-11 13:25:00,13.05,13.1,13.0,13.05,529200
2025-04-11 13:30:00,13.05,13.05,13.0,13.0,548900
2025-04-11 13:35:00,13.0,13.05,12.95,13.0,742800
2025-04-11 13:40:00,13.0,13.05,12.95,13.05,255500
2025-04-11 13:45:00,13.05,13.05,13.0,13.05,89700
2025-04-11 13:50:00,13.05,13.05,13.0,13.05,108300
2025-04-11 13:55:00,13.05,13.1,13.0,13.1,313700
2025-04-11 14:00:00,13.1,13.1,13.05,13.1,191700
2025-04-11 14:05:00,13.1,13.1,13.05,13.1,421300
2025-04-11 14:10:00,13.1,13.15,13.05,13.1,455800
2025-04-11 14:15:00,13.1,13.2,13.1,13.15,438400
2025-04-11 14:20:00,13.15,13.25,13.15,13.25,306800
2025-04-11 14:25:00,13.25,13.25,13.2,13.2,496000
2025-04-11 14:30:00,13.2,13.2,13.2,13.2,1500
2025-04-11 14:45:00,13.2,13.2,13.2,13.2,471200
2025-04-14 09:15:00,13.25,13.3,13.05,13.1,1309100
2025-04-14 09:20:00,13.1,13.15,13.1,13.15,360100
2025-04-14 09:25:00,13.15,13.2,13.1,13.2,564700
2025-04-14 09:30:00,13.2,13.25,13.15,13.2,390800
2025-04-14 09:35:00,13.2,13.2,13.15,13.2,804700
2025-04-14 09:40:00,13.2,13.2,13.15,13.15,251300
2025-04-14 09:45:00,13.15,13.2,13.1,13.1,199000
2025-04-14 09:50:00,13.1,13.15,13.1,13.1,458300
2025-04-14 09:55:00,13.1,13.15,13.05,13.1,216100
2025-04-14 10:00:00,13.1,13.15,13.1,13.15,172300
2025-04-14 10:05:00,13.15,13.15,13.1,13.15,201800
2025-04-14 10:10:00,13.15,13.15,13.1,13.15,27300
2025-04-14 10:15:00,13.15,13.15,13.05,13.05,264900
2025-04-14 10:20:00,13.05,13.1,13.05,13.05,251200
2025-04-14 10:25:00,13.05,13.1,13.05,13.1,170700
2025-04-14 10:30:00,13.1,13.1,13.05,13.05,854800
2025-04-14 10:35:00,13.05,13.05,13.0,13.05,359300
2025-04-14 10:40:00,13.05,13.05,12.95,13.0,1227500
2025-04-14 10:45:00,13.0,13.0,12.95,13.0,78300
2025-04-14 10:50:00,13.0,13.05,13.0,13.05,252500
2025-04-14 10:55:00,13.05,13.05,13.0,13.05,55300
2025-04-14 11:00:00,13.05,13.05,13.0,13.0,41500
2025-04-14 11:05:00,13.0,13.05,13.0,13.0,147600
2025-04-14 11:10:00,13.0,13.0,12.95,13.0,207100
2025-04-14 11:15:00,13.0,13.0,12.95,12.95,74900
2025-04-14 11:20:00,12.95,13.0,12.95,13.0,121200
2025-04-14 11:25:00,13.0,13.0,12.95,13.0,59100
2025-04-14 13:00:00,13.0,13.0,12.95,12.95,214200
2025-04-14 13:05:00,12.95,13.05,12.95,13.0,278900
2025-04-14 13:10:00,13.0,13.05,13.0,13.05,67500
2025-04-14 13:15:00,13.05,13.05,13.0,13.05,259500
2025-04-14 13:20:00,13.05,13.05,13.0,13.0,68900
2025-04-14 13:25:00,13.0,13.05,13.0,13.0,412600
2025-04-14 13:30:00,13.0,13.05,12.95,13.05,250800
2025-04-14 13:35:00,13.05,13.05,13.0,13.05,201200
2025-04-14 13:40:00,13.05,13.05,13.0,13.0,115600
2025-04-14 13:45:00,13.0,13.05,13.0,13.0,405300
2025-04-14 13:50:00,13.0,13.05,13.0,13.05,80900
