time,open,high,low,close,volume
2025-04-08 09:15:00,59.8,59.8,57.5,57.8,281400
2025-04-08 09:20:00,57.8,58.0,57.5,58.0,100300
2025-04-08 09:25:00,58.0,58.2,57.5,57.6,100100
2025-04-08 09:30:00,57.6,58.0,57.6,58.0,59000
2025-04-08 09:35:00,58.0,58.3,57.6,58.3,166100
2025-04-08 09:40:00,58.3,58.6,57.9,58.6,54200
2025-04-08 09:45:00,58.6,58.6,57.7,57.7,168600
2025-04-08 09:50:00,57.7,58.0,57.6,57.6,77600
2025-04-08 09:55:00,57.6,57.9,57.6,57.7,74100
2025-04-08 10:00:00,57.7,57.7,57.1,57.2,269000
2025-04-08 10:05:00,57.2,57.4,56.5,56.6,241100
2025-04-08 10:10:00,56.6,56.9,55.9,56.0,428700
2025-04-08 10:15:00,56.0,56.2,55.9,56.2,102100
2025-04-08 10:20:00,56.2,56.2,55.9,56.0,321600
2025-04-08 10:25:00,56.0,56.1,55.9,55.9,218400
2025-04-08 10:30:00,55.9,56.0,55.8,55.9,165200
2025-04-08 10:35:00,55.9,56.1,55.8,56.1,670300
2025-04-08 10:40:00,56.1,56.1,55.9,56.0,40600
2025-04-08 10:45:00,56.0,56.2,55.8,56.1,240300
2025-04-08 10:50:00,56.1,56.2,56.1,56.1,22800
2025-04-08 10:55:00,56.1,56.3,56.1,56.3,32300
2025-04-08 11:00:00,56.3,56.5,56.2,56.5,30600
2025-04-08 11:05:00,56.5,56.6,56.4,56.6,76100
2025-04-08 11:10:00,56.6,57.0,56.5,56.5,41000
2025-04-08 11:15:00,56.5,57.0,56.5,56.8,37200
2025-04-08 11:20:00,56.8,56.9,56.7,56.7,24800
2025-04-08 11:25:00,56.7,56.9,56.7,56.9,20700
2025-04-08 11:30:00,56.9,56.9,56.9,56.9,800
2025-04-08 13:00:00,56.9,57.0,56.4,56.4,269000
2025-04-08 13:05:00,56.4,56.5,56.1,56.2,86500
2025-04-08 13:10:00,56.2,56.2,55.9,55.9,310900
2025-04-08 13:15:00,55.9,56.1,55.8,56.0,115600
2025-04-08 13:20:00,56.0,56.2,55.9,55.9,129000
2025-04-08 13:25:00,55.9,56.0,55.8,55.8,271800
2025-04-08 13:30:00,55.8,55.9,55.8,55.9,346200
2025-04-08 13:35:00,55.9,55.9,55.8,55.8,580600
2025-04-08 13:40:00,55.8,56.0,55.8,55.9,74500
2025-04-08 13:45:00,55.9,56.0,55.8,55.8,56700
2025-04-08 13:50:00,55.8,56.0,55.8,55.9,51300
2025-04-08 13:55:00,55.9,56.0,55.8,55.8,67800
2025-04-08 14:00:00,55.8,55.9,55.8,55.8,413600
2025-04-08 14:05:00,55.8,55.9,55.8,55.8,95700
2025-04-08 14:10:00,55.8,55.8,55.8,55.8,27400
2025-04-08 14:15:00,55.8,55.8,55.8,55.8,35500
2025-04-08 14:20:00,55.8,55.8,55.8,55.8,73000
2025-04-08 14:25:00,55.8,55.8,55.8,55.8,51800
2025-04-08 14:45:00,55.8,55.8,55.8,55.8,59300
2025-04-09 09:15:00,52.0,53.5,52.0,52.5,544400
2025-04-09 09:20:00,52.5,54.6,52.5,54.0,199500
2025-04-09 09:25:00,54.0,54.6,53.5,54.1,194600
2025-04-09 09:30:00,54.1,54.1,53.6,53.8,104900
2025-04-09 09:35:00,53.8,55.0,53.5,55.0,220300
2025-04-09 09:40:00,55.0,55.6,54.0,54.3,272500
2025-04-09 09:45:00,54.3,55.3,54.3,55.3,152400
2025-04-09 09:50:00,55.3,55.7,55.0,55.0,185200
2025-04-09 09:55:00,55.0,55.8,55.0,55.7,141800
2025-04-09 10:00:00,55.7,59.7,55.7,58.4,385200
2025-04-09 10:05:00,58.4,58.4,55.8,56.5,209600
2025-04-09 10:10:00,56.5,56.5,55.5,55.8,357000
2025-04-09 10:15:00,55.8,56.3,55.8,56.3,169200
2025-04-09 10:20:00,56.3,56.3,56.0,56.2,50600
2025-04-09 10:25:00,56.2,56.3,55.9,56.0,120900
2025-04-09 10:30:00,56.0,56.0,55.6,55.7,148500
2025-04-09 10:35:00,55.7,55.7,55.5,55.6,50200
2025-04-09 10:40:00,55.6,55.7,55.5,55.7,25500
2025-04-09 10:45:00,55.7,55.7,55.5,55.6,92600
2025-04-09 10:50:00,55.6,55.6,55.5,55.5,30200
2025-04-09 10:55:00,55.5,55.6,55.5,55.6,14700
2025-04-09 11:00:00,55.6,55.6,55.4,55.5,70200
2025-04-09 11:05:00,55.5,56.4,55.5,56.1,133000
2025-04-09 11:10:00,56.1,56.1,55.4,55.4,26000
2025-04-09 11:15:00,55.4,55.8,55.4,55.8,20600
2025-04-09 11:20:00,55.8,55.8,55.4,55.4,46700
2025-04-09 11:25:00,55.4,55.5,55.0,55.0,86500
2025-04-09 11:30:00,55.0,55.0,55.0,55.0,3000
2025-04-09 13:00:00,55.0,55.5,54.7,55.4,253100
2025-04-09 13:05:00,55.4,55.7,55.1,55.5,63300
2025-04-09 13:10:00,55.5,55.8,55.4,55.7,116400
2025-04-09 13:15:00,55.7,56.0,55.7,56.0,102200
2025-04-09 13:20:00,56.0,56.1,56.0,56.1,59400
2025-04-09 13:25:00,56.1,56.2,55.9,56.1,274100
2025-04-09 13:30:00,56.1,56.3,56.1,56.3,107500
2025-04-09 13:35:00,56.3,56.4,56.1,56.2,118800
2025-04-09 13:40:00,56.2,56.2,55.6,55.6,321800
2025-04-09 13:45:00,55.6,55.6,55.0,55.1,171500
2025-04-09 13:50:00,55.1,55.3,54.8,54.9,256600
2025-04-09 13:55:00,54.9,55.0,54.7,54.7,306500
2025-04-09 14:00:00,54.7,54.8,54.3,54.4,319800
2025-04-09 14:05:00,54.4,54.5,54.3,54.3,117300
2025-04-09 14:10:00,54.3,54.3,53.5,53.6,371200
2025-04-09 14:15:00,53.6,54.3,53.5,53.7,198100
2025-04-09 14:20:00,53.7,55.0,53.7,53.9,308400
2025-04-09 14:25:00,53.9,55.0,53.0,53.0,790700
2025-04-09 14:30:00,53.0,53.0,52.5,52.5,43300
2025-04-09 14:45:00,52.5,52.5,52.5,52.5,640000
2025-04-10 09:15:00,56.1,56.1,56.1,56.1,138500
2025-04-10 09:20:00,56.1,56.1,56.1,56.1,7500
2025-04-10 09:25:00,56.1,56.1,56.1,56.1,5600
2025-04-10 09:30:00,56.1,56.1,56.1,56.1,6400
2025-04-10 09:35:00,56.1,56.1,56.1,56.1,400
2025-04-10 09:40:00,56.1,56.1,56.1,56.1,1400
2025-04-10 09:45:00,56.1,56.1,56.1,56.1,400
2025-04-10 09:50:00,56.1,56.1,56.1,56.1,500
2025-04-10 09:55:00,56.1,56.1,56.1,56.1,1200
2025-04-10 10:00:00,56.1,56.1,56.1,56.1,100
2025-04-10 10:05:00,56.1,56.1,56.1,56.1,400
2025-04-10 10:10:00,56.1,56.1,56.1,56.1,4300
2025-04-10 10:20:00,56.1,56.1,56.1,56.1,200
2025-04-10 10:30:00,56.1,56.1,56.1,56.1,200
2025-04-10 10:45:00,56.1,56.1,56.1,56.1,200
2025-04-10 10:55:00,56.1,56.1,56.1,56.1,500
2025-04-10 13:00:00,56.1,56.1,56.1,56.1,1900
2025-04-10 13:05:00,56.1,56.1,56.1,56.1,500
2025-04-10 13:20:00,56.1,56.1,56.1,56.1,300
2025-04-10 13:25:00,56.1,56.1,56.1,56.1,500
2025-04-10 13:45:00,56.1,56.1,56.1,56.1,100
2025-04-10 13:50:00,56.1,56.1,56.1,56.1,500
2025-04-10 13:55:00,56.1,56.1,56.1,56.1,1000
2025-04-10 14:00:00,56.1,56.1,56.1,56.1,600
2025-04-10 14:05:00,56.1,56.1,56.1,56.1,100
2025-04-10 14:45:00,56.1,56.1,56.1,56.1,1100
2025-04-11 09:15:00,59.8,59.8,58.0,58.6,1813500
2025-04-11 09:20:00,58.6,58.9,58.5,58.7,228800
2025-04-11 09:25:00,58.7,58.8,58.6,58.7,159000
2025-04-11 09:30:00,58.7,58.7,58.2,58.2,310400
2025-04-11 09:35:00,58.2,58.6,58.0,58.6,197000
2025-04-11 09:40:00,58.6,58.6,58.4,58.5,67500
2025-04-11 09:45:00,58.5,58.6,58.4,58.4,110100
2025-04-11 09:50:00,58.4,58.6,58.3,58.6,48000
2025-04-11 09:55:00,58.6,59.0,58.5,58.9,123400
2025-04-11 10:00:00,58.9,59.2,58.9,59.2,175300
2025-04-11 10:05:00,59.2,59.4,59.0,59.4,97100
2025-04-11 10:10:00,59.4,59.9,59.3,59.3,297000
2025-04-11 10:15:00,59.3,59.4,59.2,59.2,97800
2025-04-11 10:20:00,59.2,59.3,59.2,59.3,30700
2025-04-11 10:25:00,59.3,59.4,59.2,59.3,56800
2025-04-11 10:30:00,59.3,59.5,59.2,59.4,47000
2025-04-11 10:35:00,59.4,59.6,59.4,59.5,40900
2025-04-11 10:40:00,59.5,59.7,59.4,59.6,46000
2025-04-11 10:45:00,59.6,59.6,59.4,59.6,47100
2025-04-11 10:50:00,59.6,59.7,59.5,59.5,95800
2025-04-11 10:55:00,59.5,59.6,59.4,59.5,146200
2025-04-11 11:00:00,59.5,59.5,59.3,59.3,76700
2025-04-11 11:05:00,59.3,59.4,59.2,59.3,54000
2025-04-11 11:10:00,59.3,59.4,59.2,59.4,39500
2025-04-11 11:15:00,59.4,59.5,59.3,59.3,16900
2025-04-11 11:20:00,59.3,59.4,59.3,59.3,45900
2025-04-11 11:25:00,59.3,59.3,59.1,59.2,102600
2025-04-11 13:00:00,59.2,59.3,59.0,59.0,277100
2025-04-11 13:05:00,59.0,59.1,58.9,59.0,144300
2025-04-11 13:10:00,59.0,59.2,59.0,59.2,117000
2025-04-11 13:15:00,59.2,59.2,58.8,58.9,187900
2025-04-11 13:20:00,58.9,59.0,58.8,58.8,176600
2025-04-11 13:25:00,58.8,58.9,58.8,58.9,147000
2025-04-11 13:30:00,58.9,58.9,58.8,58.9,225700
2025-04-11 13:35:00,58.9,58.9,58.8,58.9,228600
2025-04-11 13:40:00,58.9,58.9,58.8,58.9,149800
