CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
ACB,2024,0,0,0,-164089000000,16709886000000,8371480000000,0,-1249000000,-919740000000,35058000000,-733310000000,0,-3884051000000,3752870000000,136071738000000,0,139824608000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8370231000000,147865000000,0,3507000000,0,0,0,0,-3884051000000,0
ACB,2023,0,0,0,-18340000000,19421985000000,37137701000000,0,-1500000000,-1276249000000,74955000000,-1197256000000,0,-3377435000000,32561510000000,103510228000000,0,136071738000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37136201000000,4038000000,0,0,0,0,0,0,-3377435000000,0
ACB,2022,0,0,0,152049000000,16413910000000,21476002000000,0,-201463000000,-511513000000,59599000000,-365878000000,0,0,20908661000000,82601567000000,0,103510228000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21274539000000,4741000000,-10520000000,6451000000,0,0,0,0,0,0
ACB,2021,0,0,0,-94964000000,12326573000000,39927382000000,0,-1483000000,-636100000000,21979000000,-462403000000,0,-2884000000000,36579496000000,46022071000000,0,82601567000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39925899000000,3265000000,0,0,0,0,0,0,0,0
ACB,2020,0,0,0,67987000000,9688384000000,10880417000000,0,-1156000000,-423132000000,17573000000,-395503000000,0,-140600000000,10343158000000,35678913000000,0,46022071000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10879261000000,3336000000,0,0,0,0,0,0,0,0
ACB,2019,0,0,0,66338000000,7707977000000,5816228000000,0,-1326000000,-535261000000,28522000000,-565843000000,0,1033523000000,6282582000000,29396331000000,0,35678913000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5814902000000,22135000000,0,58100000000,0,0,0,0,0,0
ACB,2018,0,0,0,44701000000,7145260000000,11910382000000,0,-5205000000,-373545000000,30232000000,-274499000000,0,-933000000000,10697678000000,18698653000000,0,29396331000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11905177000000,24625000000,0,34000000000,0,0,0,0,-100000000000,0
ACB,2017,0,0,0,521423000000,5798478000000,4890551000000,0,-5030000000,-713293000000,32159000000,-635745000000,0,-130000000000,4119776000000,14578877000000,0,18698653000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4885521000000,25174000000,0,5610000000,0,0,0,0,-130000000000,0
ACB,2016,0,0,0,200509000000,4226379000000,-192920000000,0,-5038000000,-584690000000,34278000000,-467546000000,0,3054000000000,2388496000000,12190381000000,0,14578877000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-197958000000,1578000000,0,224204000000,0,0,0,0,0,0
ACB,2015,0,0,0,38792000000,3901100000000,3056734000000,0,-10624000000,-261238000000,11999000000,130909000000,0,-627993000000,2549026000000,9641355000000,0,12190381000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046110000000,337254000000,0,65340000000,0,0,0,0,-627392000000,0
ACB,2014,0,0,0,-40845000000,2849216000000,1237876000000,0,-14798000000,-454851000000,63734000000,-301624000000,0,-1042550000000,-121096000000,9762451000000,0,9641355000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223078000000,11078000000,0,78415000000,0,0,0,0,-636847000000,0
ACB,2013,0,0,0,-61186000000,2223450000000,-6088589000000,0,-45000000000,-354501000000,44501000000,129645000000,0,-901743000000,-6905687000000,16668138000000,0,9762451000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6133589000000,6925000000,-6882000000,439602000000,0,0,0,0,-642322000000,0
