CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
ACB,2024,50902749000000,-0.02758615828177908,16789768000000,0.0464348643258819,50902749000000,-23108047000000,27794702000000,5464958000000,-2226173000000,3238785000000,1170752000000,200357000000,450312000000,1266132000000,-642495000000,623637000000,36214000000,33514759000000,-10902603000000,22612156000000,-1606285000000,21005871000000,-4216103000000,-4199699000000,-16404000000,0,16789768000000,16789768000000,3669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACB,2023,52346796000000,0.28619891174277867,16044733000000,0.17215858952310215,52346796000000,-27387226000000,24959570000000,4945751000000,-2023414000000,2922337000000,1110105000000,168383000000,2647140000000,1197217000000,-333846000000,863371000000,75610000000,32746516000000,-10874286000000,21872230000000,-1804231000000,20067999000000,-4023266000000,-3993022000000,-30244000000,0,16044733000000,16044733000000,3559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACB,2022,40698834000000,0.20718583868153734,13688193000000,0.42544570063604725,40698834000000,-17165305000000,23533529000000,5057559000000,-1531315000000,3526244000000,1048369000000,-387873000000,20648000000,1110494000000,-120800000000,989694000000,59456000000,28790067000000,-11605045000000,17185022000000,-70814000000,17114208000000,-3426015000000,-3445611000000,19596000000,0,13688193000000,13688193000000,3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACB,2021,33713810000000,0.05832736999300723,9602746000000,0.24989811687709063,33713810000000,-14769018000000,18944792000000,4026460000000,-1132497000000,2893963000000,871556000000,449960000000,244051000000,703159000000,-563696000000,139463000000,20212000000,23563997000000,-8229776000000,15334221000000,-3336109000000,11998112000000,-2395366000000,-2389079000000,-6287000000,0,9602746000000,9602746000000,2799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACB,2020,31855748000000,0.12494829173258874,7682823000000,0.2783533338203046,31855748000000,-17273625000000,14582123000000,2803484000000,-1108830000000,1694654000000,687187000000,166503000000,732115000000,495459000000,-215809000000,279650000000,19077000000,18161309000000,-7624268000000,10537041000000,-941153000000,9595888000000,-1913065000000,-1940681000000,27616000000,0,7682823000000,7682823000000,2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACB,2019,28317522000000,0.17914200085761772,6009937000000,0.1699194401769731,28317522000000,-16205362000000,12112160000000,2708759000000,-812267000000,1896492000000,430325000000,75206000000,54322000000,1546194000000,-46054000000,1500140000000,28708000000,16097353000000,-8307596000000,7789757000000,-273821000000,7515936000000,-1505999000000,-1463537000000,-42462000000,0,6009937000000,6009937000000,2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACB,2018,24015362000000,0.18187936311270098,5137052000000,1.425275868206452,24015362000000,-13652442000000,10362920000000,2094599000000,-597073000000,1497526000000,241390000000,-78329000000,168534000000,1952302000000,-137531000000,1814771000000,26387000000,14033199000000,-6712217000000,7320982000000,-932411000000,6388571000000,-1251519000000,-1299419000000,47900000000,0,5137052000000,5137052000000,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACB,2017,20319639000000,0.23536791059036133,2118131000000,0.5983795335555935,20319639000000,-11861885000000,8457754000000,1574668000000,-386337000000,1188331000000,236729000000,25305000000,603079000000,952439000000,-60797000000,891642000000,36069000000,11438909000000,-6217359000000,5221550000000,-2565343000000,2656207000000,-538076000000,-556141000000,18065000000,0,2118131000000,2118131000000,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACB,2016,16448249000000,0.16805084182467686,1325174000000,0.28878891145189023,16448249000000,-9556360000000,6891889000000,1274131000000,-329749000000,944382000000,230096000000,72083000000,-885963000000,296285000000,-11081000000,285204000000,24811000000,7562502000000,-4677889000000,2884613000000,-1217587000000,1667026000000,-341852000000,-338590000000,-3262000000,0,1325174000000,1325174000000,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACB,2015,14081792000000,0.02765559703278855,1028232000000,0.08030031456122176,14081792000000,-8198265000000,5883527000000,1020989000000,-275763000000,745226000000,120624000000,14544000000,-807600000000,275511000000,-33028000000,242483000000,21485000000,6220289000000,-4021683000000,2198606000000,-884455000000,1314151000000,-285919000000,-283828000000,-2091000000,0,1028232000000,1028232000000,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
