Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
ACB,2024,4,0.0,9.352124756,0.06484856439143244,1.868548692206183,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.6419741787449131,0.2174591984,0.0,0.0212152703,0.0,0.0,0.0385356455,0.0,0.0,0.0,,10.352124755986814,115909772816400.0,4466657912.0,6.9035959226,1.3887783662,3.4584695303,13.847858429,1017.6208005069183,18685.4869220618,0.0
ACB,2024,3,0.0,8.8586038616,0.058880597460674956,1.7653973631639064,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.5624440247293169,0.2171146112,0.0,0.021717062,0.0,0.0,0.0405679513,0.0,0.0,0.0,,9.858603861622646,110103117530800.0,4466657912.0,6.7752917564,1.3962862138,3.3029357117,-21.381994844,866.5080416393437,17653.9736316391,0.0
ACB,2024,2,0.0,9.2908295382,0.06237988964641699,1.674466222252303,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.6283605751018139,0.2285300774,0.0,0.0229277307,0.0,0.0,0.0385356455,0.0,0.0,0.0,,10.290829538153455,115909772816400.0,4466657912.0,7.0599776394,1.5497475945,3.4473043599,7.0105209978,1000.4325578627388,16744.662222523,0.0
ACB,2024,1,0.0,8.7244397608,0.06244986344029899,1.6744226550027321,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.5810322906224457,0.2296713776,0.0,0.0232106375,0.0,0.0,0.0416666667,0.0,0.0,0.0,,9.72443976079817,107199789888000.0,4466657912.0,6.7783089662,1.4333298662,3.2489888681,3.1434730546,874.3492510379649,16744.2265500273,0.0
ACB,2023,4,0.0,9.1301508551,0.06711995627823292,1.5885694046408092,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.6369671852780837,0.2479969029,0.0,0.024187983,0.0,0.0,0.0357142857,0.0,0.0,0.0,,10.13015085511984,108753410024000.0,3884050358.0,6.7781377348,1.5326888466,3.3210681107,2.9285012269,1031.469376226867,18268.5481545963,0.0
ACB,2023,3,0.0,8.7045586739,0.06655439978718236,1.496091492040817,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.6502650613741575,0.2379142232,0.0,0.0238686591,0.0,0.0,0.0387596899,0.0,0.0,0.0,,9.704558673887666,100208499236400.0,3884050358.0,6.7213553953,1.4995595341,3.1030020186,2.2716320859,1039.5279741118125,17205.052159625,0.0
ACB,2023,2,0.0,9.0353341754,0.06827804160647827,1.407476960147379,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.618963980176993,0.241404856,0.0,0.0239863156,0.0,0.0,0.0440528634,0.0,0.0,0.0,,10.035334175394313,88167943126600.0,3884050358.0,5.0375189458,1.4024478547,2.8477440163,1.739453918,995.3130478953486,16185.985042782,0.0
ACB,2023,1,0.0,8.7748586302,0.06600579096504863,1.3999318110305288,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.6653140050914266,0.2541541819,0.0,0.0250189415,0.0,0.0,0.0457665904,0.0,0.0,0.0,,9.774858630230705,84866500322300.0,3884050358.0,5.838492592,1.3572089618,2.842103388,3.6341689198,1064.6177620954522,16099.2158279324,0.0
ACB,2022,4,0.0,9.401935188,0.06812914251648776,1.3083308404478502,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.4447507730217314,0.2649167736,0.0,0.0241064619,0.0,0.0,0.0400801603,0.0,0.0,0.0,,10.401935188010718,84267005595300.0,3377435094.0,6.1561819167,1.4419735372,2.9269471862,3.9609321837,849.9106333973564,17302.6753656395,0.0
ACB,2022,3,0.0,9.0675775039,0.06699318240183127,1.2477949307526912,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.5946358324008455,0.2637300164,0.0,0.0245156797,0.0,0.0,0.0414078675,0.0,0.0,0.0,,10.067577503872764,81565057520100.0,3377435094.0,6.1576333479,1.4634511741,3.0394697222,5.8519823059,1062.0461682216417,16502.0879598878,0.0
ACB,2022,2,0.0,9.4432144636,0.06962543390334477,1.1656596951407636,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.7033310204962552,0.2507127211,0.0,0.0226247951,0.0,0.0,0.0501253133,0.0,0.0,0.0,,10.443214463572229,67379830125300.0,3377435094.0,5.728704027,1.2941226522,2.6491496073,2.8374127634,1167.4977875977504,15415.8494688751,0.0
