Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
ACB,2024,5,0,0,0.06484856439143244,1.868548692206183,0,0,,0,0,,0,0,0,0.6040636089568436,0.2174591984,0,0.0212152703,0,0,0.0,0,0,0,,10.352124755986814,115909772505000,4466657900,6.9035958391,1.3887783625,3.458469521,13.8478582616,3758.9106611455513,18685.4869722617,0
ACB,2023,5,0,0,0.06711995627823292,1.5885694046408092,0,0,,0,0,,0,0,0,0.6428289029017727,0.2479969029,0,0.024187983,0,0,0.0387596899,0,0,0,,10.13015085511984,100208500320000,3884050400,6.4052547474,1.4122633096,3.0601270779,2.698404727,4130.928115659879,18268.5479570502,0
ACB,2022,5,0,0,0.06812914251648776,1.3083308404478502,0,0,,0,0,,0,0,0,0.5816464245545154,0.2649167736,0,0.0241064619,0,0,0.0418410042,0,0,0,,10.401935188010718,80720698890000,3377435100,5.9624426162,1.3812892826,2.8037690531,3.7942396256,4052.83672216233,17302.6753349013,0
ACB,2021,5,0,0,0.0837966999732678,1.0052462016258388,0,0,,0,0,,0,0,0,0.5068805189310075,0.2390256853,0,0.0197526392,0,0,0.0,0,0,0,,11.754103775493721,59172663390000,2701948100,6.2598385051,1.3178500103,2.511147128,1.4820621419,3554.008309782116,16617.9761187863,0
ACB,2020,5,0,0,0.10671224345250274,0.7936171450418431,0,0,,0,0,,0,0,0,0.526865875428427,0.2430753028,0,0.0185565452,0,0,0.0,0,0,0,,12.540286050930199,74573768250000,2161558500,9.8998434252,2.1037414054,4.1061890555,6.8546722291,3554.297975280336,16399.3539846365,0
ACB,2019,5,0,0,0.13578859182047673,0.6216137332882904,0,0,,0,0,,0,0,0,0.49619035745895035,0.2463934246,0,0.0168617705,0,0,0.0,0,0,0,,13.812695128487263,52126814355000,1662737300,8.8201979742,1.8774046593,3.2382227286,8.9643495892,3614.4837792476296,16698.5843163559,0
ACB,2018,5,0,0,0.15383973440922902,0.47055089989170407,0,0,,0,0,,0,0,0,0.49571472133336936,0.2773131377,0,0.0167426296,0,0,0.0,0,0,0,,15.669179921361312,40397224395000,1288587700,7.8638924416,1.9220391341,2.878689627,3.3932485334,3986.575380162328,16310.8021285629,0
ACB,2017,5,0,0,0.1876144161315993,0.3589002631460083,0,0,,0,0,,0,0,0,0.2504365816267534,0.1407697055,0,0.0081781593,0,0,0.0,0,0,0,,17.735564627371218,32206604265000,1027323900,15.5728066863,2.009039464,2.8155311197,6.5922558239,2061.7947270573572,15604.4719683831,0
ACB,2016,5,0,0,0.20270323314500555,0.31483754245471757,0,0,,0,0,,0,0,0,0.1922802297019003,0.0987084742,0,0.0060908237,0,0,0.0,0,0,0,,16.61705157097676,29396785275000,937696500,22.1833399048,2.0904059554,3.8871771902,-148.5001125239,1413.2227218508333,14997.0870105626,0
