time,open,high,low,close,volume
2023-09-11 10:00:00,70.84,70.93,70.64,70.64,148100
2023-09-11 11:00:00,70.64,70.64,70.25,70.45,36100
2023-09-11 13:00:00,70.45,70.45,69.77,69.77,98700
2023-09-11 14:00:00,69.77,69.77,68.99,68.99,100200
2023-09-12 10:00:00,68.6,68.89,68.41,68.51,86700
2023-09-12 11:00:00,68.51,68.8,68.41,68.41,22300
2023-09-12 13:00:00,68.41,68.6,68.21,68.31,83400
2023-09-12 14:00:00,68.31,69.77,68.31,69.77,81900
2023-09-13 10:00:00,68.89,69.19,68.51,68.7,162700
2023-09-13 11:00:00,68.6,68.89,68.6,68.8,25100
2023-09-13 13:00:00,68.8,68.8,68.21,68.31,153400
2023-09-13 14:00:00,68.31,68.99,68.12,68.99,174300
2023-09-14 10:00:00,68.41,68.41,67.53,67.63,134700
2023-09-14 11:00:00,67.63,68.12,67.63,67.63,21400
2023-09-14 13:00:00,67.63,67.92,67.14,67.24,76200
2023-09-14 14:00:00,67.34,68.41,67.24,68.31,79600
2023-09-15 10:00:00,67.44,67.53,67.14,67.14,70100
2023-09-15 11:00:00,67.05,67.24,67.05,67.24,33500
2023-09-15 13:00:00,67.24,67.44,67.05,67.05,69200
2023-09-15 14:00:00,67.05,67.24,66.66,67.05,147800
2023-09-18 10:00:00,65.59,65.59,65.2,65.59,107600
2023-09-18 11:00:00,65.59,65.59,65.4,65.4,24300
2023-09-18 13:00:00,65.4,65.4,65.1,65.2,60700
2023-09-18 14:00:00,65.2,66.08,65.01,66.08,102200
2023-09-19 10:00:00,64.81,64.81,64.23,64.23,111600
2023-09-19 11:00:00,64.23,64.33,64.13,64.33,32600
2023-09-19 13:00:00,64.33,65.1,64.23,64.91,62100
2023-09-19 14:00:00,64.91,66.08,64.42,66.08,89700
2023-09-20 10:00:00,65.1,65.59,64.91,65.1,81300
2023-09-20 11:00:00,65.1,65.2,65.1,65.2,20700
2023-09-20 13:00:00,65.2,66.56,65.1,66.37,72300
2023-09-20 14:00:00,66.27,68.02,66.27,68.02,86700
2023-09-21 10:00:00,67.44,67.53,67.34,67.34,131600
2023-09-21 11:00:00,67.34,67.34,67.14,67.14,24900
2023-09-21 13:00:00,67.53,67.73,67.05,67.14,66600
2023-09-21 14:00:00,67.14,68.6,67.05,68.6,143700
2023-09-22 10:00:00,66.76,66.76,65.49,65.88,119700
2023-09-22 11:00:00,65.88,66.08,65.69,65.98,22000
2023-09-22 13:00:00,65.98,66.37,65.88,66.37,45900
2023-09-22 14:00:00,66.46,67.53,66.46,67.53,145400
2023-09-25 10:00:00,66.95,67.05,66.66,66.95,27700
2023-09-25 11:00:00,66.95,67.14,66.85,67.14,7900
2023-09-25 13:00:00,67.14,67.14,66.08,66.17,83800
2023-09-25 14:00:00,66.17,66.85,65.3,66.08,130300
2023-09-26 10:00:00,65.3,65.3,64.81,65.01,66900
2023-09-26 11:00:00,64.91,65.1,64.72,64.72,9700
2023-09-26 13:00:00,64.72,65.01,64.62,65.01,19900
2023-09-26 14:00:00,64.91,65.59,64.04,64.04,141300
2023-09-27 10:00:00,63.16,63.55,62.58,63.06,51700
2023-09-27 11:00:00,62.77,62.87,62.19,62.87,23000
2023-09-27 13:00:00,62.87,62.97,62.19,62.38,53100
2023-09-27 14:00:00,62.38,64.33,62.19,64.33,106200
2023-09-28 10:00:00,64.23,64.23,63.26,64.13,46200
2023-09-28 11:00:00,64.13,64.33,63.65,64.33,5100
2023-09-28 13:00:00,64.23,64.72,63.74,64.72,16300
2023-09-28 14:00:00,64.81,66.08,64.81,65.3,66300
2023-09-29 10:00:00,65.49,65.49,65.3,65.4,28600
2023-09-29 11:00:00,65.49,65.59,65.4,65.4,8000
2023-09-29 13:00:00,65.4,65.69,65.3,65.49,23800
2023-09-29 14:00:00,65.49,67.53,65.49,67.53,126100
2023-10-02 10:00:00,66.76,66.95,66.37,66.76,33300
2023-10-02 11:00:00,66.76,66.95,66.76,66.95,1200
2023-10-02 13:00:00,66.95,67.24,66.76,67.14,23100
2023-10-02 14:00:00,67.05,67.44,66.95,67.44,43700
2023-10-03 10:00:00,66.17,66.46,66.08,66.08,46700
2023-10-03 11:00:00,66.08,66.27,65.69,65.98,19100
2023-10-03 13:00:00,65.69,66.08,65.2,65.98,23600
2023-10-03 14:00:00,65.78,66.56,65.3,66.56,48800
2023-10-04 10:00:00,65.1,65.59,65.1,65.49,34200
2023-10-04 11:00:00,65.49,65.59,65.4,65.59,2900
2023-10-04 13:00:00,65.59,65.78,65.1,65.49,29700
2023-10-04 14:00:00,65.59,67.05,65.49,67.05,59800
2023-10-05 10:00:00,66.17,66.17,65.49,66.08,27000
2023-10-05 11:00:00,66.08,67.05,65.78,67.05,16200
2023-10-05 13:00:00,67.05,67.05,66.08,66.08,4400
2023-10-05 14:00:00,66.08,66.95,65.98,66.95,39000
2023-10-06 10:00:00,66.08,66.08,65.98,66.08,15800
2023-10-06 11:00:00,66.08,66.37,65.88,66.08,6000
2023-10-06 13:00:00,66.08,66.46,65.98,66.46,12900
2023-10-06 14:00:00,66.46,67.53,66.17,67.53,126700
2023-10-09 10:00:00,66.76,67.05,66.76,66.76,26400
2023-10-09 11:00:00,66.76,67.05,66.56,66.56,12100
2023-10-09 13:00:00,66.46,66.95,66.46,66.76,21000
2023-10-09 14:00:00,67.24,67.24,66.76,66.95,36900
2023-10-10 10:00:00,66.95,66.95,66.37,66.56,62400
2023-10-10 11:00:00,66.46,66.56,66.37,66.46,8900
2023-10-10 13:00:00,66.56,66.66,66.37,66.46,31700
2023-10-10 14:00:00,66.76,66.95,66.46,66.95,38100
2023-10-11 10:00:00,66.17,66.56,65.98,65.98,73800
2023-10-11 11:00:00,66.08,66.46,65.69,66.27,26500
2023-10-11 13:00:00,66.27,66.27,65.69,65.98,35500
2023-10-11 14:00:00,66.37,66.46,66.08,66.37,33200
2023-10-12 10:00:00,65.78,65.88,65.3,65.4,104700
2023-10-12 11:00:00,65.4,65.59,65.3,65.3,31300
2023-10-12 13:00:00,65.3,66.08,65.3,65.4,73800
