CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
BCM,2024,31833437805614,2210163546423,294912603095,8066181576980,21206293661708,55886417408,26943991074612,0,1050265739290,2674336098764,19488120031274,0,441165171316,58777428880226,38297527424945,21453085736870,16844441688075,20479901455281,20479901455281,7777275814,6606411810259,0,1094922122031,58777428880226,859841030885,4500000000,21207228446044,0,2594082337142,10350000000000,10350000000000,0,15724754541716,1978925505702,7903273455672,0,165071291832,592369220800,154489235723,243768650684
BCM,2023,28440868532000,1332254152561,87314044988,7023976107081,19833611109149,163713118221,24983033405257,0,1159631559571,2535424205616,17225939343913,0,338259366965,53423901937257,33951011068428,22997575585298,10953435483130,19472890868829,19472890868829,7777275814,6302930324830,0,910889551130,53423901937257,264488069059,4500000000,19834545893485,0,2074585807020,10350000000000,10350000000000,0,10331236566188,1322792099430,9385205395358,0,174307939980,592369220800,386724270054,532900344879
BCM,2022,27849285308891,1070646673840,436495062079,5333204527012,20840989008652,167950037308,20456156201512,0,1245657645129,424698865350,15883747073831,0,428342956061,48305441510403,30540617201248,18837735330910,11702881870338,17764824309155,17764824309155,7777275814,4986705736048,0,1007384884676,48305441510403,263139355203,5500000000,20842354558607,0,1586248502582,10350000000000,10350000000000,0,10935701571848,3858656820224,4950680794580,0,205040814556,592369220800,336105032345,569737494444
BCM,2021,29193091201478,2984749370323,214090000000,4988378293993,20930609125935,75264411227,19805329577135,0,1219713801618,455566894529,15059415443761,0,455765477729,48998420778613,31900808764735,18563640828074,13337167936661,17097612013878,17097612013878,7777275814,4724394698809,0,1014725371342,48998420778613,143761187880,5500000000,20940297712145,0,1174006757878,10350000000000,10350000000000,0,12386429056792,3425960949460,4248089036214,0,233489645356,592369220800,12872149282,318329217816
BCM,2020,30234640220468,1775586531828,64495000000,4094579190485,24269677003329,30302494826,18881924586123,0,1880012614399,826393221955,12346431745011,0,580764406330,49116564806591,32538992444118,22693848606580,9845143837538,16577572362473,16577572362473,17680946443,4162650459847,0,1157117789586,49116564806591,214089383262,5500000000,24290054340480,0,1063167313141,10350000000000,10350000000000,0,8754731818985,2898537132381,6137586557020,38775606,270145134300,217369220800,33217434147,311904517433
BCM,2019,27964817664724,416723733815,326294890410,4318892531593,22877133518012,25772990894,15550778622695,0,1844300128711,664076848530,10033993432653,0,630062206470,43515596287419,27765475536314,21812703842728,5952771693586,15750120751105,15750120751105,11940102491,4129937296858,0,1126407520490,43515596287419,271265019964,5500000000,22895384812667,0,304810577810,10350000000000,10350000000000,0,5288972368870,2373646704691,9258734292210,58163406,304674577497,250169220800,30394557300,325794188433
BCM,2018,30513454625559,2577622049939,424023879195,5831761103790,21618842071107,61205521528,14671588083345,0,1728857505977,658903771183,8919170426327,0,752373118641,45185042708904,31694260559889,22184209653041,9510050906848,13490782149015,13490782149015,28534403731,2096956452417,0,1168863058479,45185042708904,502201945176,25500000000,21619060870895,0,346979704951,10125811000000,10125811000000,0,9138073398830,2149272194139,10517249971953,77551207,354037031274,277457832732,27282225089,450577574803
BCM,2017,37181906857324,2967781230625,616351311545,6592210158541,26896603335511,108960821102,13986573965601,0,1592601489496,703526617912,8364518835798,0,531637054987,51168480822925,40331950091741,25853832400668,14478117691073,10836530731184,10836530731184,24371577054,-381394820594,0,1156418362518,51168480822925,166322847131,25500000000,26899568526649,0,704542714826,7951756326147,7951756326147,0,13229021369308,1357332529677,8604228477545,96939008,57012862887,113131030000,11013287851,980607785757
BCM,2016,37024004184520,1667163001525,2006548028550,6801388929761,26270281710096,278622514588,20222327690315,0,5401218716169,513256035922,8153254275878,0,604781257763,57246331874835,44196687716366,25046818386041,19149869330325,13049644158469,13048789275701,1359236526337,-235523299290,854882768,2140981745789,57246331874835,384320046802,42000000000,26270884522967,0,571539517066,7951756326147,7951756326147,0,15121717284257,1386144444841,7473728790247,6340281941,135164476469,367271030000,31571184621,326049375913
BCM,2015,33489913414303,2549930735072,463937856556,6820432642276,23036474887188,619137293211,17981757637718,0,5150025493723,437183141494,7596140388220,0,477878278008,51471671052021,40156172812477,22780988229137,17375184583340,11315498239544,11112269391298,1482851870437,-365556916690,203228848246,1429897512154,51471671052021,312699852637,60610000000,23037476629941,0,262781396294,8284474308491,8284474308491,0,13689559107303,1070525462749,7137762556749,9949924336,122880961407,246051030000,15118761636,287889360524
