CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
BCM,2024,2451489518457,262068871772,11502769339,-23607485,0,-1148676655581,1293838934422,0,2867864380924,-457808089782,-1368546182722,890383227268,24922527386,-2116078828490,-414129215972,5400000,-203965433541,-777352214929,-260673352412,5957317290,-231898558107,24300000000,-1286291694000,0,590166768171,-1158439519058,0,0,14731956448457,-10889480755443,0,-1028798172650,0,2813677520364,877885786377,1332254152561,23607485,2210163546423
BCM,2023,2697158161525,267444334094,10125218563,0,0,-928524472383,906131859386,0,2908545840633,-2261764919513,-1165723697632,-414301684633,26431421346,-1995924310711,-80781829141,10900000,-167132286965,-3150640566616,-114780773534,1282029931,350181017091,0,-859059720000,0,1094808999107,472431552595,0,0,9983931108461,-6216114535719,0,-828000080000,0,2939816492742,261607478721,1070646673840,0,1332254152561
BCM,2022,1894709217910,189713347046,-8939593501,0,0,-1321974765245,879326949337,0,1618423144893,340676658908,1380669781447,-818530300308,10879832985,-1685451016868,-241947751287,900000,-100823988241,503897261529,-212237684899,103442477588,-222405062079,1379857210,-743782000000,0,193361120005,-880241292175,0,0,5608258738634,-6421517404471,0,-724500000000,0,-1537758665837,-1914102696483,2984749370323,0,1070646673840
BCM,2021,1790527175890,185989896488,1781935791,0,0,-892743568924,768695281371,0,1672981806026,-327771068418,1919292578912,-955283132803,32534400319,-1543009818414,-423902131826,10012327034,-42187388879,342667571951,-25833268059,8198545636,-261506203511,115434876712,-1005039930000,0,90428885361,-1078317093861,0,0,9853676099192,-7080863738787,0,-828000000000,0,1944812360405,1209162838495,1775586531828,0,2984749370323
BCM,2020,2600180050832,238000023163,23840224409,0,0,-1269933755290,582461642775,0,2251378430971,516548105439,-2208044740137,2830665246788,24402835601,-505167920685,-296359017881,0,-65054152061,2548368788035,-336595272909,4921205774,0,306301359999,-1141116350001,2000000000,72459124145,-1092029932992,0,0,9150313301240,-8836632944545,0,-411156413725,0,-97476057030,1358862798013,416723733815,0,1775586531828
BCM,2019,2981090166769,225844734008,17431069373,0,0,-1246069216596,643605975685,0,2821783400402,1319752380060,-1859683378986,1832179690765,47068020728,-813724647251,-369182701022,4000000,-50730557774,2932359235472,-163497409537,8103235631,-12260000000,112835960235,-745549640000,889679263431,195025490516,284336900276,224189000000,0,7621334179091,-12614306137313,0,-608811493650,0,-5377594451872,-2160898316124,2577622049939,0,416723733815
BCM,2018,2559252646304,223050830949,-62192116,0,0,-1217849423860,716419777412,0,1128704061292,743567070492,4840297910221,-4774694765376,-293497029668,-747560495704,-201013877568,46800000,-36402724882,659446948807,-186514489448,55709560439,-45250000000,192476363636,-1094776252732,1200000000,1980315108681,903160290576,247763000000,0,8717786522255,-10918315942324,0,0,0,-1952766420069,-390159180686,2967781230625,0,2577622049939
BCM,2017,1117670082961,458500076877,-116263254205,0,0,-1216837884102,1051618689874,0,6623309377912,271641316298,-756905515547,-7280507372337,85111326788,-1022347844718,-186006754811,10500000,-85305376847,-2351000343262,-98867858246,9385403563,0,1722786474429,-615000000000,365585780000,886753350592,2270643150338,0,0,11668889524530,-10287914102506,0,0,0,1380975422024,1300618229100,1667163001525,0,2967781230625
BCM,2016,919867746156,457727444359,78023233192,0,0,-889410772093,788782499615,0,930686495377,291570646134,-3190094809403,3143415137978,-8396821861,-709583490150,-269733231312,1241054463473,-90362902646,1338555487590,-1729780332088,36694534561,-1836487865309,309199475556,-214894097479,254565000000,0,-3180703284759,5856984461,-144420533479,11970919299015,-10199605875305,0,-673369811071,0,959380063621,-882767733548,2549930735072,1,1667163001525
BCM,2015,614294679877,419259395371,25587131711,-14690847631,0,-584543954264,632721785567,0,1092628190631,-4535954865632,-1054001071755,4055450564834,-75194116934,-1698135195690,-177461719116,6473523919,-193333830981,-2579528520724,-869847344095,12058224635,-96585475556,34826000000,-199313902166,178801799722,200433164001,-739627533459,0,-14021870594,11628862225131,-8792378045524,0,0,0,2822462309013,-496693745170,3043044797339,3579682903,2549930735072
BCM,2014,697528826708,453511176122,1761315499,-23912179226,0,-685292745910,358034666369,0,801631059562,-1638269850608,-3563549766567,3931912338914,-9259437257,-829475408804,-288205533832,107698019521,-292740737123,-1780259316194,-1379176178106,85872929665,-413453977266,111434347544,-417692344872,7339611352,221242428463,-1784433183220,733379157940,0,11952001180636,-10330875140012,0,-867209857460,0,1487295341104,-2077397158310,5120174203374,267752275,3043044797339
BCM,2013,1597651325703,408509658494,-9580209634,1957877119,0,-1178808954073,338325080085,0,1158054777694,-4366559245342,-2768064778254,4134682217294,-39562442509,-768389282073,-187172603023,117782761800,-237526055538,-2956754649951,-896766971102,5503899126,-270804008802,2381362000000,-14878230000,57601904452,319105089476,1581123683150,580129156658,0,10205108886116,-5444249120416,0,-718293961275,0,4622694961083,3247063994282,1872905810514,204398578,5120174203374
