CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
BCM,2024,4,-0.6107086579390454,2012502526903,1369787700044,-0.33212442945291915,25910028714,-355077233297,2012502526903,-12615007338,1999887519565,-660054266078,1339833253487,-355213683372,1189396411773,-313802064432,-167979954588,1718143991582,5304435664,0,-22858283151,-17553847487,1700590144095,-167576360088,7342823281,1540356607288,170568907244,1369787700044
BCM,2024,3,0.08588413474878748,1241330505674,344394978084,0.5843607957355641,3415283010,-341913645651,1241330505674,-13718249377,1227612256297,-385324187254,842288069043,-342114762701,243224861915,-223608598130,-139188970396,384015882741,7784050997,0,-12896097190,-5112046193,378903836548,-15888385906,0,363015450642,18620472558,344394978084
BCM,2024,2,0.05387832816316242,1158883337021,273356050769,2.3564783750033533,135343025352,-432544650334,1158883337021,-2865100307,1156018236714,-520081459227,635936777487,-447578942504,462643101923,-321926688567,-221960434969,242456838722,2996985950,0,-1247090945,1749895005,244206733727,-61792678590,104698208577,287112263714,13756212945,273356050769
BCM,2024,1,0.02571237801523352,811854842155,118116106443,0.2906943169693757,2743926927,-164303405140,811854842155,-249397609,811605444546,-237401006651,574204437895,-164303405140,59540044450,-203094905090,-145857407165,123232691877,11080684020,0,-6524571809,4556112211,127788804088,-8552031983,0,119236772105,1120665662,118116106443
BCM,2023,4,4.782869154676779,5169656525749,2050962425414,35.423685359230745,19783192444,-296232583775,5169656525749,-110031898853,5059624626896,-2469341654481,2590282972415,-296272674775,568742880542,-290173141916,-223480791168,2368882437542,3721448420,0,-10588009755,-6866561335,2362015876207,-312261292902,-11793668,2049742789637,-1219635777,2050962425414
BCM,2023,3,-0.4951255000908795,1143151894342,217371560197,0.06935134395718204,6835897936,-149163519544,1143151894342,-15806235204,1127345659138,-398988805508,728356853630,-149163519544,6363344712,-181662769995,-140851792277,269878014462,4675555012,0,-5934115402,-1258560390,268619454072,-52993300147,3874646,215630028571,-1741531626,217371560197
BCM,2023,2,-0.4311684083151997,1099636747480,81441326363,-0.9141765080504097,10254535603,-268835583400,1099636747480,-6015305115,1093621442365,-502100863122,591520579243,-268835583400,158642486707,-250627440979,-124165508188,116789068986,7109271923,0,-103242821419,-96133549496,20655519490,-46211268478,2971688,-25552777300,-106994103663,81441326363
BCM,2023,1,-0.44915180641984337,791503407345,91513617818,-0.7844584570603301,51809980554,-191322372257,791503407345,-88963195,791414444150,-385007024529,406407419621,-191330511557,55119221026,-146195321950,-94867536696,80943250998,5720748946,0,-7578170219,-1857421273,79085829725,-4659372306,0,74426457419,-17087160399,91513617818
BCM,2022,4,-0.7127673864284637,893960486996,56308481835,-0.8022117922333359,12071893855,-253481785716,893960486996,-15139358177,878821128819,-573677202118,305143926701,-253676228468,554545157306,-304667714079,-239628580461,73788454854,-21055837511,0,-31369990882,-52425828393,21362626461,-14365339559,-52920002,6944366900,-49364114935,56308481835
BCM,2022,3,1.564188381027524,2264229812652,203274219858,3.184681046939782,10912350277,-139600366186,2264229812652,-784689939,2263445122713,-1588538391533,674906731180,-139600366186,17281678335,-166935832381,-115856767191,280707794034,36540915002,0,-6301269451,30239645551,310947439585,-51788047640,0,259159391945,55885172087,203274219858
BCM,2022,2,0.13999865273436507,1933149922674,948939789246,0.9651612415566533,71568985577,-218183164206,1933149922674,-1633420121,1931516502553,-970747788139,960768714414,-223101347519,402739522864,-127148517540,-70537815623,1014289542173,154159328784,0,-47136777436,107022551348,1121312093521,-106409087921,-19081004,1014883924596,65944135350,948939789246
BCM,2022,1,0.019647291247784644,1436881188991,424575311886,-0.07013438119489325,22451179484,-265737553229,1436881188991,-3532339567,1433348849424,-612712205882,820636643542,-265737553229,170442503066,-164881188918,-110552985228,472358598717,15169371402,0,-19269982097,-4100610695,468257988022,-77217258232,0,391040729790,-33534582096,424575311886
BCM,2021,4,0.22093951398485034,3112322364373,284690793606,-0.6320710764432765,12704947766,-346887363421,3112322364373,-862510676,3111459853697,-1632022968621,1479436885076,-567753115676,269516600030,-174111884004,-276969747300,742823685892,33433130327,0,-303275060442,-269841930115,472981755777,-141176129552,-336083896,331469542329,46778748723,284690793606
BCM,2021,3,-0.44787195676903224,883020073488,48575797672,-0.9170494494131555,13482967259,-162328570763,883020073488,-121793987682,761226085806,-343293972016,417932113790,-163030841826,113222563142,-138155017996,-97000996749,146450787620,3125341626,0,-97244787325,-94119445699,52331341921,-1991875801,0,50339466120,1763668448,48575797672
BCM,2021,2,-0.30793455824995214,1695747550260,482881388651,0.6765395954497953,11664654336,-159285336008,1695747550260,-2787512842,1692960037418,-944583714867,748376322551,-159285336008,352179856042,-187815306306,-90519916472,674600274143,12808193979,0,-119168598822,-106360404843,568239869300,-56951342580,8399770565,519688297285,36806908634,482881388651
BCM,2021,1,0.06503621681950357,1409194337419,456598570051,0.4696864120150943,31156999325,-153008345674,1409194337419,-10268173593,1398926163826,-818970099653,579956064173,-153028964714,274807377957,-127374652133,-96441514564,509075310044,7939559017,0,-9118591527,-1179032510,507896277534,-68069473287,28074849836,467901654083,11303084032,456598570051
BCM,2020,4,-0.30268083456751,2549120844009,773765734028,-0.09592645541968212,5215046339,-138414131061,2549120844009,-36033527520,2513087316489,-1182036026484,1331051290005,-95489690694,405050477579,-212704510319,-450689080775,982433532135,35405925843,0,-24693453668,10712472175,993146004310,-129061753081,2770720912,866854972141,93089238113,773765734028
BCM,2020,3,0.07114081441851071,1599303068036,585599460502,0.19149683711502716,3358639601,-146324183033,1599303068036,-45718505928,1553584562108,-827656487712,725928074396,-159185516634,363198952415,-151942208654,-88500929364,692857011760,11852717445,0,-14691461556,-2838744111,690018267649,-58379810849,-549783470,631088673330,45489212828,585599460502
