CP,Năm,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
BCM,2024,-0.3608750630707595,5224571211753,2105654835339,-0.1310325825968875,167412264003,-1293838934422,5224571211753,-29447754631,5195123457122,-1802860919211,3392262537911,-1309210793717,1954804420061,-1062432256219,-674986767118,2467849404921,27166156631,0,-43526043095,-16359886464,2451489518457,-253809456567,112041031858,2309721093748,204066258409,2105654835339
BCM,2023,0.24194642052694348,8174569493181,2423168916542,0.42534672281145536,131071246067,-906131859386,8174569493181,-292003133955,7882566359226,-3634733022767,4247833336459,-906368644124,798075062189,-873156796031,-592087610965,2805366593595,18695690689,0,-126904122759,-108208432070,2697158161525,-416345779321,-724614995,2280087767209,-143081149333,2423168916542
BCM,2022,-0.07522561514699232,6582062928055,1700055767317,0.1716590192733205,73526610163,-879326949337,6582062928055,-16876768976,6565186159079,-3790909227312,2774276931767,-879521392089,1142556831602,-763860128555,-533809802709,1813169050179,228921162502,0,-90271306851,138649855651,1951818905830,-229040304031,1026309131,1723804910930,23749143613,1700055767317
BCM,2021,0.061407702228964633,7117479718149,1450981675856,-0.3084749799875269,113674749577,-768695281371,7117479718149,-135712184793,6981767533356,-3759144314641,3222623218715,-874671047025,1021502479366,-623840704299,-596936462567,2262352233767,57311390085,0,-529136447962,-471825057877,1790527175890,-287486916086,646354638,1503686614442,52704938586,1450981675856
BCM,2020,-0.2751798102559301,6705698199855,2098234530733,-0.15629216457291376,25039446570,-582461642775,6705698199855,-199064602997,6506633596858,-3245441164439,3261192432419,-591474869335,1238971725425,-702668534758,-648874356089,2582185844232,74810513242,0,-56816306643,17994206599,2600180050831,-286736089715,-14748969142,2298694991974,200460461241,2098234530733
BCM,2019,0.0694443670516841,9251533407510,2486920759330,0.14551794573366564,527129841577,-649005935922,9251533407510,-1038090243424,8213443164086,-4826181247206,3387261916880,-656142837389,1213459815788,-801918149009,-773427851053,2896362736794,133125288166,0,-48397858191,84727429975,2981090166769,-350482180661,277746830,2630885732938,143964973608,2486920759330
BCM,2018,0.2370508587550545,8650785110978,2171001134109,1.577296404653449,102650994593,-717608553826,8650785110978,-2113199092878,6537586018100,-3277446321744,3260139696356,-721215278271,1114664470921,-693488245281,-517654327068,2545097311250,463546233703,0,-449390898649,14155335054,2559252646304,-287023586101,39542148493,2311771208696,140770074587,2171001134109
BCM,2017,-0.06749627300797655,6993071505309,842356017022,0.07046432324159635,436332316449,-1051618689874,6993071505309,-189350603360,6803720901949,-4703496646966,2100224254983,-1100320537591,785952747833,-696253950142,-514204635936,1011730195596,131271476210,0,-25331588845,105939887365,1117670082961,-110796340001,29108599107,1035982342067,193626325045,842356017022
BCM,2016,0.008858042626041973,7499242418973,786907138083,0.6226171322882729,272780957634,-788782499615,7499242418973,-199585865243,7299656553730,-5417329997880,1882326555850,-842218359355,682762598649,-728162678425,-418048181509,849440892844,92265993656,0,-21839140344,70426853312,919867746156,-162341594009,128281585643,885807737790,98900599707,786907138083
BCM,2015,0.22035518689737044,7433397070863,484961684691,-0.12089414453119296,184676670022,-632721785567,7433397070863,-95853305625,7337543765238,-5672184855142,1665358910096,-657981851802,417897864024,-645778286345,-379191736098,584981569897,58460263844,0,-29147153864,29313109980,614294679877,-107652484000,76691066545,583333262422,98371577731,484961684691
BCM,2014,0.2573008726679599,6091175053520,551653343763,-0.5682817622890074,370792793417,-358034666369,6091175053520,-258825975921,5832349077599,-4634465037409,1197884040190,-361290400027,391127596542,-610114137927,-329606266226,658793625969,132738804328,0,-94003603589,38735200739,697528826708,-128885767956,77813893874,646456952626,94803608863,551653343763
BCM,2013,,4844643939994,1277808754821,,884533616729,-338325080085,4844643939994,-441896142895,4402747797099,-2678007635252,1724740161847,-358053731660,0,-579997809602,-394818559553,1276403677761,78251024098,309472126562,-66475502719,11775521379,1597651325702,-278268428250,95847410820,1415230308272,137421553451,1277808754821
