time,open,high,low,close,volume
2023-09-11 10:00:00,34.61,34.61,34.47,34.5,180700
2023-09-11 11:00:00,34.5,34.5,34.39,34.43,76500
2023-09-11 13:00:00,34.39,34.47,34.14,34.32,319700
2023-09-11 14:00:00,34.36,34.39,33.73,34.1,390300
2023-09-12 10:00:00,34.21,34.25,34.1,34.14,269700
2023-09-12 11:00:00,34.14,34.17,34.06,34.06,80500
2023-09-12 13:00:00,34.1,34.17,34.03,34.14,346200
2023-09-12 14:00:00,34.14,34.47,34.14,34.47,295300
2023-09-13 10:00:00,34.47,34.54,34.25,34.39,373400
2023-09-13 11:00:00,34.39,34.47,34.39,34.47,84300
2023-09-13 13:00:00,34.43,34.72,34.32,34.61,414500
2023-09-13 14:00:00,34.61,34.61,34.1,34.47,328900
2023-09-14 10:00:00,35.09,35.13,34.8,34.87,889500
2023-09-14 11:00:00,34.87,34.87,34.8,34.8,47600
2023-09-14 13:00:00,34.8,35.02,34.72,34.76,666400
2023-09-14 14:00:00,34.76,34.87,34.28,34.28,270400
2023-09-15 10:00:00,34.72,34.76,34.58,34.58,314000
2023-09-15 11:00:00,34.58,34.58,34.43,34.43,342400
2023-09-15 13:00:00,34.43,34.47,34.32,34.47,216100
2023-09-15 14:00:00,34.47,34.47,34.32,34.32,181500
2023-09-18 10:00:00,34.14,34.17,33.99,34.03,254200
2023-09-18 11:00:00,33.99,34.06,33.99,33.99,64000
2023-09-18 13:00:00,33.99,34.06,33.7,33.73,734400
2023-09-18 14:00:00,33.73,33.81,33.22,33.55,394000
2023-09-19 10:00:00,33.55,33.66,33.37,33.48,229700
2023-09-19 11:00:00,33.44,33.44,33.29,33.37,103400
2023-09-19 13:00:00,33.37,33.48,33.26,33.29,321300
2023-09-19 14:00:00,33.29,33.33,33.0,33.15,535200
2023-09-20 10:00:00,33.4,33.44,33.22,33.29,276500
2023-09-20 11:00:00,33.29,33.44,33.29,33.44,45400
2023-09-20 13:00:00,33.4,33.48,33.29,33.37,182400
2023-09-20 14:00:00,33.4,33.51,33.37,33.51,169000
2023-09-21 10:00:00,33.44,33.51,33.26,33.29,306100
2023-09-21 11:00:00,33.29,33.33,33.26,33.26,97400
2023-09-21 13:00:00,33.26,33.33,33.15,33.15,251600
2023-09-21 14:00:00,33.15,33.22,33.07,33.15,260100
2023-09-22 10:00:00,32.82,32.82,32.41,32.63,691000
2023-09-22 11:00:00,32.63,32.71,32.63,32.67,98100
2023-09-22 13:00:00,32.67,33.66,32.52,33.48,422500
