CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
BID,2024,2760693352000000,10772890000000,92341029000000,279971516000000,12734060000000,12773340000000,-39280000000,663256000000,2017266302000000,2056082420000000,-38816118000000,277838107000000,157918828000000,121120044000000,-1200765000000,3423596000000,0,3348512000000,182914000000,-107830000000,12120337000000,6799725000000,0,5320612000000,0,53562259000000,2760693352000000,2616181803000000,168388958000000,232956381000000,1953170494000000,0,11981467000000,198900165000000,50784338000000,144511549000000,84788796000000,15727280000000,-700768000000,0,39462290000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68975153000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452623000000,0.0,5233951000000
BID,2023,2300868728000000,11029204000000,51615657000000,211812201000000,6972474000000,7003656000000,-31182000000,0,1737195822000000,1777664882000000,-40469060000000,222393123000000,127572432000000,95722385000000,-901694000000,3113075000000,0,3012284000000,214888000000,-114097000000,11096141000000,6401362000000,0,4694779000000,0,45641031000000,2300868728000000,2178001839000000,35896488000000,181830990000000,1704690185000000,328155000000,12207729000000,189486736000000,53561556000000,122866889000000,72711297000000,15662247000000,-803547000000,0,30330738000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57004359000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345918000000,0.0,4966154000000
BID,2022,2120676711000000,13745228000000,111418448000000,221177798000000,1701464000000,1748521000000,-47057000000,1038214000000,1484168975000000,1522221714000000,-38052739000000,235636449000000,162283083000000,73734542000000,-381176000000,2968160000000,0,2871541000000,215076000000,-118457000000,10539477000000,6103314000000,0,4436163000000,0,38282498000000,2120676711000000,2016558206000000,152752718000000,177221298000000,1473598150000000,0,13237626000000,157051601000000,42696813000000,104118505000000,66204497000000,12447663000000,-760404000000,0,21503511000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50585239000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267851000000,0.0,4723238000000
BID,2021,1761695792000000,12660583000000,68851444000000,135940229000000,6068913000000,6083165000000,-14252000000,192282000000,1325528925000000,1354632643000000,-29103718000000,177088795000000,111675314000000,65711393000000,-297912000000,2847647000000,0,2729682000000,215617000000,-97652000000,10741232000000,6338050000000,0,4403182000000,0,21775742000000,1761695792000000,1675366766000000,25340018000000,98007392000000,1380397799000000,0,14349996000000,123681757000000,33589804000000,86329026000000,65145472000000,9684951000000,-367882000000,0,8672557000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50585239000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267851000000,0.0,3193928000000
BID,2020,1516685712000000,12294193000000,49432144000000,85347858000000,10169711000000,10184436000000,-14725000000,167933000000,1195239968000000,1214295916000000,-19055948000000,125114962000000,112192338000000,13501317000000,-578693000000,2760622000000,0,2643474000000,215470000000,-98322000000,10422121000000,6162330000000,0,4259791000000,0,25736200000000,1516685712000000,1437039100000000,17222797000000,82260848000000,1226673942000000,0,12853270000000,63236692000000,34791551000000,79646612000000,54780413000000,8064281000000,49915000000,0,13517408000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40220180000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267851000000,0.0,3234595000000
BID,2019,1489957293000000,14116720000000,135255429000000,54290180000000,6346190000000,6380379000000,-34189000000,92130000000,1102365849000000,1116997985000000,-14632136000000,138284421000000,121819089000000,23262431000000,-6797099000000,2737661000000,0,2625776000000,214679000000,-102794000000,10604686000000,6294519000000,0,4310167000000,0,25864027000000,1489957293000000,1412304312000000,108760008000000,76683179000000,1114162624000000,0,12386421000000,62772362000000,37539718000000,77652981000000,54780413000000,5755410000000,129783000000,0,13856938000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40220180000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267851000000,0.0,3130437000000
BID,2018,1312866249000000,10507558000000,50185159000000,104113340000000,673639000000,790210000000,-116571000000,79755000000,976334471000000,988738780000000,-12404309000000,133188297000000,111419195000000,29847625000000,-8078523000000,2612189000000,0,2522835000000,213320000000,-123966000000,10728979000000,6414518000000,0,4314461000000,0,24442862000000,1312866249000000,1258376593000000,105297399000000,79198149000000,989671155000000,0,12296196000000,39991361000000,31922333000000,54489656000000,34396605000000,4617990000000,156581000000,0,12270771000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34187153000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179146000000,0.0,3047709000000
BID,2017,1202283843000000,8203016000000,29418564000000,118355293000000,9613772000000,9708254000000,-94482000000,193703000000,855535525000000,866885307000000,-11349782000000,146477353000000,118097616000000,38385960000000,-10006223000000,2579505000000,0,2409597000000,253040000000,-83132000000,10348520000000,5949268000000,0,4399252000000,0,21558592000000,1202283843000000,1153449833000000,77535398000000,91978862000000,859985173000000,0,11722727000000,83738429000000,28489244000000,48834010000000,34369933000000,4445827000000,53523000000,0,7092011000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34187153000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152474000000,0.0,2872716000000
BID,2016,1006377748000000,7106546000000,36710770000000,61865173000000,10016071000000,10085982000000,-69911000000,0,713632772000000,723697408000000,-10064636000000,144412972000000,113657155000000,36823521000000,-6067704000000,4327854000000,0,3994120000000,457466000000,-123732000000,9779500000000,5430184000000,0,4349316000000,0,18526090000000,1006377748000000,962265672000000,43392135000000,92499222000000,726021696000000,103320000000,11361960000000,66642041000000,22245298000000,44112076000000,34304509000000,3376583000000,-111569000000,0,4938310000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34187153000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87094000000,0.0,1604243000000
BID,2015,850506940000000,6588849000000,21718717000000,67097936000000,8872709000000,8903682000000,-30973000000,101882000000,590917428000000,598434475000000,-7517047000000,121564774000000,87421277000000,36848571000000,-2705074000000,5250679000000,0,4871166000000,539162000000,-159649000000,8535310000000,4554885000000,0,3980425000000,0,19858656000000,850506940000000,808171480000000,45401599000000,79758318000000,564692853000000,0,35295248000000,65542240000000,17481222000000,42335460000000,34271776000000,2464088000000,-42645000000,0,4256503000000,0,,,,,,,,,,,34187153000000,,,,,,,,,,,,,,,,,54317000000,,1385738000000
