CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
BID,2024,0.0,0.0,0.0,-3150577000000,39837126000000,101080084000000,0,0,-1244829000000,88105000000,-1127413000000,0,-94460000000,99858211000000,224739002000000,0,324597213000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101080084000000,19896000000,0,14108000000,0.0,0.0,0.0,0.0,-94460000000,0.0
BID,2023,0.0,0.0,0.0,-3373336000000,50080394000000,-71013823000000,0,-1164000000,-2005077000000,182104000000,-1813698000000,0,-119694000000,-72948379000000,297687381000000,0,224739002000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71014987000000,11710000000,0,0,0.0,0.0,0.0,0.0,-119694000000,0.0
BID,2022,0.0,0.0,0.0,-1491709000000,49466042000000,132518884000000,0,-981000000,-1091733000000,165567000000,-917883000000,1059025000000,757095000000,132357115000000,165330266000000,0,297687381000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132517903000000,9868000000,0,0,0.0,0.0,0.0,0.0,-301930000000,0.0
BID,2021,0.0,0.0,0.0,-2058082000000,43592314000000,68891039000000,0,-895000000,-1015514000000,88441000000,-977359000000,0,-1353760000000,66559025000000,98771241000000,0,165330266000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68890144000000,8383000000,-53725000000,0,0.0,0.0,0.0,0.0,-1353760000000,0.0
BID,2020,0.0,0.0,0.0,-2050717000000,28758261000000,-67912612000000,0,-198000000,-1061633000000,134987000000,-919255000000,0,-2669096000000,-71501161000000,170272402000000,0,98771241000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67912810000000,8545000000,0,0,0.0,0.0,0.0,0.0,-2669096000000,0.0
BID,2019,0.0,0.0,0.0,-409071000000,34221345000000,33745242000000,0,-379000000,-432570000000,111061000000,-330433000000,20295103000000,15450873000000,48865303000000,121407099000000,0,170272402000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33744863000000,5299000000,0,0,0.0,0.0,0.0,0.0,-4844230000000,0.0
BID,2018,0.0,0.0,0.0,-668809000000,28732874000000,21468586000000,0,-515000000,-902706000000,128194000000,-710038000000,0,-92612000000,20665421000000,100741678000000,0,121407099000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21468071000000,13415000000,0,56220000000,0.0,0.0,0.0,0.0,-92612000000,0.0
BID,2017,0.0,0.0,0.0,-312447000000,26787501000000,35968336000000,0,-588000000,-1438147000000,141026000000,33361000000,223951000000,-2322214000000,33678895000000,65521789000000,1540994000000,100741678000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35967748000000,11186000000,0,1325492000000,0.0,0.0,0.0,0.0,-2546165000000,0.0
BID,2016,0.0,0.0,0.0,-808661000000,19307214000000,10654909000000,0,-440000000,-2298616000000,334302000000,-1002453000000,0,-2940383000000,6711633000000,55806145000000,3004011000000,65521789000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10654469000000,10192000000,0,955650000000,0.0,0.0,0.0,0.0,-2940383000000,0.0
BID,2015,0.0,0.0,0.0,165068000000,13418400000000,6715918000000,0,-514000000,-1079974000000,277913000000,-889415000000,1187248000000,-1696660000000,4129329000000,50202708000000,1477340000000,55809377000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6715404000000,22387000000,-393721000000,286323000000,0.0,0.0,0.0,0.0,-2883908000000,0.0
BID,2014,,,,1595446000000,11759440000000,12193344000000,0,-682000000,-1383674000000,248867000000,-1233174000000,0,-2389521000000,8569967000000,41632741000000,0,50202708000000,,,,,,,,,,,,,,,12192662000000,1671000000,-400000000000,303139000000,,,,,-2389521000000,
BID,2013,,,,905032000000,9417063000000,3277597000000,0,-531000000,-1467290000000,152530000000,-1669160000000,2670562000000,2137660000000,3745566000000,37887175000000,0,41632741000000,,,,,,,,,,,,,,,3277066000000,4079000000,-527867000000,170232000000,,,,,-532902000000,
