CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
BID,2024,138288436000000,-0.0947417865920977,24658253000000,0.146633202693449,138288436000000,-80280836000000,58007600000000,13464720000000,-6391149000000,7073571000000,5360427000000,285584000000,4900330000000,9191893000000,-4205132000000,4986761000000,445742000000,81060015000000,-27790446000000,53269569000000,-21886528000000,31383041000000,-6261302000000,-6265142000000,3840000000,-463486000000,25121739000000,24658253000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2023,152761316000000,0.2624825669444498,21504918000000,0.18904249893508274,152761316000000,-96625750000000,56135566000000,11893400000000,-5323530000000,6569870000000,4707371000000,305396000000,2871740000000,6542525000000,-4474726000000,2067799000000,355275000000,73013017000000,-25080598000000,47932419000000,-20343515000000,27588904000000,-5611763000000,-5615711000000,3948000000,-472223000000,21977141000000,21504918000000,3314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2022,121000733000000,0.1979332647895252,18085912000000,0.7159084634375755,121000733000000,-65041035000000,55959698000000,10345574000000,-4694148000000,5651426000000,3136613000000,-31664000000,258467000000,6530152000000,-2316065000000,4214087000000,290952000000,69479579000000,-22714597000000,46764982000000,-23842333000000,22922649000000,-4574125000000,-4589174000000,15049000000,-262612000000,18348524000000,18085912000000,2699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2021,101007908000000,0.0031821824321354203,10540138000000,0.5064609750248048,101007908000000,-54184600000000,46823308000000,10370092000000,-3755811000000,6614281000000,1896154000000,586241000000,207341000000,8957444000000,-2778592000000,6178852000000,187622000000,62493799000000,-19465321000000,43028478000000,-29480827000000,13547651000000,-2706380000000,-2707403000000,1023000000,-301133000000,10841271000000,10540138000000,1729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2020,100687502000000,-0.0005928004468609433,6996622000000,-0.16393266121693864,100687502000000,-64890703000000,35796799000000,8618090000000,-3351709000000,5266381000000,1732324000000,478668000000,1516137000000,7992789000000,-2900221000000,5092568000000,154267000000,50037144000000,-17692960000000,32344184000000,-23317941000000,9026243000000,-1802678000000,-1799378000000,-3300000000,-226943000000,7223565000000,6996622000000,1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2019,100747225000000,0.12141814604717042,8368491000000,0.1483800256174719,100747225000000,-64769417000000,35977808000000,7871837000000,-3605506000000,4266331000000,1494696000000,325524000000,481222000000,6517869000000,-1156695000000,5361174000000,214485000000,48121240000000,-17257115000000,30864125000000,-20131916000000,10732209000000,-2184452000000,-2162657000000,-21795000000,-179266000000,8547757000000,8368491000000,2163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2018,89839125000000,0.14257690101358267,7287214000000,0.0737476627113874,89839125000000,-55118277000000,34720848000000,6788718000000,-3233616000000,3555102000000,1039685000000,645456000000,234827000000,5337309000000,-1519277000000,3818032000000,242006000000,44255956000000,-16016084000000,28239872000000,-18848455000000,9391417000000,-1911389000000,-1907345000000,-4044000000,-192814000000,7480028000000,7287214000000,1613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2017,78628515000000,0.2568650135049603,6786710000000,0.11225650219305973,78628515000000,-47673184000000,30955331000000,5611617000000,-2645847000000,2965770000000,668128000000,481615000000,331341000000,4594254000000,-1315256000000,3278998000000,335537000000,39016720000000,-15504237000000,23512483000000,-14847306000000,8665177000000,-1719591000000,-1757940000000,38349000000,-158876000000,6945586000000,6786710000000,1499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2016,62559236000000,0.2765828984613642,6101749000000,0.04800298440657868,62559236000000,-39165623000000,23393613000000,4493784000000,-1981187000000,2512597000000,534468000000,455425000000,402957000000,3785258000000,-1902482000000,1882776000000,1214488000000,30396324000000,-13532094000000,16864230000000,-9199516000000,7664714000000,-1471169000000,-1487939000000,16770000000,-91796000000,6193545000000,6101749000000,1354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BID,2015,49005228000000,0.1141538716524811,5822263000000,0.1767170511371824,49005228000000,-29690259000000,19314969000000,3962354000000,-1625823000000,2336531000000,293971000000,-62986000000,11294000000,3537553000000,-1168160000000,2369393000000,448992000000,24712164000000,-11087176000000,13624988000000,-5676332000000,7948656000000,-1571900000000,-1571900000000,0,-554493000000,6376756000000,5822263000000,1434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
