Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
BID,2024,4,0.0,18.1036174694,0.08387106140561817,2.095124742535039,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.46860085327775175,0.1844445886,0.0,0.0097433372,0.0,0.0,0.0,0.0,0.0,0.0,,19.10361746935534,274535250954700,7021361917,10.9524984758,1.9053985592,3.386814707,2.6718367033,1043.7195926700156,20520.6411070122,0
BID,2024,3,0.0,17.6072498981,0.08346726894496184,2.0070945930670177,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.368221560339575,0.178286575,0.0,0.009624827,0.0,0.0,0.0,0.0,0.0,0.0,,18.60724989810723,269003095452000,6897515268,11.4937934755,2.0172729177,3.5744925638,4.0127167156,746.836766552555,19333.0310726033,0
BID,2024,2,0.0,17.7137945035,0.08599868258912871,1.9531275795067946,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.42903731512627613,0.1806127058,0.0,0.0098393228,0.0,0.0,0.0,0.0,0.0,0.0,,18.713794503545213,281601533460000,5700435900,12.3315997054,2.1716940232,3.7109192448,3.8932251452,1116.7486332054011,22747.2192082714,0
BID,2024,1,0.0,17.0496808988,0.08441522832870355,1.870497273105855,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.4292514193552199,0.1805202316,0.0,0.0098550849,0.0,0.0,0.0,0.0,0.0,0.0,,18.049680898768763,265640312940000,5700435900,12.1319400734,2.1429254481,3.6430567901,15.1417799855,1019.684827962016,21745.973496518,0
BID,2023,4,0.0,17.7265157173,0.0902745838892774,1.7820481611726966,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.40851765757254244,0.1894828352,0.0,0.009727331,0.0,0.0,0.0,0.0,0.0,0.0,,18.718431871824055,304403277060000,5700435900,14.1550542785,2.5818607243,4.1691644801,-4.2864653562,1065.5825460645913,20682.7577869966,0
BID,2023,3,0.0,16.9099277711,0.08805215692974458,1.7265324304897212,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.33250004208053113,0.175847658,0.0,0.0092699331,0.0,0.0,0.0,0.0,0.0,0.0,,17.909927771129745,262220051400000,5700435900,13.3351133448,2.2952016439,3.7405255667,-4.5877218485,803.9525538739941,20041.8120656352,0
BID,2023,2,0.0,17.6135526178,0.09296510876356717,1.6549676160861817,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.40053581599369553,0.1897692571,0.0,0.0096934566,0.0,0.0,0.0,0.0,0.0,0.0,,18.613552617779206,213216778844400,5058523816,10.4728745844,1.9490186252,3.05598946,-15.4610845608,1072.6714348635182,21626.2684489059,0
BID,2023,1,0.0,18.1797364355,0.09445558737090011,1.5925801934738102,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.3923941064823083,0.196535542,0.0,0.0097342838,0.0,0.0,0.0,0.0,0.0,0.0,,19.179736435454146,236233062207200,5058523816,11.7583409885,2.2493750379,3.3439738857,7.0255801234,1081.0426517521412,20761.3222394681,0
BID,2022,4,0.0,19.353291926,0.1010714255040026,1.5107696170452318,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.28270586194356456,0.1906214078,0.0,0.0093544949,0.0,0.0,0.0,0.0,0.0,0.0,,20.34946686388582,224851383621200,5058523816,12.3827057626,2.2605431811,3.2314384304,1.6967623413,806.3492727064785,19663.4155769684,0
