Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
BID,2024,5,0,0,0.08387106140561817,2.095124742535039,0,0,,0,0,,0,0.0,0.0,0.4250865921017246,0.18791148,0,0.0099264767,0,0.0,0.0,0,0,0,,19.10361746935534,269692848230000,6897515300,10.9372244753,1.93636918,3.3270762191,2.6681106461,3574.947198739813,20192.4304539056,0
BID,2023,5,0,0,0.09031026251507027,1.7813210152650583,0,0,,0,0,,0,0.0,0.0,0.3830890027901384,0.193643658,0,0.0099409319,0,0.0,0.0,0,0,0,,18.72651571734676,214051368045000,5700435900,11.3690125267,1.8155219138,2.9316877571,-3.0141717557,3772.504134289099,20682.7577869966,0
BID,2022,5,0,0,0.10122578114236273,1.5095074233911794,0,0,,0,0,,0,0.0,0.0,0.32319531102544546,0.1933666665,0,0.0094892149,0,0.0,0.0,0,0,0,,20.36791357117546,219539937260000,5058523900,14.2787872055,2.2071445599,3.1551052915,1.6566813411,3575.3339032360805,19663.4152504449,0
BID,2021,5,0,0,0.12442202232190133,1.2515960116900462,0,0,,0,0,,0,0.0,0.0,0.22510451418767763,0.130636895,0,0.0066137946,0,0.0,0.0,0,0,0,,20.406760896387272,195259022540000,5058523900,23.0608054977,2.3486954035,3.1244543565,2.8343535258,2083.639063166233,16434.6555721522,0
BID,2020,5,0,0,0.13085454281470252,1.1547145443738074,0,0,,0,0,,0,0.0,0.0,0.1954538449094289,0.091844675,0,0.00480507,0,0.0,0.0053908356,0,0,0,,19.04268962501506,149216867800000,4022018000,29.0859917855,1.9527932079,2.9821219972,-2.1971829438,1739.5799819891408,18998.4274063418,0
BID,2019,5,0,0,0.13656508563399516,1.1258109331089052,0,0,,0,0,,0,0.0,0.0,0.23260146921680164,0.1293111912,0,0.006099017,0,0.0,0.0200501253,0,0,0,,19.187380494768128,160478518200000,4022018000,24.2689924162,2.1534224355,3.3348791137,4.7556429019,2080.6697036164433,18528.6450731946,0
BID,2018,5,0,0,0.19689937113935901,0.7899896394981057,0,0,,0,0,,0,0.0,0.0,0.2098800697494485,0.1458973462,0,0.0059967149,0,0.0,0.0175438596,0,0,0,,24.093861943264976,136406740470000,3418715300,24.3057895828,2.6480266027,3.0664872052,7.0128535279,2131.5650355559,15067.8244544084,0
BID,2017,5,0,0,0.21191214893063257,0.7079942283934935,0,0,,0,0,,0,0.0,0.0,0.2192420426710992,0.1494023673,0,0.006289332,0,0.0,0.0175438596,0,0,0,,24.619805807469017,136406740470000,3418715300,27.2755111346,2.9678611849,3.4961098849,3.7924737593,1985.1638421017392,13444.0250113837,0
BID,2016,5,0,0,0.22169666192994408,0.6395357499917607,0,0,,0,0,,0,0.0,0.0,0.26082969740501394,0.1440535837,0,0.006708836,0,0.0,0.0175438596,0,0,0,,22.814109859622114,136406740470000,3418715300,29.4059199276,3.2065149702,4.4820427639,12.8027722893,1784.8075854693136,12443.4160984391,0
BID,2015,5,0,0,0.20161136786986605,0.6137784166482254,0,0,,0,0,,0,0.0,0.0,0.3014378640731963,0.1686822391,0,0.0084975413,0,0.0,0.0213032581,0,0,0,,20.08970588721606,136406740470000,3418715300,30.5614265454,3.3310785472,5.5198217554,20.3125144027,1703.0558233380825,11978.1024175953,0
BID,2014,5,0,0,0.20053459340757898,0.4823659782872408,0,0,,0,0,,0,,,0.2937431749755495,0.1526740646,0,0.0083182731,0,,0.0255639098,0,0,0,,19.5466067763515,112166983740000,2811202600,28.9583725406,3.3712868145,5.1202313848,9.1995483628,1760.0606231653314,11835.2433936992,0
BID,2013,5,0,0,0.16233145317211936,0.4645148543366733,0,0,,0,0,,0,0.0,0.0,0.2715260928737477,0.1384145389,0,0.0078418953,0,0.0,0.0213032581,0,0,0,,17.115679586971066,112166983740000,2811202600,27.8281026341,3.5008440466,5.8530475457,34.2278683859,1433.8023876329653,11397.2514823371,0
