time,open,high,low,close,volume
2023-09-11 10:00:00,43.69,44.26,43.69,43.93,458700
2023-09-11 11:00:00,43.98,44.07,43.93,44.02,18500
2023-09-11 13:00:00,44.07,44.07,43.64,43.79,207700
2023-09-11 14:00:00,43.79,43.79,43.4,43.4,236100
2023-09-12 10:00:00,43.4,43.5,43.31,43.5,222800
2023-09-12 11:00:00,43.55,43.6,43.5,43.6,21700
2023-09-12 13:00:00,43.6,43.6,43.4,43.4,106800
2023-09-12 14:00:00,43.45,43.69,43.45,43.69,105500
2023-09-13 10:00:00,43.83,43.88,43.64,43.79,271500
2023-09-13 11:00:00,43.79,43.93,43.69,43.88,121500
2023-09-13 13:00:00,43.83,43.88,43.6,43.6,127500
2023-09-13 14:00:00,43.6,43.64,43.4,43.45,284900
2023-09-14 10:00:00,43.5,43.5,43.21,43.26,266900
2023-09-14 11:00:00,43.26,43.31,43.17,43.17,35100
2023-09-14 13:00:00,43.26,43.26,42.88,43.21,225300
2023-09-14 14:00:00,43.07,43.21,42.83,43.12,143100
2023-09-15 10:00:00,43.21,43.31,43.17,43.17,147500
2023-09-15 11:00:00,43.17,43.21,43.07,43.17,76500
2023-09-15 13:00:00,43.17,43.21,43.07,43.17,110300
2023-09-15 14:00:00,43.17,43.17,42.83,42.83,266200
2023-09-18 10:00:00,42.88,43.02,42.69,42.88,144700
2023-09-18 11:00:00,42.88,42.88,42.74,42.83,23400
2023-09-18 13:00:00,42.78,42.83,42.69,42.74,87200
2023-09-18 14:00:00,42.74,42.78,42.45,42.74,286500
2023-09-19 10:00:00,42.45,42.59,42.26,42.31,389500
2023-09-19 11:00:00,42.31,42.36,42.16,42.36,172900
2023-09-19 13:00:00,42.36,42.36,41.88,41.97,821700
2023-09-19 14:00:00,41.97,42.12,41.73,42.02,356400
2023-09-20 10:00:00,42.36,42.45,42.31,42.4,157200
2023-09-20 11:00:00,42.4,42.4,42.31,42.31,12200
2023-09-20 13:00:00,42.31,42.74,42.31,42.59,87800
2023-09-20 14:00:00,42.64,42.64,42.55,42.55,52500
2023-09-21 10:00:00,42.59,42.69,42.55,42.55,89300
2023-09-21 11:00:00,42.55,42.69,42.55,42.55,19800
2023-09-21 13:00:00,42.59,42.59,42.36,42.4,92900
2023-09-21 14:00:00,42.4,42.5,42.31,42.31,98600
2023-09-22 10:00:00,41.69,41.78,41.11,41.16,506600
2023-09-22 11:00:00,41.16,41.4,41.02,41.35,144800
2023-09-22 13:00:00,41.35,41.64,41.16,41.64,166700
2023-09-22 14:00:00,41.64,41.69,41.4,41.59,62800
2023-09-25 10:00:00,41.64,41.97,41.64,41.93,176600
2023-09-25 11:00:00,41.97,41.97,41.83,41.88,16000
2023-09-25 13:00:00,41.93,41.93,41.31,41.4,132500
2023-09-25 14:00:00,41.4,41.59,40.26,40.26,423700
2023-09-26 10:00:00,39.97,40.26,39.78,40.16,549100
2023-09-26 11:00:00,40.07,40.26,39.78,39.78,43800
2023-09-26 13:00:00,39.78,40.83,39.78,40.83,426100
