CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,Cổ đông thiểu số,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Lợi thế thương mại,_Các quỹ khác,_Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
BVH,2024,4,121164969626422,1460577126381,103898742891896,11505210713516,100390396111,671084209230,130052807840014,66916382934.0,1889685686425,109961268939,127647735938580,206873485147,251217777466436,227711204753433,40840447004198,186870757749235,23506572713003,23506572713003,103568802818.0,3961500334269,0.0,0,251217777466436,31958261318,3547995002349.0,100390396111,4483985450,2933853033569,7423227640000.0,7423227640000,0.0,0.0,21186000000,2910226356811,0.0,172723819907,1279201704150,66916382934.0,0.0,0.0,0,0,961614106817.0
BVH,2024,3,111208083908090,2492005463163,93251213285305,10893393829879,91812648790,589683073794,127011021663314,83849597252.0,1911974126591,111420651340,124582262388488,177873839429,238219105571404,214466291260485,31915298374214,182550992886271,23752814310919,23752814310919,103568802818.0,4212811471478,0.0,0,238219105571404,55545119119,3292164561718.0,91812648790,10964532869,2933853033569,7423227640000.0,7423227640000,0.0,299740000.0,21366000000,1883731996195,0.0,142409246171,1295699403577,83849597252.0,0.0,0.0,0,0,983277217376.0
BVH,2024,2,116660899076179,5992291038616,94685514103906,12288551115815,93784040005,566810697055,118182742728911,84507987252.0,1935593611063,112880033748,115731983220500,172854020472,234843641805090,211614719915186,34253708859454,177361011055732,23228921889904,23228921889904,103568802818.0,3734186827261,0.0,0,234843641805090,54981856235,4036450189373.0,93784040005,16365187369,2933853033569,7423227640000.0,7423227640000,0.0,299740000.0,21301000000,3613269653833,0.0,139912673789,1295699403577,84507987252.0,0.0,0.0,0,0,959177999926.0
BVH,2024,1,122492416687523,7527514649559,99077973070151,12103123934093,116049479077,609644848840,111779161491947,83842495252.0,2038576062420,45388992000,109296753355541,166429263527,234271578179470,211395654885072,38507301239103,172888353645969,22875923294398,22875923294398,103568802818.0,4111143842517,0.0,0,234271578179470,64029508271,3900994217440.0,116049479077,14704407273,2233517394474,7423227640000.0,7423227640000,0.0,1386080000.0,20986000000,4092163608271,0.0,134114197050,1277496668080,83842495252.0,0.0,0.0,0,0,949233428406.0
BVH,2023,4,122497125632228,4789210029975,101565789666730,12376317880068,113865625531,644026547583,98708539284757,84370325019.0,1810750884095,45388992000,96201978342468,188645702718,221205664916985,199008686355122,30889643636066,168119042719056,22196978561863,22196978561863,103568802818.0,3486943191064,0.0,0,221205664916985,57945027330,3251775353702.0,113865625531,5235861924,2233517394474,7423227640000.0,7423227640000,0.0,1386080000.0,19647000000,3372603852643,0.0,152852869935,1140403742807,84370325019.0,0.0,0.0,0,0,917970937833.0
BVH,2023,3,120032861235628,12343767739186,91297422409715,12688725731088,135532710890,596341149610,95260259305898,84045744488.0,1838002443441,45388992000,92718998172412,175124015416,215293120541526,192724045482788,30343613615996,162380431866792,22569075058738,22569075058738,103568802818.0,3856500726619,0.0,0,215293120541526,43269821383,3380351920855.0,135532710890,13656994713,2233517394474,7423227640000.0,7423227640000,0.0,2764327000.0,19254000000,1720540801048,0.0,134842546462,1140403742844,84045744488.0,0.0,0.0,0,0,938989594510.0
BVH,2023,2,131041763365611,7054396165882,109191215459429,11146497043813,138287942264,583849210651,89726114992420,82805402088.0,1820293193502,45388992000,87130037927510,200167322213,220767878358031,198621386200291,41387494956236,157233891244055,22146492157740,22146492157740,103568802818.0,3475514048521,0.0,0,220767878358031,35960507909,2942507738110.0,138287942264,19399833954,2233517394474,7423227640000.0,7423227640000,0.0,8088310000.0,19228000000,2348619341259,0.0,147871147895,1139622185057,82805402088.0,0.0,0.0,0,0,912318328925.0
BVH,2023,1,133622058950736,2647940764589,117145874518323,9902906875150,146428494620,639756365297,86838965808924,81313985542.0,1843679865684,45388992000,84237838980161,188150642639,220461024759660,198653638244353,45866043668602,152787594575751,21807386515307,21807386515307,103568802818.0,3806576648265,0.0,0,220461024759660,32724914721,2331720133413.0,146428494620,17798770789,1592882068422,7423227640000.0,7423227640000,0.0,54486350296.0,19123000000,1718379157390,0.0,138156381273,1163619711195,81313985542.0,0.0,0.0,0,0,898204393479.0
BVH,2022,4,117332454521826,2206366156158,102406870575795,9035191638200,131791283375,668067254545,84277601983671,83369135386.0,1885973721266,45388992000,81619207402581,209628057459,201610056505497,180319270877323,32558300288678,147760970588645,21290785628174,21290785628174,103568802818.0,3300876157888,0.0,0,201610056505497,41691151876,2289205400137.0,131791283375,6402669268,1605484135183,7423227640000.0,7423227640000,0.0,91299047538.0,19391500000,981461185741,0.0,146598546313,1188860741950,83369135386.0,0.0,0.0,0,0,892718516833.0
BVH,2022,3,115119751414574,2255960222699,100317508842077,8989720733157,139867767196,612899398685,75733610686951,72699718390.0,1873169619302,45388992000,73119379008180,155260317083,190853362101525,167688096844657,25572911045374,142115185799283,23165265256868,23165265256868,103568802818.0,5202195539897,0.0,0,190853362101525,47856230405,2803675245989.0,139867767196,19547120059,1593955068422,7423227640000.0,7423227640000,0.0,192745387538.0,19016500000,1059570450729,0.0,101512320359,1089026700036,72699718390.0,0.0,0.0,0,0,893685697226.0
BVH,2022,2,125128227025426,3138065441404,110218580994797,8466708850931,134645729685,568552230782,68166561791749,72407178390.0,1891133796275,45388992000,65545806395604,155002563486,193294788817175,170501169704563,33885100953080,136616068751483,22793619112612,22793619112612,103568802818.0,4869270066857,0.0,0,193294788817175,48297883489,2681492449094.0,134645729685,13402766613,1593955068422,7423227640000.0,7423227640000,0.0,229282568157.0,17036500000,1470384463715,0.0,102081969829,929979503703,72407178390.0,0.0,0.0,0,0,869506365355.0
BVH,2022,1,109934445842798,10762739429706,86860089662697,9174624476563,159944586775,588350275927,73843645352706,72984341909.0,1921063190736,45388992000,71218797499161,146092904599,183778091195504,161250906742553,30211241521574,131039665220979,22527184452951,22527184452951,103568802818.0,4928725605958,0.0,0,183778091195504,56509289489,3703128813867.0,159944586775,19783831203,1284786140295,7423227640000.0,7423227640000,0.0,230728908157.0,17186500000,2871489696797,0.0,94373537442,922978975567,72984341909.0,0.0,0.0,0,0,866055328299.0
BVH,2021,4,99487771724691,5354361778285,82006928378423,9234607645794,155611781480,610913931154,69973152706453,73349498240.0,1933110314009,45388992000,67341350469308,138214457876,169460924431144,147448332538512,21631435598979,125816896939533,22012591892632,22012591892632,103568802818.0,4461002214955,0.0,0,169460924431144,97367505035,3589966851304.0,155611781480,15191044239,1284780394031,7423227640000.0,7423227640000,0.0,267966971621.0,17462140000,2506330153950,0.0,108134612710,909759136228,73349498240.0,0.0,0.0,0,0,836065113673.0
