CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,Cổ đông thiểu số,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Lợi thế thương mại,_Các quỹ khác,_Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
BVH,2024,121164969626422,1460577126381,103898742891896,11505210713516,100390396111,671084209230,130052807840014,66916382934.0,1889685686425,109961268939,127647735938580,206873485147,251217777466436,227711204753433,40840447004198,186870757749235,23506572713003,23506572713003,103568802818.0,3961500334269,0.0,0,251217777466436,31958261318,3547995002349.0,100390396111,4483985450,2933853033569,7423227640000.0,7423227640000,0.0,0.0,21186000000,2910226356811,0.0,172723819907,1279201704150,66916382934.0,0.0,0.0,0,0,961614106817.0
BVH,2023,122398176223278,4783513586776,101565789666732,12278031992798,113315013433,655668035987,98703426370373,84370325019.0,1815502401731,45388992000,96200740149933,182836911108,221101602593651,198842579484569,30823017939929,168019561544640,22259023109082,22259023109082,103568802818.0,3546088681888,0.0,0,221101602593651,48615471980,3251775353702.0,113315013433,5236161924,2233517394474,7423227640000.0,7423227640000,0.0,1386080000.0,19647000000,3372603852643,0.0,149510887437,1140403742807,84370325019.0,0.0,0.0,0,0,918104772086.0
BVH,2022,117373071556758,2206497560116,102407686408287,9015457349215,130657299623,662942344625,84290904828356,83369135387.0,1886457022912,45388992000,81637575741897,203800430838,201663976385114,180393018780152,32503856533023,147889162247129,21270957604962,21270957604962,103568802818.0,3306180965907,0.0,0,201663976385114,35077502602,2289205400137.0,130657299623,6417666068,1592882068422,7423227640000.0,7423227640000,0.0,91023530915.0,19391500000,981076722026,0.0,153847426306,1188860741950,83369135387.0,0.0,0.0,0,0,880535475965.0
BVH,2021,99468440209753,5354092025872,82007147486839,9232098333287,141653223444,585578169288,70036158576516,72361637816.0,1934480147292,45388992000,67383497918631,158690905757,169504598786269,147473277653513,21714306947626,125758970705887,22031321132756,22031321132756,103568802818.0,4480031128008,0.0,0,169504598786269,56638491525,3417516489890.0,141653223444,15172004239,1284786140295,7423227640000.0,7423227640000,0.0,267266088776.0,17372000000,2506330153950,0.0,108990144232,929538716123,72361637816.0,0.0,0.0,0,0,836184565455.0
BVH,2020,91841581344776,6780742363756,73718143604394,8299283030486,124433087390,672283091006,54571219473584,70801065457.0,1788655050662,45388992000,51874244925437,230200940217,146412800818360,125591034777516,19747437592781,105843597184735,20821766040844,20821766040844,103568802818.0,3723310113726,0.0,0,146412800818360,63469950921,2238692447282.0,124433087390,9730521129,967358385620,7423227640000.0,7423227640000,0.0,316542417119.0,14895367272,895634463715,0.0,202692782843,1042701268763,70801065457.0,0.0,0.0,0,0,754873257039.0
BVH,2019,79755413497351,4742602123821,63081067015771,8066123022982,126357485890,697888873774,48482824687136,63160764211.0,1898098756584,45388992000,45679482507955,352580715729,128238238184487,108335629665873,20707174565073,855860939229,19902608518614,19902608518614,103568802818.0,3037187232453,0.0,0,128238238184487,51656014873,1547244188647.0,126357485890,16521708284,801321408999,7423227640000.0,7423227640000,0.0,633298261127.0,7152477309,106634758994,0.0,293684307605,928533355221,63160764211.0,0.0,0.0,0,0,735171665904.0
BVH,2018,69335209024327,2159930729474,55405024269544,7580187867688,148925878756,698334742140,43839546429736,69855959987.0,1658411959086,45388992000,41006671294655,430334149857,113174755454063,97698783565332,25799328881234,639218477238,15475971888731,15475971888731,103568802818.0,2882690188748,0.0,0,113174755454063,36678295400,1721211234462.0,148925878756,8861198449,631338501669,7008864340000.0,7008864340000,0.0,448670863007.0,16901747900,131341550381,0.0,359135525984,387705861221,69855959987.0,0.0,0.0,0,0,692776454627.0
BVH,2017,44952009831502,3789197489323,31154634771729,6915014664074,144572406356,603935685514,46439507429452,75859298354.0,1657410869307,45388992000,43820854114286,394627382516,91391517260954,76930695615246,22282574292635,138496567134,14460821645708,14460821645708,103568802818.0,2801609004124,0.0,0,91391517260954,22478515959,1408715229254.0,144572406356,7727878219,464777333764,6804714340000.0,6804714340000,0.0,3922299998.0,132060292425,91842475489,0.0,329934675506,366889741221,75859298354.0,0.0,0.0,0,0,700999599140.0
BVH,2016,30299175462459,2883458103350,20802681180898,4706940319124,118799477849,471008304527,42697277045377,64845196260.0,1541816587616,138880906477,40571759374173,156476815885,72996452507836,59309916882792,16230271115790,103152922903,13686535625044,13686535625044,103568802818.0,2288129402650,0.0,0,72996452507836,220390172983,919682055427.0,118799477849,10122721885,301301554536,6804714340000.0,6804714340000,0.0,3337550002.0,10443709813,161009048468,0.0,97684821223,399533150523,64845196260.0,0.0,0.0,0,0,655920177506.0
BVH,2015,22163065317844,2256691436043,14882101197172,3500078421014,103010911121,414343543056,36389499190933,40044256836.0,1678491603232,23448947000,34352193347678,103333425369,58552564508777,45354373261929,10855723087317,81118146928,13198191246848,13198191246848,103568802818.0,2038471565269,0.0,0,58552564508777,23739842786,800636014909.0,103010911121,59174009208,142369277946,6804714340000.0,6804714340000,0.0,1360550000.0,8228873607,29800759917,0.0,48518305909,563527138423,40044256836.0,0.0,0.0,0,0,616210081846.0
