CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
BVH,2024,4,655910038068.0,113076085212.0,4337402363209.0,5455624306.0,0.0,-3232865558428.0,320454126683.0,0.0,2199432679050.0,2020182602584.0,-8577747321.0,-414265601887.0,-91479712908.0,-31640508877.0,-119757549111.0,0.0,-48805435413.0,3528879087967,-41172129258,431618182,-31497820550999,16567744977558,-245308499,0,2129852534162,-12841208858854,0,0,12228301080000,-3180515840000,0,-767074656367,0.0,8280710583633,-1031619187254,2492005463163,190850472,1460577126381
BVH,2024,3,688154006506.0,61404444977.0,5201491902440.0,-792823832.0,0.0,-3123289563933.0,241744389681.0,0.0,3068712355839.0,-246012014743.0,1971391215.0,-231766516747.0,-25987934882.0,-326267030040.0,-93146996612.0,0.0,-24926866417.0,2018758821157,-33944059281,87230909,-54712012637219,47736239406497,0,0,3559787073608,-3449842985486,0,0,23834682446399,-25903200623000,0,0,0.0,-2068518176601,-3499602340930,5992291038616,-683234523,2492005463163
BVH,2024,2,534481375377.0,131593903217.0,4487867413364.0,9104779781.0,0.0,-3124740448106.0,232443258821.0,0.0,2270750282454.0,-2166001468775.0,22265439072.0,-14397218053.0,117929758728.0,-160148854788.0,-113281356744.0,0.0,-26680267955.0,-356529642195,-35440972266,165572727,-44287971894355,44996374547627,0,0,2564775449237,3237902702970,0,0,7069111899800,-11486395338500,0,0,0.0,-4417283438700,-1535910377925,7527514649559,686766982,5992291038616
BVH,2024,1,741864806625.0,54634002649.0,4777652705816.0,-421794957.0,0.0,-3274084110900.0,237073043221.0,0.0,2536718652454.0,2333958785068.0,-2734465644.0,-495311063505.0,-4670235428.0,-152904540944.0,-106224562156.0,0.0,-48321051064.0,4033986709531,-22132208537,66363636,-48390024597007,34618823264305,0,0,4403903635837,-9389363541766,0,0,24894671605870,-16795812651000,0,-6779200,0.0,8098852175670,2743475343435,4783513586776,525719348,7527514649559
BVH,2023,4,447565861396.0,46760420357.0,5634282160625.0,22445885621.0,0.0,-3331969590503.0,195539332900.0,0.0,3014624070396.0,1566371346602.0,21667085359.0,-1042209078718.0,-148777982488.0,-238523663698.0,-80742375175.0,0.0,-28546660521.0,2735735267677,-11948897494,16900000,-46606537791890,32360900101528,0,0,3072683188380,-11184886499476,0,0,22322217863428,-20693540336008,0,-734083646674,0.0,894593880746,-7554557351053,12343767739186,-358158,4789210029975
BVH,2023,3,547809167968.0,54803822225.0,5137035617007.0,-1929704776.0,0.0,-3523068088177.0,408531429718.0,0.0,2623182243965.0,956251557009.0,2755231374.0,-20724691784.0,-62520007108.0,-854135925278.0,-85750911237.0,0.0,-30716306685.0,2775880555067,-133505410252,319072728,-40485264768054,50155454846345,-408847499,0,3454275483761,12990870377029,0,0,18537851955937,-29016192553944,0,0,0.0,-10478340598007,5288410334089,7054396165882,961239215,12343767739186
BVH,2023,2,507100069960.0,52505666219.0,4492350688288.0,-2540824107.0,0.0,-3632970693992.0,651333948217.0,0.0,2067778854585.0,-553922956264.0,8140552356.0,79446737254.0,147251900103.0,-339280351623.0,-104035702490.0,0.0,-16156860209.0,1026962053594,15940546171,346800909,-34167637408362,39458563401851,-60087152,0,3090077873063,8397231126480,0,0,15760551380275,-20778384493036,0,-18758320,0.0,-5017851871081,4406341308993,2647940764589,114092300,7054396165882
BVH,2023,1,657200063290.0,49960488054.0,4842966833988.0,-1929968317.0,0.0,-3141405143055.0,522247487428.0,0.0,2929039761388.0,-707728826714.0,-15771194997.0,-92172240784.0,-59758213357.0,-355130091502.0,-89631032447.0,0.0,-18145456265.0,1592005781837,-28328317468,185163637,-42192371333011,25341322945217,-90130728,0,2464648919754,-14414632752599,0,0,21712365085347,-8448388324521,0,0,0.0,13263976760826,441349790064,2206497560116,93414409,2647940764589
BVH,2022,4,437218012737.0,23345132467.0,5761998742044.0,15544861032.0,0.0,-2662275328621.0,212055814992.0,0.0,3786814234651.0,-3366311917752.0,8076483821.0,2459145888081.0,-101258016588.0,-79812322541.0,-106388680624.0,0.0,-43118730110.0,2662161931160,-3758303027,0,-30344296085885,26878889837849,0,0,-1309093599980,-4778258151043,0,0,16907108068596,-12572144676021,0,-2268458776896,0.0,2066504615679,-49591604204,2255960222699,-2462337,2206366156158
BVH,2022,3,503322377729.0,81338504686.0,5597931972746.0,1206397630.0,0.0,-2489211745852.0,194941595955.0,0.0,3889529102894.0,-116128415804.0,-5222037511.0,536039713730.0,-184081707084.0,-132951749051.0,-85784334469.0,0.0,-22048971191.0,3803329050274,-26439530730,462089727,-44628200733265,46771297653313,0,0,2213281245031,4330400724076,0,0,12065913045856,-21082976268543,0,0,0.0,-9017063222687,-883333448337,3138315441404,978229632,2255960222699
