CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
BVH,2024,2620410226576.0,360708436055.0,18804414384829.0,13345785298.0,0.0,-12754979681367.0,1031714818406.0,0.0,10075613969797.0,1942127904134.0,12924617322.0,-1155740400192.0,-4208124490.0,-670960934649.0,-432410464623.0,0.0,-148733620849.0,9225094976460,-132689369342,750785454,-178887829679580,143919182195987,-245308499,0,12658318692844,-22442512683136,0,0,68026767032069,-57365924452500,0,-767081435567,0.0,9893761144002,-3323656562674,4783513586776,720102279,1460577126381
BVH,2023,2236298700174.0,203390740109.0,20001631625093.0,16099743627.0,0.0,-13624967435230.0,1777742465476.0,0.0,10610195839249.0,1705439520294.0,17342286190.0,-1175877607268.0,-131677740983.0,-1787160299314.0,-360202939230.0,0.0,-59665233670.0,8476848672394,-179223609626,1056681274,-163901811301317,147964399043822,-559065379,0,11552755197497,-4563383053729,0,0,78332986284987,-78936505707509,0,-734102404994,0.0,-1337621827516,2575843791149,2206497560116,1172235511,4783513586776
BVH,2022,2010163563631.0,211803973840.0,22567116332600.0,16219103087.0,0.0,-9987399223459.0,732426110365.0,0.0,15549256860064.0,-4346443102143.0,10995923821.0,-133150830544.0,-665529008941.0,-688972800896.0,-426509931095.0,0.0,-115074831227.0,9101716320222,-163378387443,2489490635,-157948793058181,128988459811387,-250000000,6559843455,8370940521353,-20743971778794,0,0,85591616583165,-74823926863995,0,-2268458776216,0.0,8499230942954,-3143024515618,5354092025872,-4569950138,2206497560116
BVH,2021,2398034325409.0,226311777789.0,19751386296114.0,-7612658011.0,0.0,-8987183374694.0,321201678885.0,0.0,13702138045492.0,-1065508541724.0,-17220136054.0,700525423660.0,212589276761.0,-420996995370.0,-338734753436.0,0.0,-58336039784.0,12321652024712,-237768613970,1585989110,-94785369046052,72177863032366,-4425975843,207297671249,8354119919729,-14286697023411,0,0,48063151289896,-46836804754365,0,-687434838726,0.0,538911696805,-1426133301894,6780742363756,-517035990,5354092025872
BVH,2020,1953285808059.0,206997738211.0,18324904209345.0,-3832163038.0,0.0,-9547259680419.0,702373401785.0,0.0,11636469313943.0,-13288642669.0,1924398500.0,105126771747.0,748213752516.0,-757788609663.0,-237775940333.0,0.0,-68382974829.0,11796140279964,-231433491623,1026440364,-87906743938242,71688969281693,-29535895500,0,8717737729146,-7759979874162,0,0,17451796200000,-18829087539287,0,-621510028457,0.0,-1998801367744,2037359038058,4742602123821,781201877,6780742363756
BVH,2019,1511728184609.0,181146935314.0,15681395633664.0,3870364981.0,0.0,-7969281795376.0,982499854551.0,0.0,10391359177743.0,-109801140574.0,22568392866.0,-105674992179.0,-6254733517.0,-959276338523.0,-270336852298.0,0.0,-67845500995.0,9267692504934,-223164104120,919029273,-68231385894147,56170009639929,-196000000000,158324419933,7198647190833,-5122649718299,4011741161610,0,18565479700464,-23411545403731,0,-728457959360,0.0,-1562782501017,2582260285618,2159930729474,411108729,4742602123821
BVH,2018,1421948961404.0,166224971178.0,16914962088125.0,-12679979897.0,0.0,-9123212285921.0,707876331691.0,0.0,10075394976816.0,-466025493912.0,-4353472400.0,575655669200.0,-766375849699.0,-761725374891.0,-271433425584.0,0.0,-122565089026.0,7703073141458,-320626904129,12515592640,-73801135626747,52785252681718,-11148620000,203315728000,8344270760791,-12787556387727,732898500000,0,31602183976279,-28159988030131,0,-720806661545,0.0,3454287784603,-1630195461666,3789197489323,928701817,2159930729474
BVH,2017,1944733094468.0,146090503907.0,11594805369065.0,616288100.0,0.0,-5863740343185.0,718865003138.0,0.0,8541369915493.0,-2582972258984.0,-25772928507.0,1242891803359.0,-607537213595.0,-589169962197.0,-239450259049.0,0.0,-75581406042.0,5769443323628,-382043545560,1277010539,-43931366111635,30908507307192,-109953290000,67608566004,4733488436891,-8712481626569,0,0,34121429630770,-29594161278202,0,-680041173600,0.0,3847227178968,904188876027,2883458103350,1550509946,3789197489323
BVH,2016,1398784913549.0,133278323464.0,8539358610878.0,-2406799291.0,0.0,-4702485215442.0,469304726277.0,0.0,5835834559435.0,-943768804721.0,-15788566728.0,651227682590.0,-346846298585.0,-405432471461.0,-340807252113.0,0.0,-146723603451.0,3312821122618,-77038755907,1925467912,-35111691375005,24772819391338,-669895682237,18000000000,4185543675109,-6880337278790,0,0,27810774496766,-23069164829612,0,-544265229840,0.0,4197344437314,629828281142,2256691436043,-3061613835,2883458103350
BVH,2015,1468891856638.0,158323745833.0,5983182996807.0,-4782030076.0,0.0,-3431723815825.0,223577394123.0,0.0,4397470147500.0,118470490972.0,-94009033080.0,218102147001.0,-3233368033.0,-167024839413.0,-274892086257.0,0.0,-114407606966.0,4192841907865,-108040074269,1055555257,-13542772264140,3534899361649,-197598877198,0,3107618426268,-7204837872433,0,0,16897026534657,-12373735516055,0,-681281899550,0.0,3842009119052,830013154484,1424818218079,1860063480,2256691436043
