CP,Năm,Kỳ,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Doanh thu thuần,Lãi gộp,Thu nhập tài chính,Chi phí tài chính,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Lãi/lỗ từ công ty liên doanh,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,_Doanh thu thuần,Giá vốn hàng bán,_Lãi gộp,Chi phí bán hàng,_Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác
BVH,2024,4,11189590208588,0.006738673557235005,536031058709,0.49476304706642277,10506408077906,55536510130,3204672877407,-616782786095,-1620235193609,-1973904273278,0,16120865066,656910038068,-113373629627,-4660488602,538875919839,2844861130,536031058709,0,0,0,0,0,0,-409205589799,0,17640204726,38431242641,-1519339660
BVH,2024,3,10473575370025,0.007877982993148057,536555710983,0.23727345007686065,9746436905802,-145033082073,3105166130634,-526399663630,-1428780746812,-1941133499726,0,3326120189,688154006506,-129847526777,2348448706,560654928435,24099217452,536555710983,0,0,0,0,0,0,-367319670841,0,3801746225,25099443985,-475626036
BVH,2024,2,10708089813599,0.016101313221384018,427834300121,0.0635820434895356,9990729929129,-402441677273,3116372526598,-562542548882,-1388900736660,-2043246261032,0,6222478904,534481375377,-92139062753,-740338681,441601973943,13767673822,427834300121,0,0,0,0,0,0,-251903847099,0,7660743552,12317732918,-1438264648
BVH,2024,1,10322671994713,-0.016729631413472678,585771525996,0.10895669487234694,9618629223508,-488787756073,3258485105958,-397249915948,-1346082764030,-2153125494396,0,4539313235,741864806625,-123747118226,-1217506083,616900182316,31128656320,585771525996,0,0,0,0,0,0,-318254974293,0,4900030732,20710028395,-360717497
BVH,2023,4,11114691927996,-0.012964088253000258,358606041112,0.050042850306678745,10570319237437,-789668186060,3295561442982,-663716222100,-1250500755505,-2185825450551,0,11404961651,447565861396,-76999864640,-853107257,369712889499,11106848387,358606041112,0,0,0,0,0,0,-145656508986,0,12180351333,36843129133,-775389682
BVH,2023,3,10391709658069,-0.02519685862762569,433659762884,0.1288142548389468,9726325368170,-794528699883,3513790934942,-664919220777,-1063597979571,-2341740135197,0,2201333167,547809167968,-86390269912,-1087869587,460331028469,26671265585,433659762884,0,0,0,0,0,0,-483613455743,0,2805110773,20513516304,-603777606
BVH,2023,2,10538407611787,-0.02462212990372329,402257919584,0.2111595330180567,9891173891235,-794597534646,3612279381928,-877391778137,-1010301046680,-2261700219135,0,4184507858,507100069960,-85485020442,-104108146,421510941372,19253021788,402257919584,0,0,0,0,0,0,-456801637809,0,5931754563,24980814042,-1747246705
BVH,2023,1,10498304763879,0.04831641001716777,528218575806,0.12222975867934072,9846490606416,-111381766638,3124947998167,-630740688975,-1162973178524,-1870373470896,0,2310494530,657200063290,-111996868181,997640169,546200835278,17982259472,528218575806,0,0,0,0,0,0,-596018525734,0,2832341575,20957973108,-521847045
BVH,2022,4,11260676329723,0.0,341515625774,0.0,10588349313659,-409685829086,2661697661117,-521175730685,-810291839266,-1710291084833,0,12642555526,434868536186,-83894642500,1227486083,352201379769,10685753995,341515625774,0,0,0,0,0,0,-490313416481,0,14353219641,10638337904,-1710664115
BVH,2022,3,10660316136691,0.0,384172826508,0.0,10048468764064,18417047116,2473697567053,-432433022412,-987387886136,-1571672179814,0,3699595368,503322377729,-92928202352,-2042016997,408352158380,24179331872,384172826508,0,0,0,0,0,0,-602701340794,0,3898552165,21451458694,-198956797
BVH,2022,2,10804435834439,0.0542020637855703,332126287758,-0.24587586018905935,10333271387504,134372055571,2435901803816,-563893051225,-947029471915,-1443671031102,0,1532521698,422714028519,-80807465094,-1303411614,340603151811,8476864053,332126287758,0,0,0,0,0,0,-631013614758,0,2067079751,30887015071,-534558053
BVH,2022,1,10014442837642,0.0,470686659056,0.0,9728218641025,339346766069,2351503416186,-324595759020,-1225391000167,-1472639811272,0,7534495667,625185203966,-125297305290,669523224,500557421900,29870762844,470686659056,0,0,0,0,0,0,-586595577174,0,7963516786,5195911384,-429021119
BVH,2021,4,10763617237573,0.012626578123174123,524538859697,0.1488651791637529,10043536319497,-4890691339,2308649729771,-328765894443,-835928136222,-1374907848529,0,10045407861,662670473201,-109537638804,-1204211600,551928622797,27389763100,524538859697,0,0,0,0,0,0,-534089020968,0,10751908961,14495050307,-706501100
BVH,2021,3,9625017779148,0.003266192918537586,448045969399,-0.027156492395820336,8984566971427,281730829054,2036662846475,-189458746536,-1066874143825,-1323481325238,0,6052211159,579427611517,-106633285576,671198061,473465524002,25419554603,448045969399,0,0,0,0,0,0,-538338010467,0,6298625432,27938072517,-246414273
BVH,2021,2,10248923053367,0.11288364146801402,440413282409,-0.13317904113739956,9564204526229,-87175484934,2360452787017,-261786478174,-965201980556,-1666234502081,0,11816576437,532183627311,-68184103893,457688928,464457212346,24043929937,440413282409,0,0,0,0,0,0,-613857036591,0,11993435427,24500488398,-176858990
BVH,2021,1,9359074163685,0.06895004348699289,469132412435,2.7104213034114846,8709019976810,-168967467157,2203837906712,-278049086652,-1149006141053,-1317973608210,0,-5918187346,592916377788,-95296108864,1259195119,498879464043,29747051608,469132412435,0,0,0,0,0,0,0,0,-4984240285,3692266177,-933947061
BVH,2020,4,10629404234602,0.06892561267345515,456571292446,4.083918721131629,9655435580671,-598597224540,2299064465083,-332862108656,-863756524132,-1462353748672,0,11743887044,549635705345,-72721017020,-2364101185,474550587140,17979294694,456571292446,0,0,0,0,0,0,0,0,12154537820,7959780674,-410650776
BVH,2020,3,9593682959802,0.0621853649755834,460552972700,0.33660339452703597,8736258311416,-545277232334,2291491559094,-372369855511,-848443961226,-1393721193560,0,2945539099,554539245009,-69734012075,-11497152575,473308080359,12755107659,460552972700,0,0,0,0,0,0,0,0,3210095184,14692167267,-264556085
