CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Doanh thu thuần,Lãi gộp,Thu nhập tài chính,Chi phí tài chính,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Lãi/lỗ từ công ty liên doanh,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,_Doanh thu thuần,Giá vốn hàng bán,_Lãi gộp,Chi phí bán hàng,_Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác
BVH,2024,42693927386925,0.0007981634370338107,2085224661340,0.16828403610413523,39862204136345,-980726005289,12684696640597,-2102974914555,-5783999441111,-8111409528432,0,30208777394,2620410226576,-459107337383,-4269884660,2157033004533,71808343193,2085224661340,0,0,0,0,0,0,-1346684082032,0,34002725235,96558447939,-3793947841
BVH,2023,42659877832211,0.0002196815542876988,1784861041407,0.15078512482108022,40080480185553,-2539018566999,13543366344269,-2826923433974,-4968385574451,-8601430220349,0,30172514157,2236298700174,-372973834582,-3335621421,1859989244171,75128202764,1784861041407,0,0,0,0,0,0,-1094026078899,0,34409239555,102048945174,-4236725398
BVH,2022,42650508302256,0.06626823135854605,1550994189019,-0.18868083481497536,40688247074927,104851183757,9922384516749,-1840260685326,-4019572408261,-6196626596677,0,19285763472,2010163563631,-383042077773,-1515105473,1625606380385,74612191366,1550994189019,0,0,0,0,0,0,-2281905372173,0,22160700664,86451708165,-2874937192
BVH,2021,39999792780016,0.046980922501048746,1911694257420,0.1966125910206654,36830138479863,613506546839,8911612242924,-1059722118833,-3996411660861,-5648920188450,0,28644118166,2398034325409,-387034915982,7414599023,2018414008450,106719751030,1911694257420,0,0,0,0,0,0,-2266015074428,0,30723977395,92993746827,-2079859229
BVH,2020,38204891722825,0.0667423648815013,1597588285269,0.3442513386807574,34524044284544,-2040914480867,9495658687333,-1841912602607,-3756517474608,-5797431955475,0,11606822031,1953285808059,-267396475068,-36042360066,1649846972925,52258687656,1597588285269,0,0,0,0,0,0,0,0,13517757652,70011972612,-1910935621
BVH,2019,35814544336644,0.16036830829766388,1188459508500,0.055971356623251714,33309136087180,-765095559422,7870747650846,-2184189260231,-3517026355581,-4282121915003,0,3544296222,1511728184609,-269693437322,669872295,1242704619582,54245111082,1188459508500,0,0,0,0,0,0,0,0,6636310988,107754257916,-3092014766
BVH,2018,30864807389635,0.23419044798517621,1125465668217,-0.27643876780600674,29063484567594,-2617798582318,9043798954353,-1696261788194,-3458775577778,-6076574160096,0,22699671515,1421948961404,-238194871758,-9245873481,1174508216165,49042547948,1125465668217,0,0,0,0,0,0,0,0,35658453562,101482739886,-12958782047
BVH,2017,25008139902575,0.25802709813694547,1555453247273,0.3846768177189452,24042084842027,535897795146,5758691819023,-1420797149598,-3147504547029,-2611606751883,0,18711072416,1933742593327,-329414538838,-1231980515,1603096073974,47642826701,1555453247273,0,0,0,0,0,0,0,0,23604974262,120920690801,-4893901846
BVH,2016,19878856297778,0.22660976626157722,1123333060371,-0.004143665288045073,19009468345511,400423234582,4627972875906,-1124009912309,-2628432875224,-1821747651744,0,5961830691,1398784913549,-258764859524,24928873088,1164948927113,41615866742,1123333060371,0,0,0,0,0,0,0,0,10088299889,89377550187,-4126469198
BVH,2015,16206341123766,0.16520540881273282,1128007144420,-0.1037297074944094,15326553145526,423705002384,3792751239962,-902875801850,-2011740532968,-1219191763793,0,4967683884,1468891856638,-292686127870,6900712412,1174931420174,46924275754,1128007144420,0,0,0,0,0,0,0,0,9722047264,93205829716,-4754363380
BVH,2014,13908570112354,0.12901448527315418,1258556881615,0.10639377227752675,12782605281684,232642894431,3679557715587,-823337077107,-1887130943926,-1240822857383,0,9873182451,1627305425297,-299585828339,11099556842,1331268555428,72711673813,1258556881615,0,0,0,0,0,0,0,0,15348571228,148260435519,-5475388777
BVH,2013,12319213166684,,1137530699422,,8366330120246,1746886879262,3129407493920,-734501891093,-2681154696353,-756740912379,0,8416761987,1654066796871,-385445670590,-27615548015,1233974444510,96443745088,1137530699422,0,0,0,0,0,0,-372533232026,0,14343064061,31557789847,-5926302074
