Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
BVH,2024,5,0.1238047925,9.6871291078,0.08038967268842612,3.166624257396881,0.1687934301,0,76.98209532676717,0,0,76.98209532676717,0,-0.1820366165487466,0,0.053232939151256625,0.0950294175,-0.2699298846,0.0088297231,-6769975087088,-7130683523143,0.0,2.9667885274,0.1253890693,0.4071002541,,10.687129107829117,39714267874000,742322764,19.0455583086,1.7615586956,0,4.3050253656,2809.053908173022,30370.8301826859,-6.0803646357
BVH,2023,5,0.1516407974,8.9331224695,0.08156253726113655,2.99856399245248,0.1896108963,0,71.2378820082088,0,0,71.2378820082088,0,-0.15408881057278803,0,0.045365958406360686,0.0855405564,-0.2365079612,0.0084437387,-5859020913241,-6062411653350,0.0198027613,3.9709990911,0.2611802694,0.6595199783,,9.93312246948692,37635764134800,742322764,21.5164243047,1.763549419,0,4.4398296571,2404.427195239563,28748.8399547397,-6.1829853515
BVH,2022,5,0.054681308000000005,8.4807192102,0.08868698146772364,2.8654594250004704,0.2192440298,0,55.604615656905686,0,0,55.604615656905686,0,-0.15790180108207205,0,0.03886465753705483,0.074592923,-0.2820329169,0.0083573572,-6089673806594,-6301477780434,0.0241518987,3.6110506283,0.1578828944,0.4352486692,,9.480719210218851,29321749178000,742322764,19.3689210612,1.4380157994,0,3.2215626313,2089.3798011278554,27468.4047396356,-4.6287129272
BVH,2021,5,0.138053278,6.695382845,0.08780590758199379,2.9678897376176923,0.2331496588,0,58.67526611203907,0,0,58.67526611203907,0,-0.17446766228959834,0,0.05325871937552101,0.0885305015,-0.2525778733,0.0120075836,-6037701974000,-6262426735289,0.0649356223,4.5822880706,0.3775980976,0.8028290969,,7.693800919376136,34592240802400,742322764,18.5901764328,1.632437462,0,2.8074352963,2575.287125938118,28546.2696640811,-5.3019750158
BVH,2020,5,0.0734192909,6.0317186607,0.08590313843472125,2.8049478004212194,0.251402976,0,67.26557542334884,0,0,67.26557542334884,0,-0.11232369979409627,0,0.047769517421943006,0.0784585793,-0.1704877555,0.0116335863,-3549519736397,-3756517474608,0.0160357143,4.6508100564,0.4674220387,0.8876934279,,7.031718660710935,41570074784000,742322764,26.6983634386,2.071575068,0,3.5240403893,2152.1477755315072,27032.5709475414,-10.1426423783
BVH,2019,5,0.06899755269999999,5.4432879773,0.09536934592311329,2.681125985059243,0.2759514771,0,67.2269350420363,0,0,67.2269350420363,0,-0.10745463898966288,0,0.036310642721528084,0.067185257,-0.170377584,0.009845862,-3335879420267,-3517026355581,0.0137931034,3.8515835778,0.3657616101,0.755294378,,6.443287977279543,43054720312000,742322764,37.2476562125,2.2462429715,0,4.6456785537,1601.0010283074116,25820.89325865,-11.7066735
BVH,2018,5,0.0664697044,6.3129336411,0.10716044013323589,2.0848036244151875,0.2841473737,0,69.88379054491597,0,0,69.88379054491597,0,-0.12209913182139046,0,0.03973035483046796,0.0751894599,-0.215419716,0.0110034333,-3292550606600,-3458775577778,0.0172413793,2.6874811102,0.2079190754,0.5017324495,,7.312933641115777,40651413172000,700886434,37.1803685463,2.7498393939,0,5.2772980894,1605.774649958484,21092.1409189438,-11.8666345713
BVH,2017,5,0.0068935969,5.3199394543,0.11461387948166298,1.9480504097417117,0.2925041884,0,67.58392127512,0,0,67.58392127512,0,-0.13469874462231018,0,0.06656625799766906,0.1105221519,-0.2162254567,0.0189241737,-3001414043122,-3147504547029,0.0172413793,2.0173616047,0.288922657,0.5992555015,,6.3199394543448495,39467343172000,680471434,25.995053703,2.8683033137,0,6.8407541175,2285.846502225103,20221.0134901387,-11.9190188172
BVH,2016,5,0.01225176,4.3334499327,0.1126520713389838,1.8437445662172904,0.2890096601,0,59.92433164658228,0,0,59.92433164658228,0,-0.14071743650451385,0,0.06013946564365132,0.0835666336,-0.1897664591,0.0170785474,-2495154551760,-2628432875224,0.0172413793,1.8668311359,0.3453815649,0.6353915275,,5.333449932667042,39467343172000,680471434,36.8081527673,3.0288165076,0,11.9135147088,1650.8158965141804,19149.3937826904,-14.7278378573
