time,open,high,low,close,volume
2023-09-11 09:15:00,29.08,29.08,28.99,28.99,144900
2023-09-11 09:20:00,28.99,28.99,28.86,28.95,283900
2023-09-11 09:25:00,28.95,28.95,28.91,28.95,100100
2023-09-11 09:30:00,28.95,28.99,28.91,28.99,135200
2023-09-11 09:35:00,28.99,29.04,28.99,28.99,72900
2023-09-11 09:40:00,29.04,29.17,28.99,29.17,121000
2023-09-11 09:45:00,29.17,29.31,29.17,29.22,209600
2023-09-11 09:50:00,29.17,29.22,29.17,29.17,61400
2023-09-11 09:55:00,29.17,29.22,29.04,29.17,243700
2023-09-11 10:00:00,29.22,29.22,29.08,29.08,60900
2023-09-11 10:05:00,29.08,29.08,29.04,29.08,82900
2023-09-11 10:10:00,29.04,29.08,29.04,29.04,49400
2023-09-11 10:15:00,29.04,29.08,28.99,29.04,143200
2023-09-11 10:20:00,29.04,29.08,29.04,29.08,56400
2023-09-11 10:25:00,29.08,29.13,29.08,29.13,55100
2023-09-11 10:30:00,29.08,29.08,29.04,29.08,66100
2023-09-11 10:35:00,29.08,29.08,29.04,29.04,18100
2023-09-11 10:40:00,29.04,29.08,29.04,29.08,84900
2023-09-11 10:45:00,29.08,29.13,29.08,29.08,19700
2023-09-11 10:50:00,29.08,29.08,29.04,29.08,79500
2023-09-11 10:55:00,29.08,29.08,29.04,29.08,89000
2023-09-11 11:00:00,28.99,29.08,28.99,29.08,30400
2023-09-11 11:05:00,29.08,29.08,28.99,29.08,197300
2023-09-11 11:10:00,29.08,29.08,28.95,28.95,178600
2023-09-11 11:15:00,28.95,28.99,28.91,28.95,41800
2023-09-11 11:20:00,28.95,28.99,28.91,28.95,134200
2023-09-11 11:25:00,28.95,28.95,28.91,28.91,50100
2023-09-11 13:00:00,28.91,28.95,28.86,28.91,207200
2023-09-11 13:05:00,28.86,28.91,28.86,28.86,89300
2023-09-11 13:10:00,28.86,28.91,28.82,28.91,78000
2023-09-11 13:15:00,28.86,28.99,28.86,28.91,229100
2023-09-11 13:20:00,28.91,28.95,28.82,28.82,317900
2023-09-11 13:25:00,28.77,28.91,28.77,28.82,124600
2023-09-11 13:30:00,28.82,28.99,28.82,28.99,144000
2023-09-11 13:35:00,28.95,28.99,28.91,28.99,214500
2023-09-11 13:40:00,28.91,28.99,28.91,28.99,102100
2023-09-11 13:45:00,28.99,29.04,28.95,29.04,135500
2023-09-11 13:50:00,29.04,29.08,28.99,28.99,70900
2023-09-11 13:55:00,28.99,29.04,28.91,28.91,107200
2023-09-11 14:00:00,28.91,28.95,28.82,28.82,720600
2023-09-11 14:05:00,28.82,28.82,28.64,28.68,205600
2023-09-11 14:10:00,28.68,28.77,28.64,28.77,324900
2023-09-11 14:15:00,28.77,28.82,28.64,28.64,258700
2023-09-11 14:20:00,28.64,28.73,28.64,28.68,199700
2023-09-11 14:25:00,28.68,28.68,28.46,28.55,443300
2023-09-11 14:45:00,28.55,28.55,28.55,28.55,709100
2023-09-12 09:15:00,28.64,28.73,28.59,28.68,70300
2023-09-12 09:20:00,28.68,28.68,28.64,28.64,86500
2023-09-12 09:25:00,28.64,28.64,28.55,28.55,82700
2023-09-12 09:30:00,28.55,28.55,28.41,28.5,92300
2023-09-12 09:35:00,28.5,28.55,28.46,28.55,58000
2023-09-12 09:40:00,28.55,28.59,28.5,28.59,79700
2023-09-12 09:45:00,28.59,28.59,28.55,28.55,66500
2023-09-12 09:50:00,28.55,28.55,28.5,28.5,28200
2023-09-12 09:55:00,28.55,28.55,28.5,28.5,81800
2023-09-12 10:00:00,28.5,28.59,28.5,28.59,57000
2023-09-12 10:05:00,28.59,28.64,28.59,28.59,18700
2023-09-12 10:10:00,28.59,28.59,28.55,28.55,40000
2023-09-12 10:15:00,28.59,28.59,28.55,28.55,89100
2023-09-12 10:20:00,28.55,28.55,28.55,28.55,97900
2023-09-12 10:25:00,28.55,28.55,28.5,28.55,11400
2023-09-12 10:30:00,28.55,28.59,28.5,28.59,66100
2023-09-12 10:35:00,28.55,28.55,28.5,28.5,32300
2023-09-12 10:40:00,28.5,28.55,28.5,28.55,104100
2023-09-12 10:45:00,28.55,28.55,28.5,28.5,66000
2023-09-12 10:50:00,28.5,28.64,28.5,28.64,69200
2023-09-12 10:55:00,28.64,28.64,28.55,28.59,90600
2023-09-12 11:00:00,28.59,28.64,28.59,28.64,158700
2023-09-12 11:05:00,28.64,28.64,28.55,28.59,194000
2023-09-12 11:10:00,28.59,28.64,28.59,28.59,40100
2023-09-12 11:15:00,28.59,28.59,28.55,28.55,5800
2023-09-12 11:20:00,28.55,28.55,28.5,28.5,96700
2023-09-12 11:25:00,28.55,28.55,28.5,28.55,21900
2023-09-12 13:00:00,28.55,28.55,28.5,28.55,68500
2023-09-12 13:05:00,28.55,28.55,28.5,28.5,35000
2023-09-12 13:10:00,28.5,28.55,28.5,28.5,126500
2023-09-12 13:15:00,28.5,28.5,28.46,28.46,139100
2023-09-12 13:20:00,28.46,28.5,28.46,28.5,94900
2023-09-12 13:25:00,28.46,28.5,28.46,28.46,47100
2023-09-12 13:30:00,28.46,28.5,28.46,28.5,131300
2023-09-12 13:35:00,28.5,28.5,28.46,28.5,119300
2023-09-12 13:40:00,28.5,28.5,28.46,28.5,52900
2023-09-12 13:45:00,28.46,28.55,28.46,28.55,43400
2023-09-12 13:50:00,28.55,28.55,28.5,28.55,75700
2023-09-12 13:55:00,28.55,28.59,28.55,28.55,110600
2023-09-12 14:00:00,28.55,28.73,28.55,28.73,187800
2023-09-12 14:05:00,28.73,28.77,28.64,28.68,127400
2023-09-12 14:10:00,28.68,28.73,28.64,28.64,127700
2023-09-12 14:15:00,28.68,28.82,28.59,28.82,225500
2023-09-12 14:20:00,28.82,28.86,28.77,28.82,101100
2023-09-12 14:25:00,28.82,28.91,28.82,28.91,92500
2023-09-12 14:45:00,28.91,28.91,28.91,28.91,117200
2023-09-13 09:15:00,28.91,28.99,28.91,28.95,57300
2023-09-13 09:20:00,28.95,28.99,28.91,28.91,45100
2023-09-13 09:25:00,28.91,28.91,28.91,28.91,42500
2023-09-13 09:30:00,28.91,28.91,28.77,28.82,35600
2023-09-13 09:35:00,28.77,28.82,28.77,28.82,39200
2023-09-13 09:40:00,28.82,28.82,28.77,28.82,34000
2023-09-13 09:45:00,28.82,28.86,28.77,28.77,106200
2023-09-13 09:50:00,28.77,28.82,28.73,28.82,107700
2023-09-13 09:55:00,28.82,28.86,28.82,28.82,59300
2023-09-13 10:00:00,28.82,28.86,28.82,28.82,60900
2023-09-13 10:05:00,28.82,28.82,28.77,28.77,50900
2023-09-13 10:10:00,28.77,28.82,28.77,28.77,21000
2023-09-13 10:15:00,28.77,28.82,28.73,28.73,176300
2023-09-13 10:20:00,28.68,28.77,28.68,28.73,162700
2023-09-13 10:25:00,28.73,28.73,28.68,28.73,52100
2023-09-13 10:30:00,28.73,28.77,28.64,28.68,237600
2023-09-13 10:35:00,28.68,28.68,28.59,28.64,227900
2023-09-13 10:40:00,28.59,28.64,28.59,28.64,45600
2023-09-13 10:45:00,28.73,28.73,28.64,28.73,12800
2023-09-13 10:50:00,28.73,28.73,28.64,28.73,88700
2023-09-13 10:55:00,28.68,28.68,28.68,28.68,17800
2023-09-13 11:00:00,28.68,28.73,28.68,28.73,78300
2023-09-13 11:05:00,28.77,28.77,28.73,28.73,14100
2023-09-13 11:10:00,28.73,28.77,28.73,28.73,60100
2023-09-13 11:15:00,28.73,28.82,28.73,28.82,55700
2023-09-13 11:20:00,28.82,28.82,28.73,28.77,70900
2023-09-13 11:25:00,28.82,28.82,28.68,28.73,72500
2023-09-13 13:00:00,28.73,28.73,28.68,28.73,68700
2023-09-13 13:05:00,28.73,28.77,28.68,28.77,102900
2023-09-13 13:10:00,28.77,28.86,28.73,28.86,67200
2023-09-13 13:15:00,28.86,28.91,28.82,28.82,136700
2023-09-13 13:20:00,28.82,28.86,28.77,28.82,63200
2023-09-13 13:25:00,28.82,28.86,28.82,28.82,132100
2023-09-13 13:30:00,28.82,28.91,28.77,28.86,142300
2023-09-13 13:35:00,28.86,29.04,28.86,28.99,301500
2023-09-13 13:40:00,28.99,29.17,28.99,29.17,564400
2023-09-13 13:45:00,29.17,29.31,29.13,29.17,741400
2023-09-13 13:50:00,29.13,29.22,29.13,29.13,211100
2023-09-13 13:55:00,29.13,29.13,28.99,29.08,216800
2023-09-13 14:00:00,29.08,29.08,28.99,29.04,149400
2023-09-13 14:05:00,29.04,29.08,28.95,28.99,318900
2023-09-13 14:10:00,29.04,29.22,28.99,29.13,385700
2023-09-13 14:15:00,29.13,29.17,28.95,28.95,377800
2023-09-13 14:20:00,28.99,29.04,28.91,28.99,597500
2023-09-13 14:25:00,28.99,29.26,28.95,29.26,790800
2023-09-13 14:45:00,29.13,29.13,29.13,29.13,598200
2023-09-14 09:15:00,29.31,29.89,29.31,29.89,1563600
2023-09-14 09:20:00,29.93,29.93,29.76,29.8,547900
2023-09-14 09:25:00,29.8,29.8,29.76,29.76,271100
2023-09-14 09:30:00,29.76,29.8,29.67,29.67,547800
2023-09-14 09:35:00,29.67,29.71,29.62,29.71,394900
2023-09-14 09:40:00,29.67,29.8,29.67,29.8,503600
2023-09-14 09:45:00,29.8,29.98,29.76,29.98,1225000
2023-09-14 09:50:00,29.98,30.11,29.93,30.02,1515700
2023-09-14 09:55:00,30.02,30.07,29.98,29.98,441300
2023-09-14 10:00:00,30.02,30.02,29.93,29.93,357400
2023-09-14 10:05:00,29.93,29.98,29.89,29.89,269700
2023-09-14 10:10:00,29.89,29.93,29.84,29.89,77900
2023-09-14 10:15:00,29.84,29.84,29.84,29.84,261200
2023-09-14 10:20:00,29.84,29.89,29.84,29.84,196900
2023-09-14 10:25:00,29.84,29.84,29.8,29.84,95100
2023-09-14 10:30:00,29.84,29.84,29.76,29.76,563400
2023-09-14 10:35:00,29.8,29.8,29.71,29.8,240400
2023-09-14 10:40:00,29.8,29.84,29.8,29.84,103200
2023-09-14 10:45:00,29.84,29.84,29.8,29.84,112400
2023-09-14 10:50:00,29.84,29.89,29.8,29.84,95300
2023-09-14 10:55:00,29.84,29.89,29.8,29.84,53200
2023-09-14 11:00:00,29.84,29.84,29.76,29.76,166200
2023-09-14 11:05:00,29.8,29.8,29.76,29.76,99700
2023-09-14 11:10:00,29.76,29.76,29.67,29.76,233900
2023-09-14 11:15:00,29.71,29.76,29.71,29.76,28800
2023-09-14 11:20:00,29.76,29.8,29.76,29.8,39100
2023-09-14 11:25:00,29.8,29.8,29.76,29.76,33800
2023-09-14 13:00:00,29.76,29.76,29.62,29.71,283100
2023-09-14 13:05:00,29.71,29.8,29.71,29.8,254200
2023-09-14 13:10:00,29.76,29.8,29.71,29.76,187700
2023-09-14 13:15:00,29.76,29.8,29.76,29.8,141200
2023-09-14 13:20:00,29.8,29.8,29.67,29.71,206300
2023-09-14 13:25:00,29.67,29.71,29.62,29.67,162400
2023-09-14 13:30:00,29.62,29.76,29.62,29.71,179800
2023-09-14 13:35:00,29.71,29.76,29.67,29.76,165300
2023-09-14 13:40:00,29.76,29.76,29.67,29.67,128000
2023-09-14 13:45:00,29.67,29.71,29.62,29.62,201700
2023-09-14 13:50:00,29.67,29.71,29.62,29.71,132100
2023-09-14 13:55:00,29.71,29.8,29.71,29.8,152100
2023-09-14 14:00:00,29.8,29.84,29.76,29.84,191700
2023-09-14 14:05:00,29.84,29.89,29.8,29.84,293700
2023-09-14 14:10:00,29.84,29.84,29.67,29.67,315600
2023-09-14 14:15:00,29.67,29.71,29.62,29.71,168000
2023-09-14 14:20:00,29.71,29.71,29.62,29.67,444700
2023-09-14 14:25:00,29.62,29.67,29.62,29.67,176800
2023-09-14 14:45:00,29.71,29.71,29.71,29.71,302300
2023-09-15 09:15:00,29.62,29.93,29.62,29.93,286000
2023-09-15 09:20:00,29.93,29.93,29.8,29.84,109200
2023-09-15 09:25:00,29.8,29.84,29.76,29.76,75700
2023-09-15 09:30:00,29.76,29.76,29.71,29.76,82200
2023-09-15 09:35:00,29.76,29.76,29.71,29.76,87000
