time,open,high,low,close,volume
2023-09-11 10:00:00,29.22,29.22,28.99,29.08,2177900
2023-09-11 11:00:00,28.99,29.08,28.91,28.91,632400
2023-09-11 13:00:00,28.91,29.08,28.77,28.91,1820300
2023-09-11 14:00:00,28.91,28.95,28.46,28.55,2861900
2023-09-12 10:00:00,28.5,28.64,28.5,28.59,1388400
2023-09-12 11:00:00,28.59,28.64,28.5,28.55,517200
2023-09-12 13:00:00,28.55,28.59,28.46,28.55,1044300
2023-09-12 14:00:00,28.55,28.91,28.55,28.91,979200
2023-09-13 10:00:00,28.82,28.86,28.59,28.68,1681200
2023-09-13 11:00:00,28.68,28.82,28.68,28.73,351600
2023-09-13 13:00:00,28.73,29.31,28.68,29.08,2748300
2023-09-13 14:00:00,29.08,29.26,28.91,29.13,3218300
2023-09-14 10:00:00,30.02,30.02,29.71,29.84,9437000
2023-09-14 11:00:00,29.84,29.84,29.67,29.76,601500
2023-09-14 13:00:00,29.76,29.8,29.62,29.8,2193900
2023-09-14 14:00:00,29.8,29.89,29.62,29.71,1892800
2023-09-15 10:00:00,29.8,29.8,29.58,29.62,2014400
2023-09-15 11:00:00,29.62,29.62,29.4,29.44,746200
2023-09-15 13:00:00,29.44,29.49,29.22,29.4,2692600
2023-09-15 14:00:00,29.4,29.49,29.26,29.31,1031600
2023-09-18 10:00:00,28.99,29.04,28.82,28.91,1763700
2023-09-18 11:00:00,28.91,28.95,28.77,28.77,480800
2023-09-18 13:00:00,28.77,28.82,28.59,28.73,3142400
2023-09-18 14:00:00,28.73,28.73,28.46,28.68,3312200
2023-09-19 10:00:00,28.73,28.73,28.5,28.5,1114700
2023-09-19 11:00:00,28.5,28.5,28.23,28.46,879500
2023-09-19 13:00:00,28.46,28.64,28.32,28.64,1235000
2023-09-19 14:00:00,28.59,28.73,28.41,28.73,1654000
2023-09-20 10:00:00,28.68,28.68,28.5,28.55,1552800
2023-09-20 11:00:00,28.55,28.64,28.5,28.55,847200
