CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
CTG,2024,2385387732000000,11147549000000,34431657000000,378482885000000,2798875000000,2990692000000,-191817000000,0,1685290589000000,1721954714000000,-36664125000000,214607153000000,188557477000000,26635861000000,-586185000000,3933844000000,0,3706673000000,234462000000,-7291000000,10002157000000,6149216000000,0,3852941000000,0,44693023000000,2385387732000000,2236883024000000,154284104000000,276141255000000,1606316685000000,390841000000,2179950000000,151678090000000,45892099000000,148504708000000,63583999000000,25316757000000,243105000000,0,58390118000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53699917000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909405000000,0.0,970729000000
CTG,2023,2032613606000000,9759580000000,40597059000000,279841639000000,2487905000000,2676130000000,-188225000000,0,1445571643000000,1473344564000000,-27772921000000,181210531000000,180595473000000,864999000000,-249941000000,3426483000000,0,3206452000000,234462000000,-14431000000,10125534000000,6133262000000,0,3992272000000,0,59593232000000,2032613606000000,1906741786000000,21814105000000,304321721000000,1410899038000000,555946000000,2237779000000,115375727000000,51537470000000,125871820000000,63510626000000,19043575000000,86970000000,0,42369429000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53699917000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836032000000,0.0,861220000000
CTG,2022,1808810868000000,11066956000000,29727110000000,242431953000000,1406183000000,1622967000000,-216784000000,3058727000000,1245430464000000,1274843694000000,-29413230000000,180312848000000,178685028000000,1696778000000,-68958000000,3519441000000,0,3303160000000,234462000000,-18181000000,10203357000000,6047853000000,0,4155504000000,0,81653829000000,1808810868000000,1700494560000000,104779302000000,209429843000000,1249176034000000,0,2392201000000,91370419000000,43346761000000,108316308000000,57868215000000,16074632000000,120993000000,0,33513021000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48057506000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836032000000,0.0,739447000000
CTG,2021,1531587398000000,11330659000000,23383443000000,149316646000000,2475309000000,2522807000000,-47498000000,1454790000000,1104872665000000,1130667767000000,-25795102000000,177544548000000,174973469000000,2696832000000,-125753000000,3290027000000,0,3073356000000,240662000000,-23991000000,10496152000000,6192822000000,0,4303330000000,0,47423159000000,1531587398000000,1437937887000000,33294404000000,138833846000000,1161848113000000,0,2527930000000,64496785000000,36936809000000,93649511000000,57548112000000,13673265000000,245231000000,0,21488131000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48057506000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515908000000,0.0,694772000000
CTG,2020,1341509978000000,9930181000000,57616650000000,102532818000000,5601747000000,5723160000000,-121413000000,137122000000,1002750890000000,1015333270000000,-12582380000000,114941998000000,112677836000000,2616778000000,-352616000000,3335507000000,0,3117572000000,240662000000,-22727000000,10824970000000,6423208000000,0,4401762000000,0,33838095000000,1341509978000000,1256070754000000,44597188000000,128519115000000,990331285000000,0,2733251000000,59875570000000,30014345000000,85439224000000,46724652000000,11605468000000,481781000000,0,26027244000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37234046000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515908000000,0.0,600079000000
CTG,2019,1240711475000000,8282726000000,24873714000000,129388518000000,3825374000000,4051245000000,-225871000000,469712000000,922325251000000,935270945000000,-12945694000000,104615279000000,97131629000000,15367993000000,-7884343000000,3282709000000,0,3018057000000,264652000000,0,10996975000000,6422382000000,0,4574593000000,0,32651217000000,1240711475000000,1163356657000000,70602893000000,109483059000000,892785228000000,0,5775899000000,57066353000000,27643225000000,77354818000000,46724637000000,9610061000000,626014000000,0,19832683000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37234046000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515908000000,0.0,561423000000
CTG,2018,1164289661000000,7028347000000,23182208000000,130512012000000,3131835000000,3279561000000,-147726000000,281166000000,851865984000000,864925948000000,-13059964000000,102100093000000,88586344000000,16207592000000,-2693843000000,3317405000000,0,2906452000000,412645000000,-1692000000,11139862000000,6194652000000,0,4945210000000,0,31730749000000,1164289661000000,1096973327000000,62600159000000,111399612000000,825816119000000,0,5934029000000,46216359000000,45007049000000,67316334000000,46416214000000,8167617000000,599602000000,0,11836676000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37234046000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207470000000,0.0,296225000000
CTG,2017,1095060842000000,5979833000000,20756531000000,107510487000000,3528982000000,3602443000000,-73461000000,528762000000,782385236000000,790688059000000,-8302823000000,128392765000000,125759661000000,5133392000000,-2500288000000,3114101000000,0,2704255000000,412645000000,-2799000000,11436527000000,6386736000000,0,5049791000000,0,31427618000000,1095060842000000,1031295559000000,15206899000000,115158765000000,752935338000000,0,6364158000000,22501773000000,119128626000000,63765283000000,46208756000000,7476339000000,550601000000,0,9233969000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37234046000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,295618000000
CTG,2016,948567505000000,5187132000000,13502594000000,94469281000000,1894690000000,1974670000000,-79980000000,682690000000,655089226000000,661987797000000,-6898571000000,134226686000000,125573894000000,11743021000000,-3090229000000,3202637000000,0,2774766000000,430445000000,-2574000000,10623575000000,6422388000000,0,4201187000000,0,29688994000000,948567505000000,888260741000000,4808417000000,85151867000000,655060148000000,0,6075468000000,23849453000000,113315388000000,60306764000000,46208767000000,6366898000000,480011000000,0,6990755000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37234046000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,260333000000
CTG,2015,779483487000000,5090768000000,11892969000000,66018789000000,3346354000000,3373406000000,-27052000000,0,533530118000000,538079829000000,-4549711000000,120024229000000,108940288000000,12928649000000,-1844708000000,3892314000000,0,2782845000000,1131164000000,-21695000000,8665767000000,4374977000000,0,4290790000000,0,27022179000000,779483487000000,723373341000000,13227115000000,99169216000000,492960064000000,117619000000,54237247000000,20860497000000,42801583000000,56110146000000,46208778000000,5275032000000,441537000000,0,3942373000000,0,,,,,,,,,,,37234046000000,,,,,,,,,,,,,,,,,0,,242426000000
