CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
CTG,2024,0,0,0,-912465000000,48753805000000,102188686000000,0,0,-1362079000000,20539000000,-1329023000000,0,1537000000,100861200000000,272303607000000,154749000000,373319556000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102188686000000,15158000000,0,0,0.0,0.0,0.0,0.0,0,0.0
CTG,2023,0,0,0,314913000000,51185229000000,28768348000000,0,0,-804101000000,92337000000,-703882000000,0,0,28064466000000,244298220000000,-59079000000,272303607000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28768348000000,10473000000,0,0,0.0,0.0,0.0,0.0,0,0.0
CTG,2022,0,0,0,4505276000000,50517333000000,84463729000000,0,0,-623680000000,87736000000,-515081000000,0,-3844600000000,80104048000000,164376586000000,-182414000000,244298220000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84463729000000,16841000000,0,6200000000,0.0,0.0,0.0,0.0,-3844600000000,0.0
CTG,2021,0,0,0,-58016000000,30612531000000,5401509000000,0,0,-736408000000,83771000000,-648143000000,0,-21267000000,4732099000000,160175076000000,-530589000000,164376586000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5401509000000,7371000000,0,0,0.0,0.0,0.0,0.0,-21267000000,0.0
CTG,2020,0,0,0,394785000000,24298973000000,7845636000000,0,0,-715459000000,67061000000,-517385000000,0,-1881229000000,5447022000000,155046744000000,-318690000000,160175076000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7845636000000,108296000000,0,23990000000,0.0,0.0,0.0,0.0,-1881229000000,0.0
CTG,2019,0,0,0,-205603000000,27683452000000,-1544457000000,0,-2220000000,-378539000000,367593000000,431949000000,586882000000,560758000000,-553970000000,155544719000000,55995000000,155046744000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1546677000000,389844000000,0,304905000000,0.0,0.0,0.0,0.0,-26124000000,0.0
CTG,2018,0,0,0,-269907000000,24050607000000,24419335000000,0,0,-1006229000000,374238000000,-630944000000,0,0,23788391000000,131707327000000,49001000000,155544719000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24419335000000,6084000000,0,0,0.0,0.0,0.0,0.0,0,0.0
CTG,2017,0,0,0,-842441000000,20217150000000,23949820000000,0,-623000000,-1784649000000,231582000000,-914643000000,0,-5212766000000,17821788000000,113814949000000,70590000000,131707327000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23949197000000,43701000000,0,600000000000,0.0,0.0,0.0,0.0,-5212766000000,0.0
CTG,2016,0,0,0,-650253000000,17854433000000,34432751000000,0,-2743000000,-1852272000000,112602000000,-1539307000000,0,0,32890701000000,80882722000000,41526000000,113814949000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34430008000000,13348000000,-24000000000,219588000000,0.0,0.0,0.0,0.0,0,0.0
CTG,2015,0,0,0,-322928000000,12341388000000,-1202978000000,0,-348000000,-1912423000000,373492000000,-1297840000000,0,-3723405000000,-6224571000000,87064648000000,42645000000,80882722000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1203326000000,233554000000,-13860000000,39705000000,0.0,0.0,0.0,0.0,-3723405000000,0.0
