CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
CTG,2024,124460685000000,-0.06188998641059475,25348215000000,0.27355245672254447,124460685000000,-62057891000000,62402794000000,12232801000000,-5536813000000,6695988000000,4196682000000,91829000000,-288044000000,10687733000000,-2268947000000,8418786000000,390648000000,81908683000000,-22545929000000,59362754000000,-27598829000000,31763925000000,-6281358000000,-6285898000000,4540000000,-134352000000,25482567000000,25348215000000,4720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTG,2023,132671737000000,0.2675889833045229,19903550000000,0.17607382535464267,132671737000000,-79714259000000,52957478000000,12384836000000,-5271107000000,7113729000000,4248109000000,292626000000,-154121000000,7080218000000,-1277142000000,5803076000000,287268000000,70548165000000,-20443499000000,50104666000000,-25115141000000,24989525000000,-4944903000000,-4944844000000,-59000000,-141072000000,20044622000000,19903550000000,3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTG,2022,104664634000000,0.2367568712414908,16923725000000,0.20122175407913825,104664634000000,-56872679000000,47791955000000,11549069000000,-5687120000000,5861949000000,3555521000000,-112163000000,-30184000000,7507011000000,-969157000000,6537854000000,512244000000,64117176000000,-19194714000000,44922462000000,-23790589000000,21131873000000,-4148228000000,-4147777000000,-451000000,-59920000000,16983645000000,16923725000000,2703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTG,2021,84628302000000,0.01137458925751641,14088760000000,0.026862432491883137,84628302000000,-42839837000000,41788465000000,9572678000000,-4612172000000,4960506000000,1812484000000,495864000000,223865000000,4516269000000,-1118203000000,3398066000000,477382000000,53156632000000,-17185850000000,35970782000000,-18381626000000,17589156000000,-3373814000000,-3412160000000,38346000000,-126582000000,14215342000000,14088760000000,2510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTG,2020,83676516000000,0.011284913337021309,13720202000000,0.4501442565778981,83676516000000,-48096888000000,35579628000000,8358635000000,-3996181000000,4362454000000,1999721000000,601275000000,360950000000,2714619000000,-785226000000,1929393000000,524038000000,45357459000000,-16069428000000,29288031000000,-12168215000000,17119816000000,-3334608000000,-3322056000000,-12552000000,-65006000000,13785208000000,13720202000000,3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTG,2019,82742771000000,0.12011535258504462,9461267000000,0.7936721049108374,82742771000000,-49543734000000,33199037000000,7888130000000,-3832752000000,4055378000000,1564300000000,365564000000,-790728000000,2357430000000,-859995000000,1497435000000,628400000000,40519386000000,-15734862000000,24784524000000,-13003531000000,11780993000000,-2304004000000,-2286552000000,-17452000000,-15722000000,9476989000000,9461267000000,1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTG,2018,73869866000000,0.13163351264505083,5274803000000,-0.2902926027698055,73869866000000,-51658034000000,22211832000000,5963790000000,-3193013000000,2770777000000,709869000000,271475000000,218321000000,2914313000000,-1025298000000,1889015000000,374238000000,28445527000000,-14084040000000,14361487000000,-7802854000000,6558633000000,-1281387000000,-1272578000000,-8809000000,-2443000000,5277246000000,5274803000000,1417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTG,2017,65277199000000,0.23421650973438343,7432363000000,0.10186995930603966,65277199000000,-38204212000000,27072987000000,4302331000000,-2447131000000,1855200000000,709966000000,324668000000,-80869000000,3233912000000,-1239040000000,1994872000000,743046000000,32619870000000,-15069777000000,17550093000000,-8343899000000,9206194000000,-1747292000000,-1747409000000,117000000,-26539000000,7458902000000,7432363000000,1546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTG,2016,52889585000000,0.2452891312576829,6745227000000,0.1838049351684588,52889585000000,-30585706000000,22303879000000,3334497000000,-1636472000000,1698025000000,685139000000,183919000000,40955000000,2546328000000,-1247565000000,1298763000000,150475000000,26361155000000,-12848843000000,13512312000000,-5058609000000,8453703000000,-1688492000000,-1688781000000,289000000,-19984000000,6765211000000,6745227000000,1432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTG,2015,42471731000000,0.026953591979845933,5697921000000,-0.00261899289728146,42471731000000,-23632746000000,18838985000000,2650863000000,-1190961000000,1459902000000,19767000000,129177000000,52807000000,4108124000000,-1905838000000,2202286000000,40960000000,22743884000000,-10719457000000,12024427000000,-4678986000000,7345441000000,-1628563000000,-1628563000000,0,-18957000000,5716878000000,5697921000000,1208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
