Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
CTG,2024,5,0,0,0.06735245727024358,2.7654550503789714,0,0,,0,0,,0,0.0,0.0,0.406203206221824,0.1857488845,0,0.0115357896,0,0.0,0.0,0,0,0,,16.06270780317618,222049156795000,5369991700,8.7599523988,1.5050712948,2.7109355036,2.17293289,4720.345284705002,27473.7815702769,0
CTG,2023,5,0,0,0.08044321596366844,2.343985352433357,0,0,,0,0,,0,0.0,0.0,0.3758402165601617,0.1711839295,0,0.010436036,0,0.0,0.0,0,0,0,,16.148281688466888,202985686260000,5369991700,11.7368940682,1.6237477963,2.8772638702,7.0558687019,3706.439620753976,23279.4773220972,0
CTG,2022,5,0,0,0.0941996379714124,2.017066563283665,0,0,,0,0,,0,0.0,0.0,0.35411242331476084,0.166834112,0,0.0100807829,0,0.0,0.0,0,0,0,,16.699340121526298,130235841260000,4805750600,9.0064928666,1.2123057925,2.0312315134,1.5419144146,3521.5570695657825,22354.0959449706,0
CTG,2021,5,0,0,0.11207909030085592,1.7439414322168898,0,0,,0,0,,0,0.0,0.0,0.3371447120634845,0.1587767406,0,0.0098957354,0,0.0,0.0,0,0,0,,16.35446231000608,130956703850000,4805750600,10.792404747,1.4088222425,2.4636004751,24.2444664722,2931.6460991546255,19342.39762671,0
CTG,2020,5,0,0,0.12669789697528153,1.5910494468044758,0,0,,0,0,,0,0.0,0.0,0.3856196023184953,0.1690430219,0,0.0106556513,0,0.0,0.0235988201,0,0,0,,15.701336168502653,126223415940000,3723404600,11.5725115236,1.488263756,2.7853169255,16.0883599418,3684.8539103163807,22778.2205028162,0
CTG,2019,5,0,0,0.14216276741805534,1.4405016176944785,0,0,,0,0,,0,0.0,0.0,0.28498618800298336,0.1310142191,0,0.0078810682,0,0.0,0.0164473684,0,0,0,,16.03922686496399,113191499840000,3723404600,15.466481454,1.4739744198,2.7935146855,-73.1836704367,2541.0257590593296,20624.5098907597,0
CTG,2018,5,0,0,0.16548527434663926,1.253564943094583,0,0,,0,0,,0,0.0,0.0,0.2374771698255236,0.0805184758,0,0.0046714717,0,0.0,0.0,0,0,0,,17.295797198344165,113191499840000,3723404600,29.3462096057,1.6889184683,3.9792372221,4.6353227817,1416.6612460005017,17999.6847508863,0
CTG,2017,5,0,0,0.17935350494719832,1.1874372623337595,0,0,,0,0,,0,0.0,0.0,0.274530586521539,0.1202350115,0,0.0072996658,0,0.0,0.0,0,0,0,,17.173307958187845,113191499840000,3723404600,19.6598691166,1.783395262,3.4700168897,4.726317122,1996.1201637877334,17046.1370220147,0
CTG,2016,5,0,0,0.17615892970148422,1.1230327127124666,0,0,,0,0,,0,0.0,0.0,0.30242394159329866,0.1178153586,0,0.0079370922,0,0.0,0.0230263158,0,0,0,,15.729040029406983,113191499840000,3723404600,20.8624852256,1.8850662388,4.277467821,3.2875827342,1811.575083728478,16126.754261409,0
CTG,2015,5,0,0,0.15444206828476262,1.044883281634421,0,0,,0,0,,0,0.0,0.0,0.302453714995792,0.1028733729,0,0.0079361115,0,0.0,0.0230263158,0,0,0,,13.89202385964207,113191499840000,3723404600,24.8340196857,2.0260626322,4.9767884782,-94.0655315683,1530.2986411952115,15004.4719824432,0
CTG,2014,5,0,0,0.16162426847499428,1.0248401782087804,0,0,,0,0,,0,,,0.3198323759626239,0.104994204,0,0.0092563559,0,,0.0328947368,0,0,0,,12.015185767634975,113191499840000,3723404600,19.8168449599,2.056762062,5.3822202993,6.1158104784,1534.3170065375114,14780.5137803182,0
CTG,2013,5,0,0,0.13093724887732086,1.0069785678933225,0,0,,0,0,,0,0.0,0.0,0.31692116786683777,0.1324522504,0,0.010756524,0,0.0,0.0328947368,0,0,0,,10.658751290299232,113191499840000,3723404600,19.5412164768,2.0932445489,5.1961560725,49.4294011912,1555.6861588450527,14522.9089527364,0
