time,open,high,low,close,volume
2023-09-11 10:00:00,77.88,78.03,77.8,77.8,107900
2023-09-11 11:00:00,77.8,77.8,77.5,77.5,26400
2023-09-11 13:00:00,77.5,77.73,76.66,77.42,86000
2023-09-11 14:00:00,77.42,77.42,76.66,76.89,151500
2023-09-12 10:00:00,76.89,78.48,76.89,78.41,221800
2023-09-12 11:00:00,78.41,78.48,78.03,78.11,128000
2023-09-12 13:00:00,78.11,78.41,77.8,77.95,109700
2023-09-12 14:00:00,77.95,78.11,77.73,77.88,129300
2023-09-13 10:00:00,78.11,80.3,77.88,80.15,817300
2023-09-13 11:00:00,80.15,80.3,79.77,80.15,110600
2023-09-13 13:00:00,80.23,80.61,79.93,80.46,247000
2023-09-13 14:00:00,80.46,80.53,79.85,80.08,121400
2023-09-14 10:00:00,79.7,79.77,79.24,79.7,134900
2023-09-14 11:00:00,79.77,81.82,79.7,81.82,84600
2023-09-14 13:00:00,81.52,81.67,80.08,80.84,226900
2023-09-14 14:00:00,80.91,81.52,80.38,80.38,106500
2023-09-15 10:00:00,82.2,82.35,81.67,81.75,271500
2023-09-15 11:00:00,81.75,82.28,81.59,82.28,69200
2023-09-15 13:00:00,82.2,82.5,81.75,82.43,186300
2023-09-15 14:00:00,82.43,83.19,82.43,83.11,266000
2023-09-18 10:00:00,83.41,83.72,83.03,83.49,213500
2023-09-18 11:00:00,83.49,83.72,83.03,83.03,40100
2023-09-18 13:00:00,83.03,83.41,82.35,82.66,137100
2023-09-18 14:00:00,82.88,82.96,81.9,82.66,78800
2023-09-19 10:00:00,81.82,82.05,81.59,81.97,153800
2023-09-19 11:00:00,82.05,83.41,81.9,83.41,25300
2023-09-19 13:00:00,83.41,83.41,82.28,82.66,88600
2023-09-19 14:00:00,82.66,83.56,81.82,83.41,136400
2023-09-20 10:00:00,82.81,82.96,82.2,82.28,129900
2023-09-20 11:00:00,82.43,82.73,82.28,82.73,30300
2023-09-20 13:00:00,82.73,83.41,82.5,82.66,144300
2023-09-20 14:00:00,83.26,83.26,82.66,82.66,123900
2023-09-21 10:00:00,81.82,81.82,81.14,81.44,267300
2023-09-21 11:00:00,81.44,81.52,81.37,81.44,31300
2023-09-21 13:00:00,81.44,81.67,81.29,81.52,113700
2023-09-21 14:00:00,81.52,81.52,80.76,80.76,361800
2023-09-22 10:00:00,82.36,82.45,80.81,80.81,429100
2023-09-22 11:00:00,80.81,81.44,80.81,81.44,42100
2023-09-22 13:00:00,81.44,82.81,81.08,82.36,150300
2023-09-22 14:00:00,82.36,82.81,81.9,82.72,109300
2023-09-25 10:00:00,82.54,83.72,82.36,83.26,128100
2023-09-25 11:00:00,83.26,83.63,83.26,83.54,35600
2023-09-25 13:00:00,83.45,83.45,82.54,82.54,163200
2023-09-25 14:00:00,82.54,82.63,80.99,81.44,180800
2023-09-26 10:00:00,81.44,81.99,81.08,81.44,171500
2023-09-26 11:00:00,81.44,81.72,80.99,81.08,19900
2023-09-26 13:00:00,81.08,81.81,80.81,81.81,137900
2023-09-26 14:00:00,81.81,81.81,80.81,80.81,112300
2023-09-27 10:00:00,80.08,80.08,79.81,80.08,145700
2023-09-27 11:00:00,79.9,80.08,79.44,79.53,44700
2023-09-27 13:00:00,79.62,79.9,78.9,79.17,145400
2023-09-27 14:00:00,79.17,81.44,79.08,80.9,234700
2023-09-28 10:00:00,81.35,81.54,80.9,81.44,292700
2023-09-28 11:00:00,81.44,81.9,81.35,81.9,162600
2023-09-28 13:00:00,81.9,81.99,81.26,81.9,176400
2023-09-28 14:00:00,81.9,83.26,81.35,83.26,292300
2023-09-29 10:00:00,82.45,82.54,81.9,81.9,152700
2023-09-29 11:00:00,82.08,82.08,81.81,81.81,20800
2023-09-29 13:00:00,81.81,82.45,81.44,82.45,70600
2023-09-29 14:00:00,82.45,82.72,81.99,82.54,352400
2023-10-02 10:00:00,81.9,82.26,81.9,82.08,80100
2023-10-02 11:00:00,82.08,82.08,81.99,81.99,7700
2023-10-02 13:00:00,81.99,81.99,80.9,81.08,147500
2023-10-02 14:00:00,81.08,81.9,81.08,81.26,53800
2023-10-03 10:00:00,79.44,79.9,78.72,78.99,232000
2023-10-03 11:00:00,78.81,78.99,78.62,78.99,56000
2023-10-03 13:00:00,78.72,79.08,78.44,79.08,141900
2023-10-03 14:00:00,78.9,78.99,78.26,78.53,116100
2023-10-04 10:00:00,78.26,78.72,78.17,78.26,214700
2023-10-04 11:00:00,78.26,78.53,78.26,78.53,60200
2023-10-04 13:00:00,78.26,78.44,78.26,78.35,147600
2023-10-04 14:00:00,78.44,78.53,78.08,78.08,181100
2023-10-05 10:00:00,77.35,77.62,76.99,77.08,360500
2023-10-05 11:00:00,77.08,77.17,76.99,76.99,67600
2023-10-05 13:00:00,76.99,77.08,76.8,76.99,83700
2023-10-05 14:00:00,76.99,76.99,76.62,76.62,78100
2023-10-06 10:00:00,75.98,76.35,75.89,75.89,136200
2023-10-06 11:00:00,76.08,76.17,75.62,75.62,37300
2023-10-06 13:00:00,75.62,76.26,75.53,76.08,107200
2023-10-06 14:00:00,76.08,76.62,75.98,76.62,69700
2023-10-09 10:00:00,78.44,78.9,78.44,78.9,149300
2023-10-09 11:00:00,78.9,79.44,78.81,79.08,52100
2023-10-09 13:00:00,78.9,79.35,78.9,79.08,173100
2023-10-09 14:00:00,79.08,79.26,78.81,78.81,140300
2023-10-10 10:00:00,79.9,79.9,79.17,79.35,435900
2023-10-10 11:00:00,79.17,79.17,78.81,78.9,93800
2023-10-10 13:00:00,78.9,79.17,78.62,78.62,298500
2023-10-10 14:00:00,78.62,78.9,77.71,78.62,157900
2023-10-11 10:00:00,78.81,79.62,78.44,78.44,271100
2023-10-11 11:00:00,78.81,78.81,78.26,78.26,91900
2023-10-11 13:00:00,78.17,78.72,78.08,78.17,148700
2023-10-11 14:00:00,78.17,78.72,77.81,78.26,147000
2023-10-12 10:00:00,77.62,77.9,77.44,77.62,247500
2023-10-12 11:00:00,77.71,77.81,77.53,77.53,116200
2023-10-12 13:00:00,77.53,78.26,77.35,77.81,163800
2023-10-12 14:00:00,77.81,78.26,77.44,78.26,112400
2023-10-13 10:00:00,77.81,78.17,77.53,77.81,110300
2023-10-13 11:00:00,77.9,77.9,77.26,77.35,117600
2023-10-13 13:00:00,77.26,77.53,76.8,77.26,123500
2023-10-13 14:00:00,77.35,78.26,77.35,78.08,80400
2023-10-16 10:00:00,79.62,79.72,79.35,79.62,443300
2023-10-16 11:00:00,79.62,79.62,79.44,79.44,30700
2023-10-16 13:00:00,79.44,79.44,78.81,79.26,233000
2023-10-16 14:00:00,79.26,79.44,78.72,79.08,167500
2023-10-17 10:00:00,78.81,78.81,78.35,78.81,70400
2023-10-17 11:00:00,78.72,78.99,78.72,78.99,16700
2023-10-17 13:00:00,78.99,78.99,77.9,78.26,228500
2023-10-17 14:00:00,78.26,78.26,77.53,77.53,138800
2023-10-18 10:00:00,76.8,77.08,76.71,76.9,208500
2023-10-18 11:00:00,76.8,77.17,76.8,77.17,40700
