CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
GAS,2024,57290495430038,5567983431468,27494031282702,19098417078475,4598950949593,531112687800,24564385978120,0,18221636601588,30370446725,399715358524,0,3663465910698,81854881408158,20283886142528,14575489059608,5708397082920,61570995265630,61570995265630,300272460670,9553019715422,0,1323213381181,81854881408158,375639323197,0,4732006717115,0,26967513791091,23426729190000,23426729190000,0,2290752009267,270548145715,933829846483,0,3630161349445,35000000000,460754042609,531249275544
GAS,2023,62217752152939,5668895193049,35084645516061,16865314290394,3944544425746,654352727689,25536703177509,0,19532137951089,31726639557,398010821463,0,3475909955425,87754455330448,22455835056055,14971948871764,7483886184291,65298620274393,65298620274393,282322856474,16879761088028,0,1249889464218,87754455330448,264140292943,0,4069874528094,0,23919001668407,22967398470000,22967398470000,0,4270501721940,119146697342,1604782571952,0,3435836263150,35000000000,242611871669,318104299805
GAS,2022,55651707958020,10549337638537,23726498790237,16191131770955,4102441805643,1082297952648,27010944408343,0,16369664841026,36267205787,405533457500,0,4052685959657,82662652366363,21489088811222,12487956920689,9001131890533,61173563555141,61173563555141,196658562648,19241492510616,0,1315888895212,82662652366363,223750541755,0,4185337349642,0,21063056727255,19139500000000,19139500000000,0,6037962890208,128097532572,44996858992,0,3997897390212,35000000000,92362544210,168689074161
GAS,2021,51394724017298,5300330735432,24799825654952,16920192497611,3241216225272,1133158904031,27373350671266,0,18098268868761,21934563658,400162192660,0,3794212189837,78768074688564,26575344013434,16561261573886,10014082439548,52192730675130,52192730675130,196658562647,10487292270016,0,1098473302817,78768074688564,413405237823,0,3324677623426,0,21053839680240,19139500000000,19139500000000,0,7510120451721,104816808984,484740000000,638356134,3744292533015,35000000000,117380137693,187718539786
GAS,2020,39472227294732,5237246729402,21613236327512,10239199864118,1662572767363,719971606337,23736173735371,0,19773601197998,22357771534,379189574851,0,1096004237787,63208401030103,13708720044649,9748781422071,3959938622578,49499680985454,49499680985454,196658562648,10028673271871,0,1064055447633,63208401030103,435275808580,0,1729146683995,0,18853826843892,19139500000000,19139500000000,0,1963867248970,228058965321,1017470000000,22372689424,1022822668367,35000000000,88152294337,162062201594
GAS,2019,41815396772232,4475889167227,24915000000000,10358798068406,1574702523108,491007013491,20363390617402,0,15849872770378,23186576974,404693951815,0,936880834806,62178787389634,12564256032003,9964436306143,2599819725860,49614531357631,49614531357631,196658562648,10109461187456,0,1107564799241,62178787389634,844110099287,0,1645289410396,0,18844379948876,19139500000000,19139500000000,0,1455930000000,202837473408,1340567850126,83203514130,823187362762,35000000000,48664032942,127884370801
GAS,2018,40932012643396,6705645460007,21602454000000,10213710624435,1948260051377,461942507577,21682407601897,0,18609210697766,24014662414,63019500678,0,1534135374830,62614420245293,15747295132679,11846614031313,3900681101366,46867125112614,46867125112614,255319038873,10598838456543,0,1794370735459,62614420245293,91011400518,0,2018155350298,0,14862130022329,19139500000000,19139500000000,0,3395742808039,237513454863,1489867272234,165674410771,1324485607020,85000000000,149267425562,216829039491
GAS,2017,38256957853411,13502016964678,13577350000000,9174883054445,1645375601834,357332232454,23632385489026,0,15395529375231,24842563084,92632703133,0,1358827836339,61889343342437,18617834577626,10911813704191,7706020873435,43271508764811,43271508764811,255319038873,7089031949795,0,1781841132604,61889343342437,155519627817,0,1737552213440,0,14849893822097,19139500000000,19139500000000,0,7311935862404,204413210666,1737699131097,235432057411,1077254012412,111040000000,126446286044,188768857198
GAS,2016,33202945162630,13537560908336,5898450000000,11878375723172,1291226206958,597332324164,23550908355808,0,17203070018816,24515433300,144205831583,0,1305579362351,56753853518438,15910005640211,9182556758322,6727448881889,40843847878227,40843847878227,255851956264,6157504526798,0,1730131795757,56753853518438,298443263847,0,1379598862461,0,13404936846079,19139500000000,19139500000000,0,6365826626253,86394987159,1180387629702,305189704051,950303632420,86920000000,70851189181,134964458303
GAS,2015,33696796688321,17748332404746,6099320000000,8091854398721,1212197842312,545092042542,23017809598967,0,14870118511535,0,85741527821,0,1323006428733,56714606287288,13825543405185,9002416525380,4823126879805,42889062882103,42889062882103,251892478129,10251053322087,0,1827418833439,56714606287288,864259648019,0,1304391246249,0,11513442679453,18950000000000,18950000000000,0,4503688430821,71776566945,1589777540020,393443904930,882541690429,85000000000,77139528973,140774728640
