CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
GAS,2024,13172107496375,2727709804035,2109442400255,1070942346,0,-1504151203000,318596953375,0,16824776393386,-4549384677628,-662132189021,930606432959,-179814994980,-334023151235,-2632100363803,0,-362716748314,9035210701364,-1925456571752,1386025703,-46644494787639,54236231463575,0,0,1800643654080,7468309783967,0,0,1862902885250,-4602854918967,0,-13872476202356,0,-16612428236073,-108907750742,5668895193049,7995989161,5567983431468
GAS,2023,14639542209210,3026921230677,366192272100,96268084573,0,-2073305978387,339976056558,0,16395593874731,-550297452099,115462821548,1159357930370,585198622793,-505230388152,-3134151129378,0,-238889627322,13827044652491,-1841341777865,66000000,-50078274935445,38720237385731,0,0,1950619634557,-11248693693022,0,0,2075745608357,-2419278798827,0,-7119780163201,0,-7463313353671,-4884962394202,10549337638537,4519948714,5668895193049
GAS,2022,18806274860388,3022954831285,446081612056,73300232774,0,-1335908271004,336861023097,0,21349564288596,782276386743,-860659726216,-3677892636800,-266779341486,-537119783618,-3451711192375,0,-545607495656,12792070499188,-2009673196429,570658941,-40741761303346,41815088168061,0,0,1200815213928,265039541155,118345978175,0,1325381539466,-3370675691680,0,-5882313058641,0,-7809261232680,5247848807663,5300330735432,1158095442,10549337638537
GAS,2021,11204998243771,3073271794099,738511937955,-128144388297,0,-1108893203844,304138743377,0,14083883127061,-7153185991469,-1612418420953,7800920353900,-2740310183509,-262442294782,-2274967189845,0,-246658174204,7594821226199,-4747172910132,180667761327,-41510884348748,38324295021308,0,0,998038096084,-6755056380161,0,0,6246927650109,-1156321500000,0,-5864872815742,0,-774266665633,65498180405,5237246729402,-2414174375,5300330735432
GAS,2020,9978064228697,2554097877410,933523809294,18570413088,0,-1316211508585,101218192497,0,12269263012401,-960719844944,-83857273599,-192156621517,-168109715935,-95440410322,-2090389867815,0,-1348190447194,7330398831075,-4173689627906,26793066361,-29153945745754,31865500000000,0,0,1534467421577,99125114278,0,0,2201825438530,-2020031039686,0,-6850062019942,0,-6668267621098,761256324255,4475889167227,101237920,5237246729402
GAS,2019,15068262843420,2691351575784,836351949750,-17215375585,0,-1584783105309,197609807262,0,17191577695322,-702159409023,277061101494,-401099202738,-142271505195,-275508833227,-2853005601343,0,-413676152000,12680918093290,-2690311002689,1475305521,-37350400000000,34030200000000,0,1470287703043,-183385237974,-4722133232099,0,0,2344153043210,-4294384540138,-7899885693,-8229985000000,0,-10188116382621,-2229331521430,6705645460007,-424771350,4475889167227
GAS,2018,14539921930885,2828502305719,23994520943,106170897202,0,-1400876798566,440018194452,0,16540817135547,-1147989882295,-280603136858,1525692316225,-266851684236,-447431985821,-3112740156514,1102418960,-390107370571,12421887654437,-692463537696,19260426842,-18707004000000,10681900000000,0,25422359175,1358375796557,-7314508955122,60952471943,0,2524747821473,-6822151718673,-12799224326,-7655800000000,0,-11905050649583,-6797671950268,13502016964678,1300445597,6705645460007
GAS,2017,12588037598477,2713286984972,98854110025,-23435822102,0,-1224540426123,280095523887,0,14432297969136,2711910171099,-357953350979,951119267104,-146973013330,-301821167799,-2399907971669,13084333117,-516206317121,14385549919558,-2179625964790,17296615553,-15003900000000,7325000000000,0,24752815000,1125266102220,-8691210432017,0,0,10466011787538,-8910736045687,-19651716033,-7264565850000,0,-5728941824182,-34602336641,13537560908336,-941607017,13502016964678
GAS,2016,9152243481638,3308875990847,3819129637,79717116365,0,-1073069168236,359758790896,0,11849266341147,-4246788580301,-75207616212,-527342648759,-13939182978,-310342421923,-1503018478738,0,-230403229686,4942224182550,-3230006972802,728836485,-2582450000000,2783320000000,-58000000000,83638401486,1089427985285,-1913341749546,379000000000,0,7529327895772,-6101911453702,-47147587149,-8999514572611,0,-7240245717690,-4211363284686,17748332404746,591788276,13537560908336
GAS,2015,11198634580207,3108201526816,8532955939,149040082301,0,-841394917756,192515313041,0,13815529540548,-2943962913441,631746424068,1457276523587,129603673,-183332908994,-3330895941032,0,-319618216109,9126872112300,-4737118637350,1930299272,-4986320000000,227000000000,0,198414290000,1037485815055,-8258608233023,0,-40111223937,4123189844032,-5724457031633,-38634958934,-5519637734500,0,-7199651104972,-6331387225695,24080005607944,-285977503,17748332404746
GAS,2014,17979330883171,3467376276521,370737700282,64849496291,0,-1122148503636,365715353306,0,21125861205935,926525991768,615096329725,-2807726103949,530232154562,-379776463577,-2980914126718,0,-327849789135,16701449198611,-2859942028772,9208786216,-549700000000,28100000000,0,0,1112482063829,-2259851178727,0,0,6243748745580,-6140037307744,-52751025649,-8123284760000,-582827540832,-8655151888645,5786446131239,18292997853785,561622920,24080005607944
GAS,2013,15582755695440,3338271404708,47501243891,12343823954,0,-1159756676572,420450207908,0,18241565699329,-548535666065,-853300204218,518796365795,919153794756,-449960870727,-3003609993823,54646353189,-294120152649,14584635325587,-2370691165930,962732491,-753283158412,406800000000,0,0,1110891885615,-1605319706236,0,0,5609612470569,-7315593730885,-29653684508,-5703802624545,0,-7439437569369,5539878049982,12753084518890,35284913,18292997853785
