CP,Năm,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
GAS,2024,0.15097048632947824,103603614927247,10398370049725,-0.10405457593293793,1736612351244,-318596953375,103603614927247,-39488364359,103564126562888,-85909769124140,17654357438748,-660047745399,37806658350,-2415289067133,-3197034309940,13156405325870,41606598391,0,-25904427886,15702170505,13172107496375,-2561813069323,-20173841542,10590120585510,191750535785,10398370049725
GAS,2023,-0.10632481090106574,90014136902542,11606030646959,-0.21571956631008618,2272915648323,-339976056558,90014136902542,-60230389217,89953906513325,-73028985057627,16924921455698,-586713077889,26727700788,-2543871863091,-1474856883595,14619122980234,33550256202,0,-13131027226,20419228976,14639542209210,-2812599931853,-33846797814,11793095479543,187064832584,11606030646959
GAS,2022,0.27510824076662704,100723549227433,14798317219715,0.7062581381502309,1568073330550,-336861023097,100723549227433,0,100723549227433,-79409012569544,21314536657889,-671395477079,31818633340,-2440389587646,-1074753539576,18727890017478,111967278406,0,-33582435496,78384842910,18806274860388,-3709948669392,-29933901568,15066392289428,268075069713,14798317219715
GAS,2021,0.23165508116603017,78992156122272,8672965062460,0.10413924007342794,1186807167063,-304138743377,78992156122272,0,78992156122272,-65006501143931,13985654978341,-402749045863,15053154984,-2132583045802,-1479072397239,11173110811484,83102974835,0,-51215542548,31887432287,11204998243771,-2304278491555,-48907622506,8851812129710,178847067250,8672965062460
GAS,2020,-0.1483883322308284,64134965486838,7854955921939,-0.34004434260100547,1451117996323,-101218192497,64134965486838,0,64134965486838,-52728949502327,11406015984511,-169134841287,-11351394583,-1943004886832,-769205023620,9964437834512,50448429544,0,-36822035359,13626394185,9978064228697,-2037319332206,31046323461,7971791219952,116835298013,7854955921939
GAS,2019,-0.008769031445347063,75310106606268,11902248028143,0.03913744984020722,1664550734786,-197609807262,75310106606268,-304809430862,75005297175406,-58086688538104,16918608637302,-240940076023,-504636282,-2394374579372,-875266258698,15072073821713,16104369827,0,-19915348120,-3810978293,15068262843420,-2967381924337,-15229609228,12085651309855,183403281712,11902248028143
GAS,2018,0.1719290517812904,75976345569671,11453968895042,0.18266699643096826,1476548445639,-440018194452,75976345569671,-364799330259,75611546239412,-58120227682208,17491318557204,-616615024877,-3573202455,-2638679383447,-1127931765213,14581067626851,39088905640,0,-80234601606,-41145695966,14539921930885,-2778439374778,-52917076131,11708565479976,254596584934,11453968895042
GAS,2017,0.09277117736144776,64830157981142,9684863896268,0.3795801474600972,1272001039845,-280095523887,64830157981142,-307717004908,64522440976234,-49359543140142,15162897836092,-429584038709,-874150755,-2426235182000,-1109174582069,12469030922404,163295930879,0,-44289254806,119006676073,12588037598477,-2618775027875,-31470022129,9937792548473,252928652205,9684863896268
GAS,2016,-0.08034111717820877,59326379871839,7020153134342,-0.17736071011235596,1136087785475,-359758790896,59326379871839,-250186696178,59076193175661,-47521232445917,11554960729744,-494200815972,371260141,-2130307143526,-965382550673,9101529265189,62480382072,0,-11766165623,50714216449,9152243481638,-1932844957820,-46988793631,7172409730187,152256595845,7020153134342
GAS,2015,-0.12290524309729617,64509114172646,8533695412604,-0.39535992607471543,1096546341436,-192515313041,64509114172646,-208910134361,64300204038285,-50903608817829,13396595220456,-644194031699,1981123472,-1729017467247,-1002792079242,11119119107176,140203743456,0,-60688270425,79515473031,11198634580207,-2378039202544,11530540814,8832125918477,298430505873,8533695412604
GAS,2014,0.12121764210265894,73548625920930,14113678170889,0.1486168398621057,1168755042079,-365715353306,73548625920930,-173479716511,73375146204419,-53231657394562,20143488809857,-521986522712,3497901222,-1412303065766,-1390206066144,17991246098536,36111303368,0,-48026518733,-11915215365,17979330883171,-3650242219392,31736519851,14360825183630,247147012741,14113678170889
GAS,2013,,65597100116086,12287542443295,,1222947832000,-420450207908,65597100116086,-197414320128,65399685795958,-48167455634889,17232230161069,-649017818757,0,-1263022901640,-2095444712513,14447692560159,1201093426441,5298215259,-71328506419,1129764920022,15582755695440,-2988853977911,1977931169,12595879648698,308337205403,12287542443295
