Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
GAS,2024,5,0.08957681840000001,0.3294389843,0.2959451365529515,2.6282369496084996,1.221207848,5.4862925782,51.60747934148332,18.6980286832,27.9878676041,98.29337562878332,19.5207744187,0.11627611279435286,0.17046788327836296,0.10040513443050883,0.1673155558,0.1858465438,0.1226155381,14769743865710,12042034061675,0.0,3.9306053605,0.3820100587,1.6923206082,-37.79707851600544,1.3294389842980305,156490550989200,2342672919,15.0495270163,2.597449169,1.5110497832,17.3200776564,4438.677702461203,25717.5388829639,10.436683995
GAS,2023,5,0.1553751974,0.3438944799,0.2991202244245361,2.7873554069283624,1.0556910363,5.0111080513,44.129539822055186,20.6298385018,34.4614393704,99.22081769425519,17.6928190673,0.14347562222992713,0.18815104437060648,0.12902197466254323,0.1873354425,0.1813332118,0.1362073421,15933113939689,12906192709012,0.0881057269,4.1556214682,0.378634421,1.5050952736,-37.96206368082924,1.343894479878637,156407983580700,2296739847,13.9152274536,2.4420153468,1.7387569884,11.3117435802,5053.2630685703425,27886.8026319286,9.8294892809
GAS,2022,5,0.1981398816,0.3512806442,0.26759377563922054,2.6112720670051424,1.2478857162,5.8444785275,35.890786000465134,17.2597251651,30.5273823821,83.67789354766514,21.1474978024,0.17671531302452523,0.211614233427785,0.14692013271196902,0.2667518618,0.2646493255,0.183339535,20822348361952,17799393530667,0.0476821192,4.456430168,0.8447608929,2.141300581,-52.83898198439425,1.3512806441601533,144503225000000,1913950000,9.9996576528,2.4141135756,1.4346518377,11.2963124311,7731.82017279187,31274.4192167659,6.725314776
GAS,2021,5,0.29707165550000003,0.5091771147,0.34675842085006836,2.2279136900344216,1.1127499217,4.171547694,37.377381274343236,14.1881645662,26.1299882594,77.69553409994325,25.7256672134,0.13132948946528414,0.17705118666076916,0.10979526940668784,0.1705725122,0.172361102,0.1221746774,13447271329399,10373999535300,0.0295566502,3.10330972,0.3200438995,1.3417168211,-34.10943117641788,1.5091771146991786,194265925000000,1913950000,23.1818535982,3.8021087886,2.4593065253,25.5787357219,4531.448085091042,26695.7116812419,14.646871465
GAS,2020,5,0.099903765,0.2769456241,0.39946926534352173,2.1129574079246014,1.0229907265,3.600713706,29.206100193566567,11.6792500711,15.8880909225,56.77344118716657,31.2520065738,0.13555485698114506,0.17784395606873418,0.12247540576834054,0.1585031195,0.1656562004,0.1252912043,11247903951469,8693806074059,0.0311850312,4.0489396147,0.5372206538,1.5875262685,-85.89173408047841,1.27694562412791,184121990000000,1913950000,24.3118523134,3.8013752884,2.8708519386,25.1175951327,4104.054924077954,25306.6305482489,16.1688863369
GAS,2019,5,0.0857093221,0.2532374223,0.3194602939233487,2.117859943453378,1.2020733916,4.3532961197,22.682226055408695,11.5100152144,14.3825906812,48.57483195100869,31.7115132519,0.18197338472391858,0.2255655170292367,0.1586854325809632,0.2467256153,0.2604216709,0.1907515361,16340319375016,13648967799232,0.0464876033,4.1964638528,0.4491863894,1.4887633158,-69.0702955908235,1.253237422347849,185270360000000,1913950000,15.9283990439,3.8194587942,2.4700970062,14.6101692825,6218.68284340918,25343.9047824604,11.2354577943
GAS,2018,5,0.1766985466,0.3359987431,0.39706320054944966,2.0005833820207317,1.214606596,4.447118024,23.11822013328222,11.7930823349,15.6629634504,50.57426591858222,30.9503478084,0.18151602620434298,0.231331316804718,0.15148438915367263,0.254141169,0.2651977206,0.1839939383,16553209714263,13724707408544,0.0547520661,3.4551655465,0.5660389916,1.4282018507,-31.191227048319654,1.335998743145453,185270360000000,1913950000,16.17521068,4.1104734459,2.4502919093,14.9148313971,5984.466101539748,23549.5986714151,11.0824624219
GAS,2017,5,0.37811417550000004,0.4302561919,0.35578905877557154,1.8470998838063146,1.0876719893,3.9586020366,30.06586439407143,11.5252296752,17.6289553296,59.220049398871424,31.6696508692,0.18020843440045664,0.23500192501515954,0.1501007052698966,0.2302757614,0.2222330637,0.1632603327,14340775056995,11627488072023,0.041322314,3.5060127391,1.2373760523,2.0781971388,-41.51258081765677,1.4302561918702101,185270360000000,1913950000,19.6118375404,4.4654578013,2.8714096553,12.8789209336,5060.1446726758795,21677.5086246804,12.6086614782
GAS,2016,5,0.3406153339,0.3895324869,0.42119121758815964,1.743472063341293,1.0412795463,3.6838366176,27.805308320559043,10.3075650531,16.5794297385,54.69230311215904,35.4108849296,0.14319255491618516,0.19559419977156833,0.11883218530124004,0.1676796631,0.1748142214,0.123737524,11768147026392,8459271035545,0.041322314,3.6158714873,1.4742692329,2.7678496633,-23.51372989240012,1.3895324869401517,185270360000000,1913950000,27.2090165024,4.7367107643,3.1361255701,37.4872432242,3667.8874235701037,20436.1221988401,15.2342601554
GAS,2015,5,0.24708290859999998,0.3223559219,0.3467112012312139,1.8307746904937436,1.1637412648,4.2723068619,21.394947343861453,11.6179685686,13.1064972265,46.11941313896145,31.4168520809,0.16585928199570063,0.20834452115392246,0.13271645930583595,0.2118372513,0.2177263184,0.1544476202,13772987200783,10664785673967,0.0361570248,3.7430834925,1.9715075785,2.870361167,-55.39707727922776,1.3223559219092709,183436000000000,1895000000,22.082909134,4.4673320869,2.8528058774,20.0984518839,4503.26934702058,21668.4137459968,12.4723221667
GAS,2014,5,0.3372263317,0.4276098023,0.4042217201046021,1.6083913488309292,1.408753092,4.1852384661,23.86404294386524,15.384554416,18.6524099633,57.901007323165246,23.7250940216,0.23633315332191657,0.27452740950918697,0.19234957476703476,0.3973591724,0.3831905308,0.2709730582,20808355954468,17340979677947,0.041322314,3.1947352472,2.4725340677,2.9637175439,-47.416602888524395,1.4276098022658332,183436000000000,1895000000,12.9970371847,5.0980777533,2.4999745757,10.9832385093,7447.851277513984,18987.5487751942,8.0222984919
GAS,2013,5,0.36157121560000005,0.46002742,0.5945485422100512,1.4239305768571529,1.3692668176,3.2036533544,28.052873519577272,16.0995243059,22.8570912561,67.00948908157727,22.6714773099,0.21213806118581477,0.2634910237158055,0.18788381463530557,0.4058589666,0.3399186868,0.2572630729,17212033951624,13873762546916,0.0433884298,2.8670837691,1.9357041844,2.5393922077,-32.99739728027858,1.510248845716793,183436000000000,1895000000,14.9286157787,5.499004796,2.8048452797,12.5773456727,6484.191262952507,17603.1852292311,10.1251949581
