time,open,high,low,close,volume
2023-09-11 10:00:00,22.24,22.29,22.1,22.14,938300
2023-09-11 11:00:00,22.14,22.14,21.9,22.0,254600
2023-09-11 13:00:00,22.0,22.0,21.56,21.75,1448700
2023-09-11 14:00:00,21.75,21.75,21.17,21.17,1765100
2023-09-12 10:00:00,21.17,21.56,21.17,21.56,940800
2023-09-12 11:00:00,21.56,21.61,21.37,21.37,149400
2023-09-12 13:00:00,21.37,21.66,21.37,21.66,544100
2023-09-12 14:00:00,21.66,22.1,21.66,22.1,750700
2023-09-13 10:00:00,22.48,22.48,22.24,22.29,2581500
2023-09-13 11:00:00,22.29,22.48,22.24,22.34,477200
2023-09-13 13:00:00,22.34,22.44,22.24,22.24,1111900
2023-09-13 14:00:00,22.24,22.24,21.61,21.71,1495100
2023-09-14 10:00:00,21.75,21.75,21.61,21.75,869100
2023-09-14 11:00:00,21.75,21.75,21.51,21.51,337800
2023-09-14 13:00:00,21.51,21.71,21.37,21.61,751300
2023-09-14 14:00:00,21.61,21.85,21.41,21.41,660400
2023-09-15 10:00:00,21.66,21.71,21.41,21.46,630100
2023-09-15 11:00:00,21.41,21.51,21.32,21.46,258500
2023-09-15 13:00:00,21.41,22.39,21.32,22.1,1753300
2023-09-15 14:00:00,22.14,22.14,21.75,22.0,488400
2023-09-18 10:00:00,21.85,21.95,21.61,21.75,2058500
2023-09-18 11:00:00,21.75,21.9,21.61,21.66,225100
2023-09-18 13:00:00,21.66,21.8,21.46,21.71,945300
2023-09-18 14:00:00,21.71,21.8,20.98,21.56,1102000
2023-09-19 10:00:00,21.61,21.61,21.27,21.37,914600
2023-09-19 11:00:00,21.32,21.37,21.22,21.32,327500
2023-09-19 13:00:00,21.32,21.61,21.17,21.51,655200
2023-09-19 14:00:00,21.51,21.71,21.12,21.71,642800
2023-09-20 10:00:00,21.9,22.48,21.9,22.29,4066600
2023-09-20 11:00:00,22.29,22.34,22.19,22.34,405800
2023-09-20 13:00:00,22.34,22.44,22.19,22.24,1098700
2023-09-20 14:00:00,22.24,22.48,22.24,22.48,934700
2023-09-21 10:00:00,22.73,22.78,22.58,22.73,1958800
2023-09-21 11:00:00,22.73,22.73,22.53,22.58,392700
2023-09-21 13:00:00,22.58,22.97,22.48,22.92,1402300
2023-09-21 14:00:00,22.92,22.92,22.53,22.58,930000
2023-09-22 10:00:00,22.05,22.05,21.27,21.37,2879200
2023-09-22 11:00:00,21.37,21.85,21.37,21.56,259700
2023-09-22 13:00:00,21.46,21.8,21.32,21.75,1211000
2023-09-22 14:00:00,21.75,21.9,21.27,21.27,1026300
2023-09-25 10:00:00,21.37,21.8,21.32,21.41,1232500
2023-09-25 11:00:00,21.41,21.56,21.41,21.41,94400
2023-09-25 13:00:00,21.41,21.46,20.83,21.12,1268500
2023-09-25 14:00:00,21.12,21.12,19.81,19.81,2294900
2023-09-26 10:00:00,19.76,20.25,19.71,19.71,1404800
2023-09-26 11:00:00,19.71,19.81,19.27,19.27,331400
2023-09-26 13:00:00,19.27,19.81,19.08,19.76,1061600
2023-09-26 14:00:00,19.76,19.91,18.45,18.45,4349700
2023-09-27 10:00:00,18.3,18.45,18.2,18.4,1827900
2023-09-27 11:00:00,18.4,18.4,18.1,18.3,486400
2023-09-27 13:00:00,18.3,18.98,18.15,18.69,1187900
2023-09-27 14:00:00,18.64,19.32,18.64,19.32,856900
2023-09-28 10:00:00,19.13,19.22,19.03,19.22,542800
2023-09-28 11:00:00,19.22,19.27,19.18,19.18,168800
2023-09-28 13:00:00,19.18,19.27,18.88,19.08,858500
2023-09-28 14:00:00,19.08,19.22,18.88,19.08,503200
2023-09-29 10:00:00,19.42,19.56,19.27,19.32,910600
2023-09-29 11:00:00,19.32,19.37,19.27,19.27,66200
2023-09-29 13:00:00,19.27,19.32,19.08,19.27,480900
2023-09-29 14:00:00,19.27,19.37,18.98,18.98,498100
2023-10-02 10:00:00,19.22,19.47,19.22,19.27,615900
2023-10-02 11:00:00,19.27,19.37,19.27,19.37,63800
2023-10-02 13:00:00,19.37,19.56,19.22,19.52,1060000
2023-10-02 14:00:00,19.52,19.86,19.47,19.86,1001000
2023-10-03 10:00:00,19.47,19.61,18.98,19.08,1625500
2023-10-03 11:00:00,19.08,19.22,18.54,18.69,441700
2023-10-03 13:00:00,18.74,19.22,18.59,19.08,770800
2023-10-03 14:00:00,19.08,19.08,18.49,18.49,1093200
