CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
GVR,2024,27738539543768,6187031570567,13561270980570,2522810593836,4364598078728,1102828320067,55806191300655,787511137957,35354726377819,1282792047929,2641255181487,0,6727359411018,83544730844423,24938434764559,11925528794526,13012905970033,58606296079864,58557310305390,10591031002,6385237543057,48985774474,5442826026420,83544730844423,375117200914,8048249000,4390893783828,0,6622289571911,40000000000000,40000000000000,0,2910887193900,623787954638,4132936342163,168265084097,6213331471797,358702878861,224789077435,690141129371
GVR,2023,23842248926140,5564089010514,11355359823009,2546020285787,3360240302718,1016539504112,54219844693958,798339917201,34438241979610,1344022245376,2956531742936,0,4049152928891,78062093620098,23084890704040,9652535590089,13432355113951,54977202916058,54936297729629,10591031002,5187395112271,40905186429,5118216066711,78062093620098,429506912582,8048249000,3388137574911,0,5408494473494,40000000000000,40000000000000,0,3577280067014,518634401781,3002624606830,190634628239,3637589873576,360702878861,223466914989,657484252712
GVR,2022,23450140039254,4370292544522,11211639477968,2762927647630,4131321566267,973958802867,54997733643074,811118551465,33980726349462,1418651006137,2826988655514,0,3994389273486,78447873682328,24932316138862,10390753370425,14541562768437,53515557543466,53443146128753,10591031002,5020241316983,72411414713,4445429928494,78447873682328,449167018142,10384605161,4230814555012,0,5089160674135,40000000000000,40000000000000,0,4595715762064,524588783208,2817045890836,36914289619,3674890909457,393731440114,278179328465,674543960596
GVR,2021,22769352069241,5303619340768,10279304670167,2849079360558,3470646319623,866702378125,56244845666143,852930351700,32558961754737,1477791601086,2760226679370,0,4030876557662,79014197735384,27074158287185,10866850865303,16207307421882,51940039448199,51849201168066,10591031002,4631590901141,90838280133,4050794456198,79014197735384,510863626115,10520019690,3532984204833,0,4133367632585,40000000000000,40000000000000,0,6343543781674,469087994731,2661903488666,1682296142,3666617997285,354526105622,240050136616,687629938300
GVR,2020,22166796521089,5528283614830,10764750681992,2949233801252,2079297700052,845230722963,58111382571363,888872715844,30562373856095,1476180958452,3163027862580,0,4171834309430,80278179092452,28847527041151,11015038357982,17832488683169,51430652051301,51388662947626,10591031002,4574989151798,41989103675,3843345021909,80278179092452,525474388619,10547546310,2094198541501,0,3445109742483,40000000000000,40000000000000,0,8335213987508,528183145533,3772259625860,5591863282,3780113336957,354526105622,236485151852,736244027770
GVR,2019,21069822994274,7114787951797,6559664408592,2899977060662,3506815604076,988577969147,57447216945365,980833320684,27698715825244,1345307408338,3430613964596,0,2486959945469,78517039939639,27920490129299,9728620026216,18191870103083,50596549810340,50525206121127,10591031002,4232280829673,71343689213,3776406003796,78517039939639,545927639989,10546458059,3573833224414,0,2916343879221,40000000000000,40000000000000,0,9075795018270,632754895645,2787072190206,15489229631,2339941806961,274723400907,193644714486,741051795456
GVR,2018,18429315133228,5159740351097,5474765970508,3574622292421,3285851659669,934334859533,58943880806308,1023717354258,25428791371345,1183252881783,3610365847616,0,2411754198677,77373195939536,28030734972791,10337416492132,17693318480659,49342460966745,49283602156345,10591031002,2395901480049,58858810400,4624261278136,77373195939536,552428573508,12793119133,3342878614351,0,2439091902294,40000000000000,40000000000000,0,10031645617218,646837363304,3367803433696,31555035363,2264271526231,352306757324,278362041878,884713762228
GVR,2017,17191117760724,5161444619167,4399088869044,3295173203359,3541939317234,793471751920,57291591169698,1143163311445,21156751284091,1087172798105,3353788341410,0,1604593971431,74482708930422,26448441447355,10474301799936,15974139647419,48034267483067,47889679230385,10591025501,1400402319256,144588252682,4270760353435,74482708930422,610736199719,9995128728,3556562850445,0,8082212578853,27354777037363,27354777037363,0,10109574293754,673978519355,3328464868778,41494201709,1508002539407,318011604396,261527166863,1449183556848
GVR,2016,14945189982745,6034334324181,2699251366218,2895968747840,2601398531331,714237013175,54857372355722,1280801016607,16660472890822,1000020903845,3561013555347,0,1233942063544,69802562338467,24600282615917,10156711280571,14443571335346,45202279722550,45044167053504,14052024091,1672649222890,158112669046,4103882615533,69802562338467,770218413329,618671654512,2608044441323,0,6952536781356,26141117039011,26141117039011,0,10353887383427,473956707948,3682799098473,51928675735,1142157401993,363385806078,251459292980,1014494841084
GVR,2015,14703811575089,5504159028735,2487259839805,2936211548094,2933191313774,842989844681,51963842522114,1381632418861,13486687145087,820229058283,2833945997679,0,1104228928504,66667654097203,23370511768799,10054945288674,13315566480125,43297142328404,43130146435651,4684338857730,913060803645,166995892753,3959099298123,66667654097203,833927597694,68256122244,3025386301136,0,6437295628830,26166499106975,26166499106975,0,10650994831251,355517474997,3308723451221,63804025490,1020452095873,572914759722,435516097513,1281077951528
