CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
GVR,2024,4,0.22500188464945195,9318340386727,1973132981260,0.6945542868655807,377636598199,-93776500031,9318340386727,-17751002074,9300589384653,-6224831209462,3075758175191,-102641892583,103779385861,-186083667599,-836931764239,2431516834830,499712469109,0,-224435634658,275276834451,2706793669281,-414804364636,106082166233,2398071470878,424938489618,1973132981260
GVR,2024,3,0.244789325794085,7717064516661,943784293874,2.0168761103975115,226341384691,-81287573713,7717064516661,-1290963428,7715773553233,-6120216246593,1595557306640,-90611538741,4625687111,-149742398163,-511327965650,1074842475888,323619551153,0,-92055256751,231564294402,1306406770290,-240800187573,55113764819,1120720347536,176936053662,943784293874
GVR,2024,2,0.11834727975269299,4653667942946,820840325114,0.47055611416051574,234405066325,-90526866806,4653667942946,-1063029505,4652604913441,-3491737411504,1160867501937,-134915657596,59414053400,-101739540249,-431769766424,786261657393,416544681170,0,-78607413080,337937268090,1124198925483,-181480600404,-8069543277,934648781802,113808456688,820840325114
GVR,2024,1,0.10823430707373324,4590332818742,475562877828,-0.13504816472578612,227012695063,-94023493348,4590332818742,-4967613103,4585365205639,-3509404184202,1075961021437,-111295000759,-6409732518,-113258877553,-363421903579,708588202091,122678725833,0,-52773821657,69904904176,778493106267,-133961665064,5500170840,650031612043,174468734215,475562877828
GVR,2023,4,-0.1582498888869221,7606796775985,1164396441326,0.277272557627185,351474636629,-114630440966,7606796775985,-15619726151,7591177049834,-5988029282265,1603147767569,-131307660080,85074962616,-217989967254,-667488455333,1022911284147,753365609689,0,-104451969413,648913640276,1671824924423,-285778100229,30139670720,1416186494914,251790053588,1164396441326
GVR,2023,3,0.05908312247488826,6199494449985,312834952228,-0.6253899907393013,284534445967,-93463305967,6199494449985,-4170346730,6195324103255,-4960823962572,1234500140683,-117057555695,-268869885910,-158520644698,-452076047623,522510452724,184328233063,0,-84652323324,99675909739,622186362463,-129484297157,907463482,493609528788,180774576560,312834952228
GVR,2023,2,-0.25387704828639757,4161201110960,558183613131,-0.45121069928846574,319053663908,-113444877018,4161201110960,-2981908324,4158219202636,-3252382538692,905836663944,-139233847550,-6521379034,-104714440628,-387665267276,586755393364,345538833117,0,-50376801577,295162031540,881917424904,-139646722768,-37801592813,704469109323,146285496192,558183613131
GVR,2023,1,-0.1555321711087074,4142023748446,549814288419,-0.4788955955036081,231072827584,-121115173422,4142023748446,-6854580947,4135169167499,-3129291450388,1005877717111,-142846700070,-11140062495,-109152371012,-362073524376,611737886742,378139278109,0,-41997613302,336141664807,947879551549,-145629176857,-46567135545,755683239147,205868950728,549814288419
GVR,2022,4,-0.06625095120079529,9036882413863,911627228169,-0.36583184929541107,267533421785,-135190692016,9036882413863,-24102713725,9012779700138,-7324787264121,1687992436017,-230959874440,128604218270,-219507914427,-555652948896,1078009338309,833842761419,0,-252373844986,581468916433,1659478254742,-370688742166,22094675906,1310884188482,399256960313,911627228169
GVR,2022,3,-0.049862471954089924,5853642946833,835095017470,-0.32682796550589754,231814732990,-125792619081,5853642946833,-6465603794,5847177343039,-4266681857870,1580495485169,-153519352788,47458614237,-131585763036,-445507383006,1129156333566,123080055083,0,-71585147054,51494908029,1180651241595,-159557439210,-27237607207,993856195178,158761177708,835095017470
GVR,2022,2,-0.020914073630797843,5577098387609,1017118249950,0.33855178905445227,238723156130,-114189185275,5577098387609,-15352689966,5561745697643,-4090895607642,1470850090001,-169129656932,69804078439,-128243760539,-400251485039,1081752422060,371360995101,0,-55314825690,316046169411,1397798591471,-229888750576,9642040593,1177551881488,160433631538,1017118249950
GVR,2022,1,0.010343911055353623,4904892296352,1055094302936,0.2899547441739403,178205420457,-126126544553,4904892296352,-11396181001,4893496115351,-3423294894497,1470201220854,-145263525945,52812359809,-113335568582,-345319078963,1097300827630,450733668271,0,-48759314329,401974353942,1499275181572,-194988025568,11309783383,1315596939387,260502636451,1055094302936
