CP,Năm,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
GVR,2024,0.1854783684533407,26279405665076,4213320478076,0.606191036598431,1065395744278,-359614433898,26279405665076,-25072608110,26254333056966,-19346189051761,6908144005205,-439464089679,161409393854,-550824483564,-2143451399892,5001209170202,1362555427265,0,-447872126146,914683301119,5915892471321,-971046817677,158626558615,5103472212259,890151734183,4213320478076
GVR,2023,-0.12983296156957314,22167764814943,2623175190293,-0.32425155520382354,1114792596285,-477578421406,22167764814943,-29361662457,22138403152486,-17175504672774,4962898479712,-618011845618,-208249655606,-591451294471,-1864450111955,2795528168347,1654215097847,0,-335851426630,1318363671217,4113891839564,-688075163368,-52955013507,3372861662689,749686472396,2623175190293
GVR,2022,-0.02863432430264328,25475298231163,3881881209633,-0.06645070034397356,894185343656,-490848598668,25475298231163,-53896946040,25421401285123,-19031442351474,6389958933649,-693655051039,203589622831,-592312872341,-1756840052036,4444925924720,1818655064604,0,-495400936905,1323254127699,5768180052419,-936903046284,-27128098390,4804148907745,922267698112,3881881209633
GVR,2021,0.2405753449224656,26226269744269,4158196263511,0.1027563323868624,830813573113,-607999588765,26226269744269,-36676743121,26189593001148,-18614304897718,7575288103430,-719154123110,285453277353,-507093532539,-1681979286962,5783328011285,1044967454846,0,-615526247241,429441207605,6212769218890,-992548229630,119825569822,5340046559082,1181850295571,4158196263511
GVR,2020,0.0663740726075217,21140408643143,3770729889631,0.16016044830115186,2968395937100,-726129832902,21140408643143,-24094292327,21116314350816,-16517119117612,4599195233204,-867058667345,319423213015,-442912025818,-1774060277264,4802983412892,1469460910652,0,-361269541616,1108191369036,5911174781928,-1097558697209,262737526531,5076353611250,1305623721619,3770729889631
GVR,2019,0.004832601635614453,19824571120198,3250179658471,0.2521767416446546,731503482589,-661091404583,19824571120198,-20576479295,19803994640903,-15181007915080,4622986725823,-791941121240,413725488527,-428985755430,-1629362325645,2917926494624,1923461761424,0,-186076522849,1737385238575,4655311733199,-857705225613,35751304570,3833357812156,583178153685,3250179658471
GVR,2018,-0.016471760961318287,19729227622520,2595623724972,-0.25365406831594367,791428173998,-602605200195,19729227622520,-15930263346,19713297359174,-15198769205231,4514528153943,-790265723299,309480554595,-465862330458,-1969935269033,2389373559746,2178237749271,0,-315874767498,1862362981773,4251736541519,-1001277505336,83205391145,3333664427328,738040702356,2595623724972
GVR,2017,0.2878503612086402,20059645304952,3477775673159,0.3974474692861815,571194206640,-579720150221,20059645304952,-11903136575,20047742168377,-14801328668523,5246413499854,-706355684903,312704907558,-418234091349,-1525696348414,3480026489386,1458283648870,0,-230771493621,1227512155249,4707538644635,-759314163335,-12417156908,3935807324392,458031651233,3477775673159
GVR,2016,0.03264848957951072,15576068392081,2488662901179,0.4533132980744776,538914072693,-465340643592,15576068392081,-31122123770,15544946268311,-12172741077945,3372205190366,-519558830595,378385493501,-335683096759,-1215470251391,2218792577815,1165094287643,0,-113120819421,1051973468222,3270766046037,-460649768624,-13512905213,2796603372200,307940471021,2488662901179
GVR,2015,-0.12569080552641396,15083611266815,1712406336938,-0.1790237804157511,580241438424,-348304757259,15083611266815,-14511759219,15069099507596,-11948646678425,3120452829171,-1150125417170,434650282839,-324837109405,-1245598960869,1414783062990,1244387305496,0,-88762466744,1155624838752,2570407901742,-538749300742,-15388619101,2016269981899,303863644961,1712406336938
GVR,2014,-0.19620729983116186,17252033219091,2085817221119,-0.3617876842468127,730587762536,-428696192014,17252033219091,-34362731107,17217670487984,-14031767019317,3185903468667,-707289736947,345285009520,-399024809430,-1344275102792,1811186591554,1353713774283,0,-177346941485,1176366832798,2987553424352,-675049233881,-15095287101,2297408903370,211591682251,2085817221119
GVR,2013,,21463286759717,3268218380677,,893315492454,-371751169973,21463286759717,-61062035855,21402224723862,-16011826322992,5390398400870,-564801603113,0,-397907019618,-1327404239973,3993601030620,1379942665823,145649285542,-531277510955,848665154868,4987915471030,-1150626641811,-46900273259,3790388555960,522170175283,3268218380677
