CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
HDB,2024,697280806000000,3105355000000,26680270000000,101600254000000,21955775000000,21955775000000,0,0,436606237000000,442484841000000,-5878604000000,48751284000000,31407524000000,17436610000000,-92850000000,857544000000,0,726080000000,146546000000,-15082000000,1765927000000,887455000000,0,878472000000,0,55958160000000,697280806000000,640623305000000,15434000000,99460579000000,437505165000000,18449000000,2788443000000,81349745000000,19485490000000,56657501000000,35224020000000,6313202000000,0,0,12954121000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35101423000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2166158000000
HDB,2023,602314859000000,2810044000000,41481638000000,96514863000000,18580932000000,18580932000000,0,110079000000,339349838000000,343404295000000,-4054457000000,44092289000000,31871688000000,12304873000000,-84272000000,143781000000,0,0,163921000000,-20140000000,1422759000000,713141000000,0,709618000000,0,57808636000000,602314859000000,555914537000000,26590000000,112086978000000,370777888000000,0,2811129000000,50938148000000,19273804000000,46400322000000,29198918000000,4708243000000,0,0,10561698000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29076321000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1931463000000
HDB,2022,416273023000000,2937994000000,11273345000000,49132317000000,1797822000000,1797822000000,0,0,260754811000000,263856383000000,-3101572000000,48789184000000,35375058000000,13444130000000,-30004000000,144023000000,0,0,163921000000,-19898000000,1315057000000,631621000000,0,683436000000,0,40128470000000,416273023000000,377278137000000,10821258000000,92653200000000,215797174000000,226480000000,2860155000000,44161640000000,10758230000000,38994886000000,25426026000000,3527727000000,0,0,7999785000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25303429000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2041348000000
HDB,2021,374611571000000,2445611000000,11847980000000,55942644000000,11198067000000,11200948000000,-2881000000,0,200758833000000,203210901000000,-2452068000000,65513425000000,43656434000000,21955594000000,-98603000000,123831000000,0,0,144421000000,-20590000000,1366325000000,663478000000,0,702847000000,0,25414855000000,374611571000000,343821458000000,92656000000,107242582000000,183283117000000,15550000000,2936864000000,42756113000000,7494576000000,30790113000000,20195503000000,2547465000000,0,0,6290473000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20072906000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1756672000000
HDB,2020,319127480000000,2257255000000,7788112000000,44810934000000,12478102000000,12478245000000,-143000000,0,176387656000000,178323092000000,-1935436000000,58236806000000,30143484000000,28180901000000,-87579000000,153636000000,0,0,185117000000,-31481000000,1059428000000,601398000000,0,458030000000,20860000000,15934691000000,319127480000000,294423432000000,142771000000,75175573000000,174620270000000,215182000000,3037163000000,34332257000000,6900216000000,24704048000000,16211085000000,1847081000000,0,0,4939190000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16088488000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1706692000000
HDB,2019,229477262000000,2004563000000,4503540000000,24664877000000,4643488000000,4650988000000,-7500000000,0,144699636000000,146324378000000,-1624742000000,36041894000000,15749443000000,20696368000000,-403917000000,166821000000,0,0,185117000000,-18296000000,903561000000,532147000000,0,371414000000,44098000000,11804784000000,229477262000000,209096146000000,209151000000,49793517000000,126018576000000,14262000000,3043492000000,25013063000000,5004085000000,20381116000000,11693415000000,1248389000000,0,0,6130768000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9810000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1308544000000
HDB,2018,216057406000000,2096395000000,5385604000000,32425544000000,2596626000000,2603376000000,-6750000000,208294000000,121791723000000,123131648000000,-1339925000000,42694913000000,25754996000000,17888621000000,-948704000000,164931000000,0,0,185117000000,-20186000000,1615456000000,569227000000,0,1046229000000,51955000000,7025965000000,216057406000000,199229266000000,7911883000000,40689261000000,128060094000000,0,3045666000000,14927000000000,4595362000000,16828140000000,11852342000000,775800000000,0,0,3007022000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9810000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1192976000000
HDB,2017,189334271000000,1511629000000,1922256000000,21861168000000,4690398000000,4693398000000,-3000000000,0,103336329000000,104497028000000,-1160699000000,45802141000000,37417732000000,9614647000000,-1230238000000,378237000000,0,0,490087000000,-111850000000,1526617000000,526448000000,0,1000169000000,45769000000,8255852000000,189334271000000,174575165000000,156253000000,37217378000000,120537469000000,70098000000,2927741000000,9793000000000,3873226000000,14759106000000,11852342000000,453708000000,0,0,1769506000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9810000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,683550000000
HDB,2016,150294272000000,1636010000000,2389302000000,18580047000000,396937000000,400000000000,-3063000000,0,81303975000000,82224372000000,-920397000000,34261091000000,24267353000000,11020813000000,-1027075000000,384406000000,0,0,495945000000,-111539000000,1351960000000,524984000000,0,826976000000,88381000000,9896674000000,150294272000000,140351629000000,177635000000,19684665000000,103299771000000,9326000000,2843432000000,11027014000000,3309786000000,9942643000000,8104686000000,465280000000,0,0,747047000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,625630000000
HDB,2015,106485935000000,1472407000000,2742385000000,11994220000000,916034000000,922956000000,-6922000000,39044000000,55853240000000,56558835000000,-705595000000,21197715000000,16705365000000,5011604000000,-519254000000,419118000000,0,0,530192000000,-111074000000,805214000000,518828000000,0,286386000000,64838000000,10976231000000,106485935000000,96644256000000,2488321000000,6594931000000,74542719000000,2822563000000,0,7847000000000,2348722000000,9841679000000,8104686000000,378601000000,0,0,909128000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,449264000000
