CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
HDB,2024,0,0,0,285759000000,17513541000000,8760553000000,0,-18159000000,-541148000000,0,-1180084000000,200000000000,-2712551000000,4849759000000,132411767000000,0,137261526000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8742394000000,1764000000,-658075000000,17375000000,0,0,0,0,-2912551000000,0
HDB,2023,0,0,0,88876000000,18172189000000,80687360000000,0,-30315000000,-273921000000,9325000000,-263843000000,0,-2515261000000,77877941000000,54533826000000,0,132411767000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80657045000000,753000000,0,0,0,0,0,0,-2515261000000,0
HDB,2022,0,0,0,111209000000,12002128000000,-15708816000000,0,-10262000000,-122001000000,22069000000,-77985000000,200000000000,200000000000,-15597063000000,70130889000000,0,54533826000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15719078000000,21447000000,0,500000000,0,0,0,0,0,0
HDB,2021,0,0,0,31014000000,8835844000000,15659853000000,0,-7434000000,-353900000000,0,-277831000000,0,0,15374588000000,54756301000000,0,70130889000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15652419000000,268000000,0,51775000000,0,0,0,0,0,0
HDB,2020,0,0,0,198235000000,8229463000000,24962372000000,0,-2228000000,-282765000000,260000000,-254886000000,0,-311937000000,24393321000000,30362980000000,0,54756301000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24960144000000,616000000,0,0,0,0,0,0,0,0
HDB,2019,0,0,0,203387000000,5547179000000,-8926216000000,0,-3431000000,-183219000000,27069000000,-5607000000,0,-158927000000,-9094181000000,39457161000000,0,30362980000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8929647000000,132012000000,0,0,0,0,0,0,-158927000000,0
HDB,2018,0,0,0,237015000000,4740006000000,15448131000000,0,-4177000000,-84350000000,109324000000,99438000000,0,-1275284000000,14268108000000,25189053000000,0,39457161000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15443954000000,15003000000,0,65771000000,0,0,0,0,-1275284000000,0
HDB,2017,0,0,0,86840000000,3252287000000,-383377000000,0,-3600000000,-22219000000,43881000000,102015000000,3018656000000,2868656000000,2583694000000,22605359000000,0,25189053000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-386977000000,11260000000,0,12527000000,0,0,0,0,-150000000000,0
HDB,2016,0,0,0,57593000000,2051338000000,6388642000000,0,-534000000,-272208000000,12285000000,-151824000000,0,2300013000000,8536297000000,14069062000000,0,22605359000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6388108000000,29134000000,0,83072000000,0,0,0,0,-809987000000,0
HDB,2015,0,0,0,15597000000,1827230000000,-2341505000000,0,-3816000000,-432025000000,77639000000,1121144000000,0,0,-1224177000000,15293239000000,0,14069062000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2345321000000,1257000000,-27700000000,1501973000000,0,0,0,0,0,0
HDB,2014,0,0,0,16765000000,598167000000,6728445000000,0,-11155000000,-53774000000,44738000000,40243000000,0,-175283000000,6582250000000,8710989000000,0,15293239000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6717290000000,12519000000,-10000000000,46760000000,0,0,0,0,-175283000000,0
HDB,2013,0,0,0,10807208458,-188613732249,3463391647674,0,-6929947602,-56475365780,154922618426,101951278635,0,-280757097022,3277655881685,5433333019673,0,8710988901358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3456461700072,1504025989,0,2000000000,0,0,0,0,-280757097022,0
