CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
HDB,2024,57994845000000,0.10171370272024184,12763193000000,0.2673341543127534,57994845000000,-27138452000000,30856393000000,3295965000000,-1879045000000,1416920000000,843813000000,68929000000,68253000000,869862000000,-163991000000,705871000000,68004000000,34028183000000,-11975958000000,22052225000000,-5321434000000,16730791000000,-3482903000000,-3478665000000,-4238000000,-484695000000,13247888000000,12763193000000,3671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDB,2023,52640577000000,0.5796878674219477,10070898000000,0.29950525136539113,52640577000000,-30456603000000,22183974000000,2830168000000,-642366000000,2187802000000,564703000000,41723000000,1167005000000,541644000000,-282491000000,259153000000,9325000000,26413685000000,-9129202000000,17284483000000,-4267751000000,13016732000000,-2680719000000,-2724629000000,43910000000,-265115000000,10336013000000,10070898000000,3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDB,2022,33323404000000,0.27304159005448075,7749794000000,0.2802130463289204,33323404000000,-15311836000000,18011568000000,3308455000000,-351637000000,2956818000000,134237000000,16986000000,312620000000,588126000000,-60036000000,528090000000,6785000000,21967104000000,-8630709000000,13336395000000,-3068339000000,10268056000000,-2058586000000,-2091986000000,33400000000,-459676000000,8209470000000,7749794000000,2689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDB,2021,26176210000000,0.13134510477176065,6053519000000,0.42470973410130364,26176210000000,-12285433000000,13890777000000,2127733000000,-200295000000,1927438000000,179248000000,100932000000,477213000000,496275000000,-313638000000,182637000000,0,16758245000000,-6382768000000,10375477000000,-2305860000000,8069617000000,-1616118000000,-1620180000000,4062000000,-399980000000,6453499000000,6053519000000,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDB,2020,23137246000000,0.17938459482272132,4248949000000,0.17870313912192914,23137246000000,-11239541000000,11897705000000,1088274000000,-138291000000,949983000000,167656000000,105179000000,139809000000,630093000000,-111250000000,518843000000,260000000,13779435000000,-6172829000000,7606606000000,-1788384000000,5818222000000,-1171125000000,-1164048000000,-7077000000,-398148000000,4647097000000,4248949000000,2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDB,2019,19618067000000,0.16794598723693846,3604766000000,0.2683526354771233,19618067000000,-9871512000000,9746555000000,821429000000,-195553000000,625876000000,229802000000,80459000000,239949000000,474880000000,-36602000000,438278000000,27069000000,11387988000000,-5080492000000,6307496000000,-1289083000000,5018413000000,-998079000000,-1002077000000,3998000000,-415568000000,4020334000000,3604766000000,3675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDB,2018,16797067000000,0.1477904285306339,2842085000000,0.6273152906377202,16797067000000,-9151374000000,7645693000000,541049000000,-102874000000,438175000000,298315000000,124336000000,341516000000,539625000000,-56629000000,482996000000,109324000000,9440355000000,-4441456000000,4998899000000,-994271000000,4004628000000,-803117000000,-780294000000,-22823000000,-359426000000,3201511000000,2842085000000,2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDB,2017,14634263000000,0.2926307415878492,1746487000000,1.3660903469840082,14634263000000,-8259439000000,6374824000000,268640000000,-72207000000,196433000000,129913000000,5708000000,484895000000,299104000000,-28939000000,270165000000,43881000000,7505819000000,-4072277000000,3433542000000,-1016760000000,2416782000000,-462375000000,-466302000000,3927000000,-207920000000,1954407000000,1746487000000,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDB,2016,11321302000000,0.4290102162479972,738132000000,0.4387500316741288,11321302000000,-6643222000000,4678080000000,167320000000,-49096000000,118224000000,209284000000,82503000000,151159000000,195119000000,-28428000000,166691000000,12285000000,5418226000000,-3276988000000,2141238000000,-993605000000,1147633000000,-233135000000,-226810000000,-6325000000,-176366000000,914498000000,738132000000,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDB,2015,7922478000000,0.2579093702560331,513037000000,0.07582668067447161,7922478000000,-4677768000000,3244710000000,234104000000,-45997000000,188107000000,25761000000,-4238000000,48787000000,78663000000,-59092000000,19571000000,609939000000,4132637000000,-2409584000000,1723053000000,-934619000000,788434000000,-158323000000,-160328000000,2005000000,-117074000000,630111000000,513037000000,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
