Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
HDB,2024,5,0,0,0.03116845905363881,1.614108400747453,0,0,,0,0,,0,0,0,0.4136320470121054,0.2570962129,0,0.0203877073,0,0,0.0,0,0,0,,12.306946012320592,78100666175000,3510142300,6.1192106219,1.4332674123,2.2951759186,8.9335559773,3636.089910087121,15523.9697832193,0
HDB,2023,5,0,0,0.030662696694216906,1.3218929217790043,0,0,,0,0,,0,0,0,0.45397177259583876,0.2420747778,0,0.0202947889,0,0,0.0392156863,0,0,0,,12.980833602835773,74144618550000,2907632100,7.3695825711,1.6673380028,2.8070531828,0.91925781,3463.608067884517,15293.8396160917,0
HDB,2022,5,0,0,0.03372383240202318,1.1109203894959865,0,0,,0,0,,0,0,0,0.43026759247168267,0.2352789315,0,0.0207602223,0,0,0.0492610837,0,0,0,,10.6750670587933,51365960870000,2530342900,6.6366056861,1.3900146955,2.3383128186,-3.2677464206,3062.744579005478,14604.1621473516,0
HDB,2021,5,0,0,0.04437544610505327,0.8771756462266729,0,0,,0,0,,0,0,0,0.4357941244035521,0.2325829919,0,0.0186049754,0,0,0.0,0,0,0,,12.166618907829276,32016285070000,2007290600,5.2976229693,1.1027382207,1.910479592,2.0454528511,3015.766127734569,14463.9948993932,0
HDB,2020,5,0,0,0.04288479361762898,0.703790507972957,0,0,,0,0,,0,0,0,0.3571234116159377,0.2061475034,0,0.0169415123,0,0,0.0,0,0,0,,12.918023799176556,49632985480000,1608848800,11.7087951471,2.1582039901,3.6019608554,1.9884895488,2640.987145591307,14294.2929130444,0
HDB,2019,5,0,0,0.044333244558345086,0.5806350434024319,0,0,,0,0,,0,0,0,0.369850270172384,0.2160932753,0,0.0180472376,0,0,0.0,0,0,0,,11.259307979013514,24917400000000,981000000,6.9315758156,1.3064520087,2.1880421556,-2.7904126557,3674.5830784913355,19441.9694189602,0
HDB,2018,5,0,0,0.09599729976099557,0.4794147582145256,0,0,,0,0,,0,0,0,0.3717236619362038,0.2027090934,0,0.0157946558,0,0,0.0,0,0,0,,12.839054464723969,24917400000000,981000000,8.7827470802,1.5936769195,2.6394558255,1.6134080689,2897.130479102956,15937.9857288481,0
HDB,2017,5,0,0,0.10343560104521236,0.4204703095203959,0,0,,0,0,,0,0,0,0.2739663087169152,0.1623523293,0,0.0115090857,0,0,0.0511811024,0,0,0,,12.828302134289164,24917400000000,981000000,14.2917039244,1.770260443,3.319744321,-64.3898733,1780.3129459734964,14348.1712538226,0
HDB,2016,5,0,0,0.1359759170675242,0.2832547025314946,0,0,,0,0,,0,0,0,0.15778524522881182,0.097757986,0,0.0071228076,0,0,0.0,0,0,0,,15.116128779842542,20574000000000,810000000,27.986810532,2.2082184494,3.7971838015,3.220671911,911.2740740740741,11502.4851851852,0
