time,open,high,low,close,volume
2023-09-11 10:00:00,26.14,26.18,26.0,26.05,14006900
2023-09-11 11:00:00,26.05,26.05,25.91,26.0,3478200
2023-09-11 13:00:00,25.95,26.0,25.59,25.68,13164400
2023-09-11 14:00:00,25.68,25.73,25.23,25.45,17048000
2023-09-12 10:00:00,25.41,25.68,25.36,25.64,7936200
2023-09-12 11:00:00,25.64,25.82,25.55,25.55,1628100
2023-09-12 13:00:00,25.55,26.05,25.45,26.05,6965000
2023-09-12 14:00:00,26.05,26.14,25.91,26.14,6086100
2023-09-13 10:00:00,26.73,26.73,26.32,26.45,24443700
2023-09-13 11:00:00,26.45,26.5,26.36,26.36,2700800
2023-09-13 13:00:00,26.36,26.41,26.18,26.18,9683500
2023-09-13 14:00:00,26.18,26.23,25.68,25.82,12365400
2023-09-14 10:00:00,25.82,25.82,25.45,25.68,11751000
2023-09-14 11:00:00,25.64,25.64,25.45,25.5,1814800
2023-09-14 13:00:00,25.5,25.59,25.36,25.5,9573500
2023-09-14 14:00:00,25.5,25.68,25.23,25.27,11544700
2023-09-15 10:00:00,25.45,25.45,25.27,25.27,6799700
2023-09-15 11:00:00,25.27,25.36,25.18,25.27,1967100
2023-09-15 13:00:00,25.32,25.41,25.18,25.36,6604500
2023-09-15 14:00:00,25.36,25.5,25.09,25.09,9379300
2023-09-18 10:00:00,25.36,25.45,25.27,25.32,10296600
2023-09-18 11:00:00,25.36,25.36,25.18,25.27,838000
2023-09-18 13:00:00,25.18,25.45,25.14,25.27,4179400
2023-09-18 14:00:00,25.27,25.32,24.73,25.09,5577200
2023-09-19 10:00:00,25.23,25.32,25.14,25.14,4799800
2023-09-19 11:00:00,25.14,25.27,25.0,25.18,2856500
2023-09-19 13:00:00,25.09,25.45,25.0,25.27,4925400
2023-09-19 14:00:00,25.27,25.59,25.09,25.59,8451200
2023-09-20 10:00:00,25.59,25.68,25.55,25.59,8354600
2023-09-20 11:00:00,25.59,25.64,25.5,25.55,2480800
2023-09-20 13:00:00,25.55,25.68,25.5,25.64,6779500
2023-09-20 14:00:00,25.64,25.95,25.59,25.82,8985800
2023-09-21 10:00:00,25.82,26.45,25.77,26.32,20551600
2023-09-21 11:00:00,26.36,26.41,26.18,26.18,4083800
