CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
LPB,2024,508330398000000,1162384000000,14369534000000,96455319000000,660321000000,660321000000,0,9137000000,327276218000000,331606315000000,-4330097000000,58080339000000,58080339000000,0,0,548808000000,0,0,548808000000,0,2731787000000,1715789000000,0,1015998000000,0,7036551000000,508330398000000,464992098000000,1271377000000,115349011000000,283171846000000,0,0,55458916000000,9740948000000,43338300000000,25576221000000,5640216000000,0,0,12121863000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25576164000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LPB,2023,382863179000000,2382762000000,14578444000000,35527676000000,580440000000,580440000000,0,0,271972649000000,275430884000000,-3458235000000,46844368000000,46844368000000,0,0,348718000000,0,0,348718000000,0,1949987000000,1170643000000,0,779344000000,0,8656339000000,382863179000000,348745779000000,89576000000,50112429000000,237391609000000,75786000000,0,47909881000000,13166498000000,34117400000000,25576221000000,3696036000000,0,0,4845143000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25576164000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LPB,2022,327745847000000,2983877000000,10323700000000,31967998000000,566280000000,566280000000,0,0,230636976000000,235506871000000,-4869895000000,42007290000000,42007290000000,0,0,315931000000,0,0,315931000000,0,1693198000000,1202795000000,0,490403000000,0,6993113000000,327745847000000,303690693000000,3076781000000,39660022000000,215888025000000,42030000000,0,35048167000000,9975668000000,24055154000000,17291111000000,2860199000000,0,0,3903844000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17291054000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LPB,2021,289193879000000,2751278000000,9867646000000,22438493000000,232521000000,232521000000,0,84831000000,205783434000000,208954136000000,-3170702000000,38689486000000,38706806000000,0,-17320000000,315931000000,0,0,315931000000,0,1584457000000,1092819000000,0,491638000000,0,7445802000000,289193879000000,272392002000000,1702874000000,46281380000000,180276346000000,0,0,36737629000000,7393773000000,16801877000000,12035962000000,2183660000000,0,0,2582255000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12035905000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LPB,2020,242342951000000,3499270000000,6758980000000,13959435000000,279000000000,279000000000,0,218101000000,174356335000000,176621536000000,-2265201000000,33360012000000,33374328000000,0,-14316000000,315931000000,0,0,315931000000,0,1620975000000,1147320000000,0,473655000000,0,7974912000000,242342951000000,228111225000000,224189000000,14745116000000,174525987000000,0,0,32251205000000,6364728000000,14231726000000,10746446000000,1752673000000,0,0,1732607000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10746389000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LPB,2019,202058040000000,1213646000000,6621943000000,11663649000000,0,0,0,87900000000,138802033000000,140522626000000,-1720593000000,34796118000000,34782319000000,359343000000,-345544000000,324731000000,0,0,324731000000,0,1503478000000,1034898000000,0,468580000000,0,7044542000000,202058040000000,189478240000000,287008000000,17533192000000,136847259000000,0,1158625000000,28155937000000,5496219000000,12579800000000,8944772000000,1473387000000,0,0,2161641000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8881441000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LPB,2018,175094532000000,1663726000000,6255784000000,5108151000000,0,0,0,65547000000,117710462000000,119193424000000,-1482962000000,35665848000000,35180371000000,1175212000000,-689735000000,324731000000,0,0,324731000000,0,1462219000000,985638000000,0,476581000000,0,6838064000000,175094532000000,164893640000000,7345046000000,16440956000000,124948075000000,0,1161500000000,10119764000000,4878299000000,10200892000000,7563325000000,1205138000000,0,0,1432429000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7499994000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LPB,2017,163433639000000,892779000000,10939956000000,12352188000000,0,0,0,0,99391852000000,100621236000000,-1229384000000,31863910000000,30934260000000,1715663000000,-786013000000,324731000000,0,0,324731000000,0,1454298000000,998032000000,0,456266000000,0,6213925000000,163433639000000,154050381000000,1331519000000,13538858000000,128275377000000,49120000000,1121250000000,6157131000000,3577126000000,9383258000000,6523331000000,1065944000000,0,0,1793983000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6460000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
LPB,2016,141865255000000,639592000000,12219567000000,9277203000000,0,0,0,19369000000,78705746000000,79676162000000,-970416000000,33246425000000,32496712000000,1553047000000,-803334000000,324731000000,0,0,324731000000,0,1255165000000,828944000000,0,426221000000,0,6177457000000,141865255000000,133533370000000,310737000000,14796745000000,110984894000000,0,1107950000000,4100000000000,2233044000000,8331885000000,6523331000000,867572000000,0,0,940982000000,0,,,,,,,,,,,6460000000000,,,,,,,,,,,,,,,,,63331000000,,0
LPB,2015,107587385000000,480567000000,1885088000000,5423331000000,0,0,0,34196000000,55470066000000,56164794000000,-694728000000,32159897000000,29827164000000,2680135000000,-347402000000,324731000000,0,0,324731000000,0,1172472000000,767451000000,0,405021000000,0,10637037000000,107587385000000,99986865000000,6344833000000,11199634000000,77628984000000,0,1094500000000,2000000000000,1718914000000,7600520000000,6523331000000,713468000000,0,0,363721000000,0,,,,,,,,,,,6460000000000,,,,,,,,,,,,,,,,,0,,0
