CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
LPB,2024,0.0,0.0,0.0,-157154000000,9354751000000,53970591000000,0,-316416000000,-1107524000000,75017000000,-1115178000000,0,0,52538997000000,52020282000000,0,104559279000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53654175000000,118655000000,-200090000000,0,0.0,0.0,0.0,0.0,0,0.0
LPB,2023,0.0,0.0,0.0,-2771000000,11710066000000,3320952000000,0,-557085000000,-428246000000,49345000000,-419160000000,5000000000000,5000000000000,7344707000000,44675575000000,0,52020282000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763867000000,16163000000,-32787000000,0,0.0,0.0,0.0,0.0,0,0.0
LPB,2022,0.0,0.0,0.0,-91337000000,10352326000000,7942169000000,0,-82507000000,-145140000000,53877000000,-90726000000,2999955000000,2999955000000,10768891000000,33906684000000,0,44675575000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7859662000000,8816000000,0,0,0.0,0.0,0.0,0.0,0,0.0
LPB,2021,0.0,0.0,0.0,-118097000000,5882017000000,10634932000000,0,-176058000000,-354296000000,0,-353625000000,0,0,10105249000000,23801435000000,0,33906684000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10458874000000,12768000000,0,0,0.0,0.0,0.0,0.0,0,0.0
LPB,2020,0.0,0.0,0.0,63806000000,1773683000000,7205595000000,0,-194694000000,-317095000000,275000000,-307581000000,0,0,6703320000000,17098115000000,0,23801435000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7010901000000,439000000,0,8800000000,0.0,0.0,0.0,0.0,0,0.0
LPB,2019,0.0,0.0,0.0,-12859000000,2493352000000,4604203000000,0,-210193000000,-434401000000,275000000,-430028000000,1006472000000,1006472000000,4970454000000,12127661000000,0,17098115000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4394010000000,4098000000,0,0,0.0,0.0,0.0,0.0,0,0.0
LPB,2018,0.0,0.0,0.0,-293459000000,2664471000000,-10311668000000,0,-110793000000,-217078000000,0,-211196000000,652400000000,6395000000,-10627262000000,22754923000000,0,12127661000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10422461000000,5882000000,0,0,0.0,0.0,0.0,0.0,-646005000000,0.0
LPB,2017,0.0,0.0,0.0,-586692000000,2422102000000,2431571000000,0,-36530000000,-340101000000,0,-338079000000,0,-258400000000,1798562000000,20956361000000,0,22754923000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2395041000000,2022000000,0,0,0.0,0.0,0.0,0.0,-258400000000,0.0
LPB,2016,0.0,0.0,0.0,-143672000000,2903203000000,14458868000000,0,-46263000000,-205691000000,0,-204963000000,0,-290700000000,13916942000000,7039419000000,0,20956361000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14412605000000,728000000,0,0,0.0,0.0,0.0,0.0,-290700000000,0.0
LPB,2015,0.0,0.0,0.0,-138637000000,836174000000,-520694000000,0,-50239000000,-209343000000,0,-206720000000,0,-129200000000,-906853000000,7946272000000,0,7039419000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-570933000000,2623000000,0,0,0.0,0.0,0.0,0.0,-129200000000,0.0
LPB,2014,,,,-125076000000,23523000000,-8474304000000,0,-20410000000,-277066000000,0,-574723000000,0,-323000000000,-9392437000000,17338709000000,0,7946272000000,,,,,,,,,,,,,,,-8494714000000,2343000000,-300000000000,0,,,,,-323000000000,
LPB,2013,,,,-1821000000,462151000000,14295531000000,0,-38102000000,-181338000000,0,-180129000000,0,-646000000000,13431300000000,3907409000000,0,17338709000000,,,,,,,,,,,,,,,14257429000000,1209000000,0,0,,,,,-646000000000,
