CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
LPB,2024,34137034000000,0.05512153790618561,9720900000000,0.7445209705386302,34137034000000,-18743291000000,15393743000000,3594134000000,-383135000000,3210999000000,273305000000,43021000000,-1462000000,1246273000000,-308466000000,937807000000,75017000000,19932430000000,-5810443000000,14121987000000,-1953819000000,12168168000000,-2447268000000,-2447268000000,0,0,9720900000000,9720900000000,3254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPB,2023,32353651000000,0.28256987215073676,5572246000000,0.23546195745560172,32353651000000,-21150522000000,11203129000000,3905988000000,-340361000000,3565627000000,435098000000,30208000000,-5254000000,490524000000,-143372000000,347152000000,49345000000,15625305000000,-5759872000000,9865433000000,-2826040000000,7039393000000,-1467147000000,-1467147000000,0,0,5572246000000,5572246000000,1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPB,2022,25225644000000,0.20549485172457346,4510253000000,0.5697402382251724,25225644000000,-13325675000000,11899969000000,2096512000000,-434650000000,1661862000000,10463000000,-2769000000,345762000000,334327000000,-133180000000,201147000000,53877000000,14170311000000,-5306893000000,8863418000000,-3173737000000,5689681000000,-1179428000000,-1179428000000,0,0,4510253000000,4510253000000,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPB,2021,20925551000000,0.17104311871490285,2873248000000,0.5431739914109612,20925551000000,-11908392000000,9017159000000,1113896000000,-256014000000,857882000000,138787000000,4543000000,-1384000000,199033000000,-165331000000,33702000000,0,10050689000000,-5090421000000,4960268000000,-1322250000000,3638018000000,-764770000000,-764770000000,0,0,2873248000000,2873248000000,1651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPB,2020,17869155000000,0.09897429545466846,1861908000000,0.16349107060840093,17869155000000,-11148984000000,6720171000000,859823000000,-233022000000,626801000000,62043000000,33650000000,137734000000,257088000000,-66676000000,190412000000,275000000,7771086000000,-4645147000000,3125939000000,-699386000000,2426553000000,-564645000000,-564645000000,0,0,1861908000000,1861908000000,1537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPB,2019,16259848000000,0.1734607745779543,1600277000000,0.6670368236778259,16259848000000,-10198972000000,6060876000000,592483000000,-199072000000,393411000000,63982000000,4070000000,-53806000000,90911000000,-53124000000,37787000000,275000000,6506595000000,-4032180000000,2474415000000,-435591000000,2038824000000,-438547000000,-438547000000,0,0,1600277000000,1600277000000,1306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPB,2018,13856320000000,0.20387367993772948,959953000000,-0.29832408196560745,13856320000000,-8840534000000,5015786000000,331158000000,-178333000000,152825000000,6914000000,0,-4683000000,58200000000,-349597000000,-291397000000,0,4879445000000,-3048068000000,1831377000000,-618436000000,1212941000000,-252988000000,-252988000000,0,0,959953000000,959953000000,1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPB,2017,11509779000000,0.29209379456391893,1368086000000,0.2872638518008329,11509779000000,-6282936000000,5226843000000,190084000000,-125204000000,64880000000,5659000000,14045000000,370117000000,33169000000,-611803000000,-578634000000,0,5102910000000,-2813096000000,2289814000000,-521728000000,1768086000000,-400000000000,-400000000000,0,0,1368086000000,1368086000000,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPB,2016,8907851000000,0.27825481147291625,1062786000000,2.037842040423154,8907851000000,-4884081000000,4023770000000,164177000000,-88112000000,76065000000,137811000000,-324000000,-222440000000,5365000000,-148602000000,-143237000000,0,3871645000000,-2031488000000,1840157000000,-492299000000,1347858000000,-285072000000,-285072000000,0,0,1062786000000,1062786000000,1582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPB,2015,6968760000000,0.13071253406127184,349849000000,-0.24999624836267828,6968760000000,-4348857000000,2619903000000,78543000000,-72498000000,6045000000,-10469000000,-244000000,10959000000,16757000000,-155248000000,-138491000000,0,2487703000000,-1563456000000,924247000000,-502310000000,421937000000,-72088000000,-72088000000,0,0,349849000000,349849000000,524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
