Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
LPB,2024,5,0,0,0.06303401379380363,1.4507602077487092,0,0,,0,0,,0,0.0,0.0,0.6314838437928969,0.2510054134,0,0.0218154624,0,0.0,0.0,0,0,0,,11.72935712752923,85552268580000,2557616400,8.8008588279,1.9740568638,4.2921143373,1.5945127957,3800.7654314384285,16944.8006354667,0
LPB,2023,5,0,0,0.0571552052618312,1.142088321688802,0,0,,0,0,,0,0.0,0.0,0.49738300790788004,0.1915764606,0,0.015683015,0,0.0,0.0,0,0,0,,11.221933060549748,79925512500000,2557616400,14.3435003587,2.342661296,5.1151329526,28.9180023858,2178.6871557439185,13339.5297277575,0
LPB,2022,5,0,0,0.07038815881203671,0.8052521722002753,0,0,,0,0,,0,0.0,0.0,0.379013844489847,0.2207822198,0,0.0146213732,0,0.0,0.0,0,0,0,,13.624766110414425,27233410050000,1729105400,6.8079219114,1.1321237041,1.9218639626,3.464959441,2608.431504522512,13911.9072787581,0
LPB,2021,5,0,0,0.09430238062092705,0.5624469480133798,0,0,,0,0,,0,0.0,0.0,0.318642268590362,0.1851701203,0,0.0108110966,0,0.0,0.0,0,0,0,,17.21199833804283,15767035550000,1203590500,6.0264282229,0.938409176,1.5687517095,1.5075270579,2387.2305406199202,13959.7952958253,0
LPB,2020,5,0,0,0.11389869366512537,0.47641051375763943,0,0,,0,0,,0,0.0,0.0,0.27706259260367033,0.1388886257,0,0.0083794053,0,0.0,0.0,0,0,0,,17.028359806814716,23964447470000,1074638900,15.373544223,1.6838749896,3.0837964565,3.4181694293,1732.5894307380834,13243.2633882879,0
LPB,2019,5,0,0,0.11951525461454077,0.4211118862861998,0,0,,0,0,,0,0.0,0.0,0.2640339449280929,0.1404941518,0,0.0084860988,0,0.0,0.0,0,0,0,,16.06210273613253,19272726970000,888144100,13.8623209053,1.5320376294,2.9620295977,4.386136347,1801.8213485852127,14164.142958333,0
LPB,2018,5,0,0,0.1433422684996567,0.3414773582983676,0,0,,0,0,,0,0.0,0.0,0.191386354999994,0.098033665,0,0.005671333,0,0.0,0.0,0,0,0,,17.164629524555302,16274986980000,749999400,16.9539414742,1.5954474354,3.335417651,-1.5615301396,1279.938357284019,13601.2002142935,0
LPB,2017,5,0,0,0.15498859777701945,0.3141068598777464,0,0,,0,0,,0,0.0,0.0,0.2617423174945182,0.1544538478,0,0.0089622729,0,0.0,0.0460829493,0,0,0,,17.41757916067106,14018200000000,646000000,11.4962430528,1.4939587082,2.7470992042,5.8530104495,2117.780185758514,14525.1671826625,0
LPB,2016,5,0,0,0.15064598227171883,0.2789118911802806,0,0,,0,0,,0,0.0,0.0,0.26412692574376767,0.1334118735,0,0.0085209441,0,0.0,0.0391705069,0,0,0,,17.026789856076988,14018200000000,646000000,13.9557803886,1.6824764144,3.6207348556,0.972634718,1645.1795665634675,12897.6547987616,0
