time,open,high,low,close,volume
2023-09-11 09:15:00,16.46,16.46,16.38,16.42,351600
2023-09-11 09:20:00,16.42,16.42,16.34,16.34,207100
2023-09-11 09:25:00,16.34,16.34,16.25,16.25,135000
2023-09-11 09:30:00,16.25,16.34,16.25,16.29,298600
2023-09-11 09:35:00,16.29,16.34,16.29,16.34,244200
2023-09-11 09:40:00,16.38,16.38,16.29,16.34,219500
2023-09-11 09:45:00,16.34,16.34,16.29,16.34,102700
2023-09-11 09:50:00,16.34,16.34,16.29,16.29,176800
2023-09-11 09:55:00,16.29,16.34,16.25,16.29,117200
2023-09-11 10:00:00,16.29,16.29,16.25,16.29,26800
2023-09-11 10:05:00,16.29,16.29,16.21,16.21,691700
2023-09-11 10:10:00,16.21,16.25,16.21,16.21,61400
2023-09-11 10:15:00,16.21,16.25,16.21,16.25,67400
2023-09-11 10:20:00,16.25,16.29,16.21,16.25,60700
2023-09-11 10:25:00,16.25,16.29,16.25,16.25,37400
2023-09-11 10:30:00,16.25,16.29,16.25,16.29,126100
2023-09-11 10:35:00,16.29,16.29,16.25,16.29,228300
2023-09-11 10:40:00,16.29,16.29,16.25,16.25,56700
2023-09-11 10:45:00,16.25,16.29,16.25,16.29,84900
2023-09-11 10:50:00,16.29,16.29,16.25,16.29,80100
2023-09-11 10:55:00,16.25,16.29,16.25,16.25,134400
2023-09-11 11:00:00,16.25,16.25,16.25,16.25,68900
2023-09-11 11:05:00,16.25,16.29,16.21,16.25,74600
2023-09-11 11:10:00,16.21,16.25,16.21,16.21,274300
2023-09-11 11:15:00,16.21,16.21,16.17,16.21,142300
2023-09-11 11:20:00,16.17,16.21,16.17,16.17,246900
2023-09-11 11:25:00,16.17,16.25,16.17,16.21,57300
2023-09-11 13:00:00,16.21,16.25,16.17,16.17,341700
2023-09-11 13:05:00,16.17,16.21,16.17,16.21,164900
2023-09-11 13:10:00,16.21,16.21,16.17,16.21,68100
2023-09-11 13:15:00,16.21,16.21,16.12,16.12,1047900
2023-09-11 13:20:00,16.12,16.17,16.08,16.08,487700
