CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
MBB,2024,1128801062000000,3349166000000,29825253000000,76785622000000,7931655000000,7931834000000,-179000000,0,765047985000000,776657846000000,-11609861000000,209637377000000,205507956000000,4612504000000,-483083000000,609477000000,0,0,775670000000,-166193000000,5430416000000,3750696000000,0,1679720000000,234115000000,28998487000000,1128801062000000,1011741481000000,8156285000000,110169585000000,714154479000000,191545000000,2793453000000,128964033000000,47312101000000,117059581000000,56295833000000,14996847000000,137797000000,0,40718224000000,0,0,0,0,0,0,0,0,0,0,0,53063241000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1928258000000,0,4910880000000
MBB,2023,944953640000000,3675394000000,66321652000000,46343813000000,44250788000000,44251400000000,-612000000,141294000000,599579267000000,611048830000000,-11469563000000,147923205000000,143010711000000,5387952000000,-475458000000,615785000000,0,0,779587000000,-163802000000,4854186000000,3194404000000,0,1659782000000,240294000000,29218094000000,944953640000000,848242481000000,8738000000,99810466000000,567532577000000,0,2799863000000,126463110000000,51627727000000,96711159000000,54938426000000,12193931000000,45939000000,0,25559753000000,0,0,0,0,0,0,0,0,0,0,0,52140841000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1928258000000,0,3973110000000
MBB,2022,728532373000000,3744100000000,39654541000000,32937210000000,4105550000000,4107470000000,-1920000000,69503000000,448598622000000,460574482000000,-11975860000000,159580028000000,154506192000000,5475361000000,-401525000000,625267000000,0,0,768763000000,-143496000000,5073508000000,3457561000000,0,1615947000000,236177000000,32901134000000,728532373000000,648919154000000,31788000000,65116779000000,443605638000000,0,2002722000000,96578125000000,41584102000000,79613219000000,47596709000000,9288618000000,0,0,19063767000000,0,0,0,0,0,0,0,0,0,0,0,45339861000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387521000000,0,3664125000000
MBB,2021,607140419000000,3475341000000,38051039000000,35983193000000,7575274000000,7582673000000,-7399000000,274294000000,354797094000000,363554778000000,-8757684000000,128806244000000,124551916000000,4677084000000,-422756000000,803208000000,0,0,940840000000,-137632000000,4678447000000,3213906000000,0,1464541000000,268999000000,32425520000000,607140419000000,544654396000000,262281000000,59560384000000,384692155000000,0,1998703000000,66886924000000,31253949000000,62486023000000,39318356000000,7341330000000,0,0,12915149000000,0,0,0,0,0,0,0,0,0,0,0,37783218000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665811000000,0,2911188000000
MBB,2020,494982162000000,3109230000000,17296506000000,47888802000000,3085227000000,3102030000000,-16803000000,37106000000,293942764000000,298296983000000,-4354219000000,99713646000000,96775364000000,3374241000000,-435959000000,885231000000,0,0,1026562000000,-141331000000,4310919000000,3088524000000,0,1222395000000,247898000000,24464833000000,494982162000000,444882667000000,15383000000,50876472000000,310960354000000,0,207341000000,50923563000000,31899554000000,50099495000000,28725680000000,6224836000000,0,0,12955988000000,0,0,0,0,0,0,0,0,0,0,0,27987569000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124945000000,0,2192991000000
MBB,2019,411487575000000,2344291000000,14347180000000,39691364000000,1167809000000,1196887000000,-29078000000,14836000000,247129710000000,250330623000000,-3200913000000,85628999000000,82723727000000,3196877000000,-291605000000,887017000000,0,0,1037453000000,-150436000000,2798062000000,1642003000000,0,1156059000000,30813000000,17447494000000,411487575000000,371601761000000,16836000000,50314052000000,272709512000000,0,302126000000,26288629000000,21970606000000,39885814000000,22718445000000,4936914000000,0,0,10342490000000,0,0,0,0,0,0,0,0,0,0,0,23727323000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27834000000,0,1887965000000
MBB,2018,362325062000000,1736571000000,10548084000000,45061628000000,577672000000,684035000000,-106363000000,0,211474953000000,214685958000000,-3211005000000,73731314000000,70467404000000,3522144000000,-258234000000,728043000000,0,0,931653000000,-203610000000,2699314000000,1586152000000,0,1113162000000,30813000000,15736670000000,362325062000000,328152204000000,2632894000000,60470881000000,239964318000000,5634000000,319963000000,11157638000000,13600876000000,34172858000000,21632348000000,3887135000000,0,0,7123671000000,0,0,0,0,0,0,0,0,0,0,0,21604514000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27834000000,0,1529704000000
MBB,2017,313877828000000,1842032000000,6683682000000,53497402000000,2804525000000,2839964000000,-35439000000,121592000000,182062458000000,184188142000000,-2125684000000,50677071000000,43091877000000,7945077000000,-359883000000,984562000000,0,50061000000,1064147000000,-129646000000,2604460000000,1586633000000,0,1017827000000,92783000000,12507261000000,313877828000000,284276658000000,1847879000000,46101157000000,220176022000000,0,297000000000,6022222000000,9832378000000,29601170000000,18983251000000,3209154000000,0,0,5977328000000,0,0,0,0,0,0,0,0,0,0,0,18155054000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431437000000
MBB,2016,256258500000000,1519952000000,10002478000000,26952799000000,925995000000,1060665000000,-134670000000,53419000000,148687389000000,150737702000000,-2050313000000,53285920000000,46225522000000,8681353000000,-1620955000000,842259000000,0,108761000000,866557000000,-133059000000,2457844000000,1514214000000,0,943630000000,149175000000,11381270000000,256258500000000,229670054000000,0,24712976000000,194812397000000,0,258170000000,2366953000000,7519558000000,26588446000000,17955606000000,2697000000000,0,0,4699337000000,0,0,0,0,0,0,0,0,0,0,0,17127409000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236503000000
MBB,2015,221041993000000,1235658000000,8181894000000,28658950000000,3469067000000,3614309000000,-145242000000,96437000000,119372248000000,121348630000000,-1976382000000,46760198000000,39513026000000,8070136000000,-822964000000,1606122000000,0,362470000000,1464944000000,-221292000000,1931689000000,731085000000,0,1200604000000,298451000000,9431279000000,221041993000000,197858942000000,1411502000000,7509486000000,181565384000000,0,317958000000,2450058000000,4604554000000,23183051000000,16718524000000,2241691000000,0,0,3633134000000,0,0,0,0,0,0,0,0,0,0,0,16000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589702000000
