CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
MBB,2024,0,0,0,822333000000,29963896000000,-17587766000000,0,-348289000000,-2301696000000,52643000000,-2238209000000,1357407000000,8119419000000,-12054845000000,109095118000000,0,97040273000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17936055000000,6927000000,0,3917000000,0,0,0,0,-2643542000000,0
MBB,2023,0,0,0,713381000000,31334445000000,41543992000000,0,-249380000000,-1655386000000,57083000000,-1605413000000,0,1182007000000,40871206000000,68223912000000,0,109095118000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41294612000000,3714000000,-45500000000,34676000000,0,0,0,0,-2266993000000,0
MBB,2022,0,0,0,491344000000,29081781000000,2111915000000,0,-235586000000,-1748106000000,131941000000,-1443168000000,0,2120000000000,2553161000000,65670751000000,0,68223912000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876329000000,2048000000,-100091000000,271040000000,0,0,0,0,0,0
MBB,2021,0,0,0,557087000000,21229572000000,4887643000000,0,-419345000000,-1259868000000,114835000000,-1123881000000,0,0,3344417000000,62326334000000,0,65670751000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4468298000000,7861000000,0,13291000000,0,0,0,0,0,0
MBB,2020,0,0,0,75057000000,15326289000000,14968547000000,0,-228688000000,-823253000000,92511000000,-718782000000,1719922000000,2292984000000,16314061000000,46012273000000,0,62326334000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14739859000000,4739000000,-602000000,7823000000,0,0,0,0,0,0
MBB,2019,0,0,0,162295000000,14987451000000,1099704000000,0,-206821000000,-701576000000,78227000000,-619853000000,432090000000,-1908841000000,-1635811000000,47648084000000,0,46012273000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892883000000,2905000000,-9000000,600000000,0,0,0,0,-1304219000000,0
MBB,2018,0,0,0,495285000000,9228303000000,2914411000000,0,-309759000000,-483966000000,30178000000,-418045000000,0,-1092592000000,1094015000000,46554069000000,0,47648084000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2604652000000,5759000000,-1941000000,31925000000,0,0,0,0,-1092592000000,0
MBB,2017,0,0,0,-1882694000000,7742950000000,24173459000000,0,-170753000000,-502937000000,1192450000000,585511000000,171275000000,-883218000000,23704999000000,22849070000000,0,46554069000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24002706000000,100127000000,-6539000000,-197590000000,0,0,0,0,-1054493000000,0
MBB,2016,0,0,0,-1538408000000,5458308000000,-3342981000000,0,-165843000000,-560725000000,61686000000,377713000000,0,-22185000000,-3153296000000,26002366000000,0,22849070000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3508824000000,289677000000,0,587075000000,0,0,0,0,-22185000000,0
MBB,2015,0,0,0,-1366483000000,5109981000000,2615707000000,0,-168288000000,-287133000000,91679000000,-438540000000,4438347000000,3859933000000,5868812000000,20133554000000,0,26002366000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447419000000,0,-194722000000,0,0,0,0,0,-578414000000,0
