CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
MBB,2024,69061893000000,-0.0011736538699923867,22633757000000,0.09464569642054656,69061893000000,-27909674000000,41152219000000,14602602000000,-10234353000000,4368249000000,2000164000000,1756022000000,2803105000000,3280820000000,0,3280820000000,52643000000,55413222000000,-17007250000000,38405972000000,-9576644000000,28829328000000,-5878064000000,-5888266000000,10202000000,-317507000000,22951264000000,22633757000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBB,2023,69143043000000,0.3173663579788001,20676788000000,0.18269755847697744,69143043000000,-30459195000000,38683848000000,13137624000000,-9052399000000,4085225000000,1209825000000,541566000000,300404000000,3457702000000,-1029591000000,2428111000000,57083000000,47306062000000,-14912941000000,32393121000000,-6087032000000,26306089000000,-5252297000000,-5269869000000,17572000000,-377004000000,21053792000000,20676788000000,3966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBB,2022,52485812000000,0.36451071849028616,17482735000000,0.376910430158127,52485812000000,-16462690000000,36023122000000,14243734000000,-10108166000000,4135568000000,1703960000000,141128000000,1315248000000,3025807000000,-884149000000,2141658000000,131941000000,45592625000000,-14815628000000,30776997000000,-8047677000000,22729320000000,-4574135000000,-4582973000000,8838000000,-672450000000,18155185000000,17482735000000,3856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBB,2021,38464932000000,0.17387831250414093,12697075000000,0.5366814726348987,38464932000000,-12265378000000,26199554000000,12308295000000,-7940917000000,4367378000000,1331468000000,221236000000,1445713000000,4210764000000,-956450000000,3254314000000,114835000000,36934498000000,-12377188000000,24557310000000,-8030051000000,16527259000000,-3305822000000,-3307574000000,1752000000,-524362000000,13221437000000,12697075000000,3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBB,2020,32767393000000,0.0503512818254192,8262659000000,0.05623146677015938,32767393000000,-12489598000000,20277795000000,8228173000000,-4652620000000,3575553000000,785809000000,85086000000,865869000000,2808825000000,-1129275000000,1679550000000,92511000000,27362173000000,-10555457000000,16806716000000,-6118440000000,10688276000000,-2082237000000,-2089420000000,7183000000,-343380000000,8606039000000,8262659000000,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBB,2019,31196604000000,0.2566929305140333,7822773000000,0.2797544593121811,31196604000000,-13196607000000,17999997000000,6420580000000,-3234743000000,3185837000000,647478000000,27480000000,612031000000,2528554000000,-429156000000,2099398000000,78227000000,24650448000000,-9723706000000,14926742000000,-4890623000000,10036119000000,-1967515000000,-1959995000000,-7520000000,-245831000000,8068604000000,7822773000000,3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBB,2018,24824365000000,0.24896017946444626,6112714000000,0.7367505136197671,24824365000000,-10240868000000,14583497000000,5719062000000,-3157752000000,2561310000000,444568000000,151928000000,148561000000,2421246000000,-904167000000,1517079000000,129620000000,19536563000000,-8733802000000,10802761000000,-3035388000000,7767373000000,-1577472000000,-1575157000000,-2315000000,-77187000000,6189901000000,6112714000000,2829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBB,2017,19876026000000,0.2779974533960089,3519627000000,0.2087448910520389,19876026000000,-8657074000000,11218952000000,3222839000000,-2092163000000,1130676000000,201772000000,144445000000,0,1633022000000,-523948000000,1109074000000,62157000000,13867076000000,-5999239000000,7867837000000,-3252111000000,4615726000000,-1125311000000,-1125106000000,-205000000,29212000000,3490415000000,3519627000000,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBB,2016,15552477000000,0.1488332372554483,2911803000000,0.16659101207415244,15552477000000,-7573533000000,7978944000000,1297890000000,-615250000000,682640000000,113354000000,101443000000,0,1019373000000,-142554000000,876819000000,102157000000,9855357000000,-4174668000000,5680689000000,-2030104000000,3650585000000,-767034000000,-766870000000,-164000000,28252000000,2883551000000,2911803000000,1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBB,2015,13537628000000,-0.007833042837901203,2495993000000,0.00808733873485492,13537628000000,-6219098000000,7318530000000,1527970000000,-984132000000,543838000000,159048000000,134034000000,0,611262000000,-86523000000,524739000000,91679000000,8771868000000,-3449129000000,5322739000000,-2102068000000,3220671000000,-708537000000,-707398000000,-1139000000,-16141000000,2512134000000,2495993000000,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
