Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
MBB,2024,5,0.0,0.0,0.046390188258063215,1.9182948311454662,0.0,0.0,,0.0,0.0,,0.0,0,0,0.5500008881659577,0.2147278341,0.0,0.0221349844,0.0,0,0.0,0.0,0.0,0.0,,9.642961749538468,126821145990000.0,5306324100.0,5.6031858074,1.1308302714,2.2886441433,-7.0707380185,4265.430564258221,21134.9135270497,0.0
MBB,2023,5,0.0,0.0,0.050192615311331346,1.5848383775078378,0.0,0.0,,0.0,0.0,,0.0,0,0,0.5345070118153706,0.2388075006,0.0,0.025161599,0.0,0,0.0199203187,0.0,0.0,0.0,,9.770885281190766,130873510910000.0,5214084100.0,6.8554806287,1.4112169958,2.7665272774,3.1692636054,3965.564728808268,17786.0669719539,0.0
MBB,2022,5,0.0,0.0,0.06372695469077817,1.3046486686002405,0.0,0.0,,0.0,0.0,,0.0,0,0,0.48531981764379,0.2555282455,0.0,0.0271850787,0.0,0,0.0268096515,0.0,0.0,0.0,,9.150897076526952,84558840765000.0,4533986100.0,4.8367055135,1.1133620734,1.8546605019,45.0661055524,3855.930436134332,16751.064587516,0.0
MBB,2021,5,0.0,0.0,0.07487189575179076,1.0239795317543186,0.0,0.0,,0.0,0.0,,0.0,0,0,0.4846294330048519,0.2348692307,0.0,0.0239926796,0.0,0,0.0,0.0,0.0,0.0,,9.716419606349406,64609302780000.0,3778321800.0,5.4347125321,1.0845066173,1.7492941905,14.4594883287,3360.506508471565,15767.5386463906,0.0
MBB,2020,5,0.0,0.0,0.08604715476672968,0.8209973201723499,0.0,0.0,,0.0,0.0,,0.0,0,0,0.40747324844737803,0.1912765338,0.0,0.0189880338,0.0,0,0.0,0.0,0.0,0.0,,9.879983061705513,80884074410000.0,2798756900.0,10.4855798014,1.6883735538,2.9560544921,5.4874388154,2952.260341010682,17117.0650798574,0.0
MBB,2019,5,0.0,0.0,0.07015180886116552,0.6536222851526307,0.0,0.0,,0.0,0.0,,0.0,0,0,0.4345985724330954,0.217897615,0.0,0.0208541541,0.0,0,0.0,0.0,0.0,0.0,,10.31663977072149,65961957940000.0,2372732300.0,8.9464532069,1.7359392617,2.6758928657,73.8752534655,3296.947152445305,16014.3851879118,0.0
MBB,2018,5,0.0,0.0,0.07898999843677108,0.5600021485372307,0.0,0.0,,0.0,0.0,,0.0,0,0,0.4191528273362692,0.1941198069,0.0,0.0183078218,0.0,0,0.0215827338,0.0,0.0,0.0,,10.6027146456407,60060548920000.0,2160451400.0,10.4031322253,1.8399125562,3.0742638262,23.0589533343,2829.368899480914,15109.4137086351,0.0
MBB,2017,5,0.0,0.0,0.08798503572662837,0.4850843555202734,0.0,0.0,,0.0,0.0,,0.0,0,0,0.31372154903595273,0.124237012,0.0,0.0122441417,0.0,0,0.0215827338,0.0,0.0,0.0,,10.603561548411768,50471050120000.0,1815505400.0,15.4726288912,1.791676553,3.6396317522,2.1027233396,1938.6485988970344,15516.1934522475,0.0
MBB,2016,5,0.0,0.0,0.09244030282928156,0.435713831318005,0.0,0.0,,0.0,0.0,,0.0,0,0,0.3649358862526169,0.1158715801,0.0,0.0120827489,0.0,0,0.0215827338,0.0,0.0,0.0,,9.637964550466771,47614197020000.0,1712740900.0,17.416835456,1.878128119,4.8313010904,-13.5698447742,1700.0837663186533,14801.9720904662,0.0
