time,open,high,low,close,volume
2023-09-11 10:00:00,82.1,82.1,81.6,81.8,1020100
2023-09-11 11:00:00,81.8,81.8,81.5,81.8,211400
2023-09-11 13:00:00,81.8,81.8,80.8,80.9,724000
2023-09-11 14:00:00,80.9,81.0,79.6,79.6,1053300
2023-09-12 10:00:00,79.8,81.0,79.8,80.5,444100
2023-09-12 11:00:00,80.5,80.6,79.9,80.0,171300
2023-09-12 13:00:00,79.9,80.5,79.7,80.5,399700
2023-09-12 14:00:00,80.5,81.0,80.2,81.0,498000
2023-09-13 10:00:00,81.4,81.4,80.5,81.1,655100
2023-09-13 11:00:00,81.1,81.3,80.7,80.8,62800
2023-09-13 13:00:00,80.8,81.3,80.8,80.9,409400
2023-09-13 14:00:00,80.9,81.0,79.9,80.1,491100
2023-09-14 10:00:00,80.3,80.3,79.6,79.8,469300
2023-09-14 11:00:00,79.8,79.8,79.5,79.7,160300
2023-09-14 13:00:00,79.6,79.8,78.8,79.0,675200
2023-09-14 14:00:00,79.1,79.5,78.3,78.6,505700
2023-09-15 10:00:00,79.2,79.2,78.5,78.5,493600
2023-09-15 11:00:00,78.5,78.7,78.4,78.6,133700
2023-09-15 13:00:00,78.6,80.5,78.4,80.3,552100
2023-09-15 14:00:00,80.4,80.7,79.7,79.7,1135200
2023-09-18 10:00:00,79.0,79.1,78.7,78.7,275200
2023-09-18 11:00:00,78.8,78.8,78.4,78.5,146800
2023-09-18 13:00:00,78.5,78.8,78.4,78.7,228900
2023-09-18 14:00:00,78.7,78.8,78.1,78.5,358700
2023-09-19 10:00:00,78.6,78.7,78.1,78.3,220700
2023-09-19 11:00:00,78.2,78.2,78.0,78.2,117200
2023-09-19 13:00:00,78.2,78.8,78.0,78.5,357700
2023-09-19 14:00:00,78.5,79.4,78.1,79.0,421100
2023-09-20 10:00:00,78.9,79.0,78.8,78.8,432200
2023-09-20 11:00:00,78.8,79.0,78.8,78.9,159800
2023-09-20 13:00:00,78.9,79.5,78.8,78.9,456700
2023-09-20 14:00:00,78.9,79.8,78.8,79.7,1290300
2023-09-21 10:00:00,79.6,79.7,79.3,79.4,614100
2023-09-21 11:00:00,79.4,79.5,79.2,79.3,109300
2023-09-21 13:00:00,79.3,79.5,79.1,79.3,336500
2023-09-21 14:00:00,79.2,79.6,78.6,78.8,434000
2023-09-22 10:00:00,77.4,77.5,75.5,75.5,1070900
2023-09-22 11:00:00,75.7,76.0,75.5,75.9,142000
2023-09-22 13:00:00,75.9,76.3,75.8,75.9,478000
