CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
MSN,2024,53569663000000,18617866000000,607993000000,21864602000000,10787396000000,1691806000000,94015055000000,79200000000,37049770000000,4166000000,35318781000000,0,11447080000000,147584718000000,106832338000000,58712175000000,48120163000000,40752380000000,40752380000000,-8388147000000,9326870000000,0,10510348000000,147584718000000,484488000000,81150000000,11001795000000,0,0,15129281000000,15129281000000,0,38825185000000,196922000000,26724166000000,3588102000000,7170989000000,2932523000000,8445190000000,8524390000000
MSN,2023,43763477000000,10124515000000,6794791000000,11985015000000,13174868000000,1684288000000,103619995000000,0,42885823000000,708670000000,33219467000000,0,12467850000000,147383472000000,109146231000000,50422500000000,58723731000000,38237241000000,38237241000000,-8388147000000,11798056000000,0,11677661000000,147383472000000,725077000000,81150000000,13496602000000,0,0,14308434000000,14308434000000,0,41541894000000,861932000000,28030197000000,4373139000000,7418042000000,2937702000000,11210955000000,11210955000000
MSN,2022,47674624000000,13853100000000,3659175000000,13929560000000,14445345000000,1787444000000,93668191000000,81150000000,43535355000000,729763000000,31333885000000,0,12630578000000,141342815000000,104706076000000,65320877000000,39385199000000,36636739000000,36636739000000,-8388147000000,11381940000000,0,10484103000000,141342815000000,1227666000000,0,14634281000000,0,0,14237248000000,14237248000000,0,30425625000000,566330000000,40567379000000,5068477000000,7259881000000,2853643000000,2032612000000,2113762000000
MSN,2021,43630176000000,22304822000000,332753000000,6634409000000,12813391000000,1544801000000,82463295000000,81150000000,42653939000000,810057000000,24538803000000,0,10560191000000,126093471000000,83756819000000,34547836000000,49208983000000,42336652000000,42336652000000,-8388147000000,18795877000000,0,9525670000000,126093471000000,851052000000,2452812000000,12947923000000,0,0,11805347000000,11805347000000,0,39371918000000,168183000000,18805727000000,3356819000000,6593682000000,0,1797328000000,1878478000000
MSN,2020,29760685000000,7721442000000,447250000000,7051442000000,12497917000000,2042634000000,85975877000000,0,49582187000000,14518000000,20353099000000,0,12159306000000,115736562000000,90706283000000,38874663000000,51831620000000,25030279000000,25030279000000,-8563690000000,2182124000000,0,9092640000000,115736562000000,606656000000,1140000000000,12730397000000,0,0,11746832000000,11746832000000,0,39466043000000,1074932000000,22545046000000,3831500000000,6533670000000,30589000000,1592008000000,1592008000000
MSN,2019,24261892000000,6800528000000,784454000000,5417776000000,9621821000000,1637313000000,73035359000000,0,40791699000000,0,17505857000000,0,9859185000000,97297251000000,45408844000000,30492191000000,14916653000000,51888407000000,51888407000000,-8563690000000,28558952000000,0,9108291000000,97297251000000,1528648000000,0,9690631000000,0,0,11689464000000,11689464000000,0,11675842000000,1178905000000,18340185000000,3985428000000,5633114000000,21646000000,1599646000000,1599646000000
MSN,2018,12499618000000,4585889000000,375848000000,2412555000000,4333191000000,792135000000,52078995000000,0,29203764000000,0,15347915000000,0,3978850000000,64578613000000,30498935000000,15795515000000,14703420000000,34079678000000,34079678000000,-9426958000000,16193388000000,0,4592934000000,64578613000000,707242000000,0,4389589000000,0,0,11631495000000,11631495000000,0,12751649000000,334553000000,9243779000000,519539000000,3164050000000,21646000000,1377124000000,1377124000000
MSN,2017,15144937000000,7417111000000,640069000000,2247100000000,4333097000000,507560000000,48383585000000,96400000000,29829534000000,0,11338355000000,0,3923734000000,63528522000000,43303327000000,15532987000000,27770340000000,20225195000000,20225195000000,-9426958000000,12350048000000,0,5388482000000,63528522000000,277698000000,0,4347552000000,0,0,11573740000000,11573740000000,0,25630003000000,240945000000,9166273000000,632021000000,2990882000000,21646000000,1357561000000,1453961000000
MSN,2016,22876206000000,13148938000000,1771012000000,2277055000000,5389531000000,289670000000,50162832000000,369700000000,29821492000000,0,12240702000000,0,3927344000000,73039038000000,52726413000000,17898443000000,34827970000000,20312625000000,20312625000000,-9426958000000,7015545000000,0,5036469000000,73039038000000,283315000000,0,5416696000000,0,0,7680757000000,7680757000000,0,32472398000000,86812000000,8618340000000,744503000000,2869569000000,21646000000,1447367000000,1817067000000
MSN,2015,16709473000000,8324476000000,293990000000,3126527000000,4417969000000,546511000000,55140227000000,8563114000000,26998134000000,0,9144883000000,0,3085036000000,71849700000000,44740654000000,15005196000000,29735458000000,27109046000000,27109046000000,-9045049000000,8561380000000,0,10494430000000,71849700000000,872866000000,762400000000,4434592000000,0,0,7467179000000,7467179000000,0,27253112000000,139989000000,8366625000000,828677000000,2042622000000,21646000000,1869025000000,10432139000000
