CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
MSN,2024,6024803000000,4132955000000,1362398000000,12608000000,0,-7067273000000,6911415000000,0,11376906000000,-337553000000,-98554000000,2143364000000,628346000000,-6961019000000,-1408359000000,0,-723000000,9525462000000,-3099300000000,34765000000,-40732272000000,32404126000000,-6557257000000,4284306000000,2972095000000,-10693537000000,6411786000000,0,93606481000000,-88611315000000,-14108000000,-1721291000000,0,9671553000000,8503478000000,10124515000000,-10127000000,18617866000000
MSN,2023,2562974000000,4006556000000,407345000000,59093000000,0,-5870297000000,7422409000000,0,8588080000000,452139000000,1076401000000,-442419000000,426228000000,-7902879000000,-816207000000,0,0,500461000000,-2228795000000,17461000000,-28673709000000,20544165000000,-11812000000,708600000000,1820418000000,-7823672000000,71136000000,0,91059079000000,-87324894000000,-15289000000,-243821000000,0,3546211000000,-3777000000000,13853100000000,48415000000,10124515000000
MSN,2022,5147150000000,4406523000000,232844000000,-40984000000,0,-5848866000000,5340053000000,0,9236720000000,-671677000000,-1736144000000,-1432197000000,95094000000,-5070517000000,-903262000000,0,-4697000000,-3788852000000,-4165321000000,23919000000,-11336453000000,4750015000000,-16635561000000,283750000000,632392000000,-26447259000000,-40387000000,0,78059927000000,-54956359000000,-13927000000,-1253082000000,0,21796172000000,-8439939000000,22304822000000,-11783000000,13853100000000
MSN,2021,11488784000000,4631679000000,21659000000,-24706000000,0,-10025168000000,5093022000000,0,11185270000000,-800894000000,-2232630000000,-655218000000,373150000000,-5068896000000,-1652600000000,0,-4269000000,1143913000000,-2805427000000,19279000000,-9264755000000,9235690000000,-5260675000000,13687176000000,734931000000,6346219000000,17363923000000,-9777448000000,60085748000000,-57114898000000,-19537000000,-3442095000000,0,7095693000000,14585825000000,7721442000000,-2445000000,22304822000000
MSN,2020,2324839000000,4583989000000,252266000000,10910000000,0,-3235762000000,4008435000000,0,6603014000000,175576000000,-1116607000000,12219000000,449482000000,-4213385000000,-1029120000000,0,-2014000000,1351299000000,-3678162000000,56309000000,-13414750000000,11438600000000,-27213440000000,-1607289000000,661442000000,-33757290000000,2386092000000,0,87379259000000,-55031426000000,-894000000,-1402069000000,0,33330962000000,924971000000,6800528000000,-4057000000,7721442000000
MSN,2019,7105090000000,2748584000000,109550000000,-6566000000,0,-2404958000000,2010975000000,0,9562675000000,-74463000000,-1629376000000,195972000000,15002000000,-1887876000000,-600760000000,0,-4915000000,5104125000000,-3178433000000,38533000000,-1164820000000,1234248000000,-3465089000000,212130000000,311989000000,-6011442000000,271362000000,0,30211372000000,-26975387000000,0,-390445000000,0,3116902000000,2209585000000,4585889000000,5054000000,6800528000000
MSN,2018,6243824000000,2705218000000,123092000000,8859000000,0,-3738917000000,2888368000000,0,8230444000000,-734186000000,-76765000000,610042000000,-86037000000,-2869402000000,-675981000000,0,-6986000000,4391129000000,-2638466000000,10232000000,-1659260000000,2013981000000,-2308579000000,379736000000,335756000000,-3866600000000,10927861000000,0,23643380000000,-36614844000000,-9026000000,-1304374000000,0,-3357003000000,-2832474000000,7417111000000,1252000000,4585889000000
MSN,2017,4138637000000,2610646000000,169358000000,-9246000000,0,-3386427000000,3548932000000,0,7071900000000,-311192000000,1031669000000,-1032082000000,-27996000000,-3261365000000,-704278000000,0,-197000000,2766459000000,-2111023000000,10763000000,-5348244000000,6752487000000,-522403000000,3874973000000,477399000000,3133952000000,3512651000000,-5877224000000,24017010000000,-30558297000000,-16271000000,-2712948000000,0,-11635079000000,-5734668000000,13148938000000,2841000000,7417111000000
MSN,2016,4446403000000,2379260000000,124986000000,23324000000,0,-1666453000000,3112480000000,0,8420000000000,224311000000,-1025916000000,473569000000,-105699000000,-2958543000000,-895387000000,0,-13734000000,4118601000000,-2920583000000,13292000000,-94467254000000,101946046000000,-25071491000000,218701000000,1116662000000,-19164627000000,15579566000000,-908037000000,29017143000000,-23625559000000,-14155000000,-177474000000,0,19871484000000,4825458000000,8324476000000,-996000000,13148938000000
MSN,2015,3226729000000,1814926000000,144193000000,17866000000,0,-1798838000000,2425305000000,0,5830181000000,89060000000,283372000000,1270210000000,-18263000000,-2318538000000,-1306820000000,0,-6430000000,3822772000000,-3856825000000,6087000000,-62229339000000,57373597000000,-3708222000000,3536943000000,767707000000,-8110052000000,264123000000,0,39553432000000,-31741770000000,0,-640430000000,0,7435355000000,3148075000000,5166415000000,9986000000,8324476000000
MSN,2014,2739731000000,1120817000000,64376000000,49068000000,6102000000,-1058012000000,1464722000000,-404953000000,3981851000000,-202202000000,-609978000000,-685798000000,201979000000,-1734103000000,-562747000000,0,-55855000000,333147000000,-2708702000000,32300000000,-26000830000000,24685669000000,-1174308000000,55938000000,434094000000,-4675839000000,507943000000,0,21843111000000,-17202243000000,0,-1336827000000,0,3811984000000,-530708000000,5698563000000,-1440000000,5166415000000
MSN,2013,2013444000000,488632000000,37958000000,18906000000,7521000000,-20839000000,417378000000,-391541000000,2571459000000,-239025000000,-485440000000,47826000000,0,-1351905000000,-830677000000,0,-28160000000,-315922000000,-3840386000000,1573000000,-43831345000000,42325557000000,-639046000000,1061862000000,484084000000,-4437701000000,3452818000000,-3490092000000,11882530000000,-7085664000000,0,-24876000000,0,4734716000000,-18907000000,5718717000000,-1247000000,5698563000000
