CP,Năm,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
MSN,2024,0.06290926885781765,83456446000000,1999059000000,3.774499337226382,4043530000000,-6404706000000,83456446000000,-278726000000,83177720000000,-58521982000000,24655738000000,-7900139000000,4443769000000,-14565375000000,-3916974000000,6760549000000,180026000000,0,-915772000000,-735746000000,6024803000000,-1510936000000,-241483000000,4272384000000,2273325000000,1999059000000
MSN,2023,0.027968421362712464,78516999000000,418695000000,-0.8826197169831421,2405205000000,-6946060000000,78516999000000,-265380000000,78251619000000,-56130507000000,22121112000000,-8129513000000,3895982000000,-14192355000000,-3750002000000,2350429000000,309976000000,0,-97431000000,212545000000,2562974000000,-1288786000000,595739000000,1869927000000,1451232000000,418695000000
MSN,2022,-0.14935546490146256,76380750000000,3566996000000,-0.5834351098146628,2575563000000,-4847702000000,76380750000000,-191525000000,76189225000000,-55154201000000,21035024000000,-6361642000000,4339650000000,-12511539000000,-3854314000000,5222742000000,279707000000,0,-355299000000,-75592000000,5147150000000,-626750000000,233984000000,4754384000000,1187388000000,3566996000000
MSN,2021,0.13850047951446764,89791619000000,8562882000000,5.939227638652752,6799578000000,-4669426000000,89791619000000,-1162852000000,88628767000000,-66493966000000,22134801000000,-5706531000000,3896641000000,-11786338000000,-4064969000000,11273182000000,501150000000,0,-285548000000,215602000000,11488784000000,-1499249000000,111846000000,10101381000000,1538499000000,8562882000000
MSN,2020,1.0317069739525595,78868319000000,1233982000000,-0.7779637902961564,1430663000000,-3770283000000,78868319000000,-1650511000000,77217808000000,-59329111000000,17888697000000,-4556671000000,2640068000000,-13166087000000,-3040896000000,1195774000000,1613262000000,0,-484197000000,1129065000000,2324839000000,-1086193000000,156367000000,1395013000000,161031000000,1233982000000
MSN,2019,-0.014220868937246785,38818747000000,5557571000000,0.13039243184730917,1188183000000,-1866015000000,38818747000000,-1464660000000,37354087000000,-26412939000000,10941148000000,-2200562000000,2182410000000,-3994895000000,-2103408000000,6012876000000,1325350000000,0,-233136000000,1092214000000,7105090000000,-790583000000,50108000000,6364615000000,807044000000,5557571000000
MSN,2018,0.01022341167970353,39378747000000,4916497000000,0.5846050361882563,1901793000000,-2667531000000,39378747000000,-1191130000000,38187617000000,-26306208000000,11881409000000,-3090914000000,1914340000000,-4314253000000,-2015388000000,6276987000000,14708000000,0,-47871000000,-33163000000,6243824000000,-726692000000,104373000000,5621505000000,705008000000,4916497000000
MSN,2017,-0.13569658796896936,38980236000000,3102664000000,0.11149068367482923,1404660000000,-3435322000000,38980236000000,-1359590000000,37620646000000,-25988836000000,11631810000000,-3695584000000,2044230000000,-5290872000000,-1912357000000,4181887000000,17557000000,0,-60807000000,-43250000000,4138637000000,-630961000000,100014000000,3607690000000,505026000000,3102664000000
MSN,2016,0.4397561605281631,45100176000000,2791444000000,0.8882899995400096,769194000000,-3112480000000,45100176000000,-1803112000000,43297064000000,-30366979000000,12930085000000,-3291226000000,979938000000,-4970503000000,-1936381000000,4481107000000,14672000000,0,-49376000000,-34704000000,4446403000000,-892321000000,218415000000,3772497000000,981053000000,2791444000000
MSN,2015,0.9162955593880945,31324871000000,1478292000000,0.36857473228726245,1382303000000,-2407305000000,31324871000000,-696461000000,30628410000000,-20819786000000,9808624000000,-2714701000000,499017000000,-4044357000000,-1664517000000,3266369000000,34513000000,0,-74153000000,-39640000000,3226729000000,-817534000000,118055000000,2527250000000,1048958000000,1478292000000
MSN,2014,0.3502883572750644,16346576000000,1080169000000,1.3939915780141845,1570967000000,-1464722000000,16346576000000,-257940000000,16088636000000,-9489008000000,6599628000000,-1710991000000,0,-2864837000000,-1048358000000,2546409000000,405287000000,-53061000000,-158904000000,246383000000,2739731000000,-958677000000,255988000000,2037042000000,956873000000,1080169000000
MSN,2013,,12105989000000,451200000000,,664121000000,-417378000000,12105989000000,-163456000000,11942533000000,-6943196000000,4999337000000,-606785000000,0,-1981587000000,-889580000000,2185506000000,105808000000,-192781000000,-85089000000,20719000000,2013444000000,-579811000000,-126409000000,1307224000000,856024000000,451200000000
