Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
MSN,2024,5,2.5611887207999997,2.6214993578,0.9091437113611524,2.693609851662434,0.5639775597,2.0811184825,7.926612649399782,76.3979157866,42.1765014298,126.50102986579978,4.7776172457,0.07421926208124002,0.29642238330168225,0.024033587359691994,0.0703874038,0.0580742095,0.013554404,10306344000000,6173389000000,0.0,0.9124114888,0.3171040078,0.6895072104,-0.9638832758287422,3.621499357828917,103635574850000,1512928100,51.8421791703,3.4268720716,1.245953542,10.8798475969,1321.3179132570808,19989.0741668424,14.6091630407
MSN,2023,5,2.9059101047,2.8544483897,1.121572108196823,2.5273667220906053,0.5420470703,1.8109361805,11.767510458779634,91.4633845638,45.0344123473,148.26530736987965,3.9906679787,0.05340151492584454,0.2826920680069252,0.005350624119355282,0.0158860709,0.0387606056,0.0029002901,8185311000000,4178755000000,0.0,0.8679354852,0.2837536616,0.5214454658,-0.6016007635983565,3.854448389725608,100159038000000,1430843400,239.2171819582,3.771107751,1.2799612235,200.1335528643,292.62112122123216,18562.185072105,19.4991508569
MSN,2022,5,2.7682220571,2.8579529417,1.188297763073291,2.4215783496125947,0.5697747762,1.7679510172,12.49425099153737,91.2668869956,51.3177911869,155.07892917403737,3.9992598851,0.06128387577114743,0.2760892239027238,0.04681759133263266,0.1209897262,0.0433817908,0.0266754826,9075694000000,4669171000000,0.0119402985,0.729852785,0.2626307666,0.4758789751,-0.9631720349146874,3.857952941717875,95389561600000,1423724800,26.7422676112,3.6474167116,1.2520085563,-25.1763757465,2505.397110452807,18369.1651645037,16.8063693642
MSN,2021,5,2.3041397558,1.9783524451,1.0074943809916759,2.798325469913759,0.7329839549,1.9217799108,9.352949336404736,70.4769723015,40.7728768201,120.60279845800474,5.178996601,0.07089677779224887,0.24974736475799106,0.09661515430988676,0.2542161821,0.0625134353,0.0708173579,10915173000000,6283494000000,0.0129032258,1.2628917192,0.6456213929,0.8376568362,-1.345667326133876,2.9783524450634404,109789727100000,1180534700,12.8215858983,3.3461274368,1.2387595001,95.9773401474,7253.39289052664,27793.3228053356,13.3449602769
MSN,2020,5,4.0541750254,3.623862243,1.980888307317709,1.6544262225729967,0.7249347595,1.7088522231,7.805147680441788,68.968463222,38.5329777232,115.30658862564178,5.2922739314,0.021778836301595092,0.23166543396310862,0.015980536510438112,0.0320853635,0.019320859,0.0115848464,6265703000000,1681714000000,0.0,0.7655548037,0.1986240241,0.3800131721,-0.44604450116874517,4.623862243005761,200870827200000,1174683200,162.7826234094,12.6035498232,2.6013536567,148.6501708356,1050.4806742788182,13567.6061426604,40.7233592464
MSN,2019,5,0.8034910187,0.8751250352,0.7861428276262171,3.4296677711159447,0.4615152139,1.0673288067,13.503600556491246,97.2871723968,57.8417649774,168.63253793069126,3.7517793046,0.1296469915059094,0.29290363862995766,0.1487808014153846,0.1292938187,0.0591279954,0.0686646034,7591429000000,4842845000000,0.0141843972,0.7956755879,0.2385090006,0.4161864918,-2.595287283328376,1.8751250351547697,164821442400000,1168946400,29.657100629,3.8527581926,4.4124071992,32.2918115054,4754.342029711542,36597.1579193024,24.7696370999
MSN,2018,5,1.0195834891,0.8949302573,0.8569260542895974,2.2525643018219674,0.5961825155,1.2937653255,13.11943856038853,60.6141422017,33.9156217422,107.64920250428854,6.0216970288,0.14538136799685616,0.31113250664475867,0.12874584449718346,0.181070196,0.0990059297,0.0767560214,8256986000000,5551768000000,0.0,0.7913396936,0.2903285521,0.4430652625,-2.081238418597572,1.8949302572635809,164004079500000,1163149500,33.3579130629,5.5619596216,4.2946926879,37.3489550182,4226.883130672369,25350.7773506329,21.9709248023
MSN,2017,5,2.9876734934,2.1410585658,1.4748700321554378,1.3368246100913321,0.5509455686,1.2613578851,12.21336264399313,68.5669515941,33.0007150955,113.78102933359314,5.3232642186,0.11771677179599734,0.3091868757383911,0.0824723743446617,0.1530750297,0.0804882334,0.0454377892,7039227000000,4428581000000,0.0,0.9750176833,0.4775070629,0.6221733785,-1.2891312662975989,3.1410585658135806,163189734000000,1157374000,52.5966504913,10.9990490481,4.3377706486,58.9886689085,2680.7790740071923,12819.2900479879,27.072418463
MSN,2016,5,3.6215474859000003,2.5957458969,1.4681259561479623,1.3426034703525205,0.5976594813,1.5240179159,9.163461637951288,59.2044424307,30.11265304,98.48055710865128,6.1650779066,0.13911338191430256,0.29863653110520383,0.06447190045034,0.1177286224,0.0980923634,0.0385322426,8402461000000,6023201000000,0.0078014184,1.2781115095,0.7346414434,0.861862286,-1.9351774147946332,3.5957458969483267,108298673700000,768075700,38.7966492253,7.0893930188,2.5012937067,26.2950146664,3634.3344803122923,19888.867724887,16.2143535924
