time,open,high,low,close,volume
2023-09-11 10:00:00,54.96,55.76,54.57,55.36,3358200
2023-09-11 11:00:00,55.36,55.56,55.16,55.36,532100
2023-09-11 13:00:00,55.36,55.56,54.86,55.16,1860600
2023-09-11 14:00:00,55.16,55.26,53.37,54.07,2706700
2023-09-12 10:00:00,54.17,54.37,54.07,54.27,1321600
2023-09-12 11:00:00,54.27,54.57,54.07,54.17,586300
2023-09-12 13:00:00,54.17,54.76,54.07,54.76,1338600
2023-09-12 14:00:00,54.76,55.36,54.57,55.36,1547800
2023-09-13 10:00:00,56.65,57.54,55.95,57.44,6905000
2023-09-13 11:00:00,57.44,58.83,57.14,58.34,3041100
2023-09-13 13:00:00,58.43,58.63,57.74,58.04,2996800
2023-09-13 14:00:00,58.04,58.14,56.55,57.05,3108100
2023-09-14 10:00:00,57.44,57.64,56.85,57.34,2972300
2023-09-14 11:00:00,57.44,57.44,57.05,57.05,559300
2023-09-14 13:00:00,57.14,57.54,56.65,57.54,2821800
2023-09-14 14:00:00,57.54,58.04,56.75,56.85,2085600
2023-09-15 10:00:00,56.45,56.75,55.66,55.76,2414500
2023-09-15 11:00:00,55.76,55.95,55.26,55.56,1339400
2023-09-15 13:00:00,55.46,55.95,54.96,55.66,2827300
2023-09-15 14:00:00,55.56,55.95,55.16,55.46,1257700
2023-09-18 10:00:00,54.47,54.57,53.97,54.07,2813000
2023-09-18 11:00:00,54.07,54.66,54.07,54.27,505200
2023-09-18 13:00:00,54.27,54.66,53.87,54.37,1557600
2023-09-18 14:00:00,54.37,54.66,53.67,54.57,1734400
2023-09-19 10:00:00,54.27,54.27,53.28,53.47,3025500
2023-09-19 11:00:00,53.37,53.47,52.58,53.28,2016900
2023-09-19 13:00:00,53.28,54.37,53.18,53.77,1647400
2023-09-19 14:00:00,53.67,55.06,53.37,55.06,2146100
2023-09-20 10:00:00,55.16,55.16,54.66,54.86,2218700
2023-09-20 11:00:00,54.86,55.16,54.86,55.06,521700
2023-09-20 13:00:00,54.96,55.76,54.76,55.36,2726400
2023-09-20 14:00:00,55.36,55.46,55.06,55.36,1368000
2023-09-21 10:00:00,54.86,54.86,54.17,54.27,3111900
2023-09-21 11:00:00,54.27,54.47,54.17,54.17,1040500
2023-09-21 13:00:00,54.27,54.37,53.77,54.17,2783200
2023-09-21 14:00:00,54.17,54.27,53.77,53.77,2565300
2023-09-22 10:00:00,52.68,52.68,50.89,51.19,6968600
2023-09-22 11:00:00,51.19,51.99,51.19,51.39,738200
2023-09-22 13:00:00,51.39,52.28,51.09,51.99,2373300
2023-09-22 14:00:00,51.99,52.98,51.69,51.69,1724700
2023-09-25 10:00:00,51.69,52.38,51.39,52.18,1572400
2023-09-25 11:00:00,52.18,52.18,51.99,52.09,318900
2023-09-25 13:00:00,52.09,52.18,51.39,51.49,1502300
2023-09-25 14:00:00,51.49,51.49,49.51,50.6,4299800
2023-09-26 10:00:00,50.4,51.19,50.3,50.7,3365900
2023-09-26 11:00:00,50.7,50.99,50.3,50.4,535800
2023-09-26 13:00:00,50.4,50.89,50.3,50.89,2027600
2023-09-26 14:00:00,50.89,51.19,50.3,51.09,2342100
2023-09-27 10:00:00,50.6,50.7,50.3,50.4,1415300
2023-09-27 11:00:00,50.4,50.6,49.8,50.2,769300
2023-09-27 13:00:00,50.1,51.29,50.1,50.89,1216500
2023-09-27 14:00:00,50.99,51.59,50.89,51.59,1503300
2023-09-28 10:00:00,53.18,53.18,52.38,52.58,5518700
2023-09-28 11:00:00,52.88,52.88,52.48,52.68,461500
2023-09-28 13:00:00,52.58,52.98,52.09,52.48,1640800
2023-09-28 14:00:00,52.48,52.78,52.09,52.58,1288300
2023-09-29 10:00:00,52.48,53.28,52.48,52.68,2478900
2023-09-29 11:00:00,52.58,52.68,52.38,52.58,197000
2023-09-29 13:00:00,52.58,52.68,52.28,52.38,1094700
2023-09-29 14:00:00,52.38,52.68,52.18,52.18,1175300
2023-10-02 10:00:00,52.38,52.38,51.99,51.99,1386900
2023-10-02 11:00:00,51.99,52.18,51.99,52.09,165100
2023-10-02 13:00:00,52.09,52.09,51.39,51.49,1743500
2023-10-02 14:00:00,51.49,51.89,51.49,51.49,912100
2023-10-03 10:00:00,49.7,50.1,49.21,49.21,4021700
