CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
MWG,2024,65836422620040,4897331540730,29324441756320,8825896224771,22244676326705,544076771514,4601353101564,0,3586628664045,0,242035797830,0,358454413877,70437775721604,42316198897749,42316198897749,0,28121576823855,28121576823855,0,12582145266842,0,364020651398,70437775721604,115888383111,6037714596101,22667774012643,0,0,14622441770000,14622441770000,0,0,90966314915,27300246721779,0,68471833530,0,389707802472,389707802472
MWG,2023,51950337976047,5365704857172,18937008073823,5158853337785,21824235626176,664536081091,8160899236677,9244973329,6500135608914,0,746632252729,0,452067531470,60111237212724,36751679245386,30765260553972,5986418691414,23359557967338,23359557967338,0,8160323595574,0,13401030472,60111237212724,95981093251,2085917697638,22028684523096,0,0,14633767160000,14633767160000,0,5985250000000,88995836420,19128541817781,245567488471,105411103799,0,448325013301,457569986630
MWG,2022,44577607228189,5061020547422,10069249605640,3000817466182,25696077735282,750441873663,11256488385860,9744723329,9727502911440,0,231034840000,0,670590081979,55834095614049,31901514096473,26000264096473,5901250000000,23932581517576,23932581517576,0,8723934226370,0,14508097130,55834095614049,403669438496,16917697638,26058131396686,0,0,14638792800000,14638792800000,0,5901250000000,97659957856,10688138631456,306959360590,175104437161,0,493741850234,503486573563
MWG,2021,51955257770657,4142015762555,14236626334707,3162121971586,29167232293922,1247261407887,11016147044285,0,9647168873232,0,0,0,806891052417,62971404814942,42593158815096,42593158815096,0,20378245999846,20378245999846,0,12674574164065,0,11838029496,62971404814942,390738782756,961917697638,29850068817719,0,0,7130654950000,7130654950000,0,0,98379250626,24647474278786,368351232709,88371396963,0,482389179464,482389179464
MWG,2020,37317233970267,7347857397925,8057318821918,1595251018496,19422177452674,894629279254,8713645982187,0,7294961666136,0,52757540273,0,793813155551,46030879952454,30549190106022,29422513439369,1126676666653,15481689846432,15481689846432,0,10389683597845,0,9280633826,46030879952454,287913331552,80000000000,19926363502365,0,0,4532099870000,4532099870000,0,1126676666653,86907353149,15625180321924,429743104828,76720247019,0,439493257757,439493257757
MWG,2019,35011896908246,3115236816468,3137000000000,1815085561979,25745428436580,1199146093219,6696198636637,0,5403776988921,0,56464479744,0,773963131188,41708095544883,29564503350530,28442366683873,1122136666657,12143592194353,12143592194353,1130494084,7149694161602,0,7786065614,41708095544883,195016846986,0,26195934673884,0,0,4435461780000,4435461780000,0,1122136666657,81194129529,13031015620192,491134976947,104029473910,0,374563598474,374563598474
MWG,2018,23371994756394,3749550258212,50922451739,1542529736073,17446005298981,582987011389,4750536730462,0,3333147659602,0,59937763115,0,786843665206,28122531486856,19139496155514,17929433003626,1210063151888,8983035331342,8983035331342,1130494084,3989603910055,0,6249443319,28122531486856,21007291749,0,17821137643753,0,0,4434961780000,4434961780000,0,1208167140389,38061594053,5836454637089,552526849066,84768088475,0,313775645332,313775645332
MWG,2017,18862861306281,3410983351393,0,2765847815554,12050162650982,635867488352,3959802908939,0,3463657994935,0,0,0,218571537101,22822664215220,16913747880005,15713814885175,1199932994830,5908916335215,5908916335215,1130494084,2698572748459,0,2776252251,22822664215220,117942038760,84700000000,12309955461929,0,0,3169884370000,3169884370000,0,1199932994830,22475498439,5603505990526,0,97701063493,0,242115970118,242115970118
MWG,2016,12288439407269,996983462012,0,1410642874572,9370731749778,510081320907,2565823825722,0,2096126249031,0,0,0,209591839137,14854263232991,11012905506628,11012905506628,0,3841357726363,3841357726363,1130494084,2261763398339,0,2316030154,14854263232991,315210181153,0,9513657569828,0,0,1539509270000,1539509270000,0,0,20044459341,4788991746757,0,123544885549,0,179685175407,179685175407
MWG,2015,6176432326364,343872968705,0,636322979955,4932684842299,263551535405,1089329907510,0,849146989686,0,0,0,84864286742,7265762233874,4782209545548,4782209545548,0,2483552688326,2483552688326,1130494084,977630195800,0,1638854656,7265762233874,218453419175,0,5009708492628,0,0,1468889740000,1468889740000,0,0,19297585840,2052945972681,12525860700,56933695976,0,112464049268,112464049268
MWG,2014,2837686622393,212920620191,0,296735549237,2195306348135,132724104830,569512868791,0,434419261598,0,0,22546549264,112547057929,3407199491184,1923190326673,1923190326673,0,1474956147637,1474956147637,1130494084,317840559767,0,0,3407199491184,90846398087,0,2253516929935,5217189550,0,1119567790000,1119567790000,0,0,8353792068,618690305273,0,25459480409,0,0,0
MWG,2013,1909084643229,304733768468,0,247310873457,1288949605087,68090396217,322791455377,0,275039772239,0,0,698432896,47053250242,2231876098606,1407239941555,1407239941555,0,800283880305,800283880305,1130494084,538007977935,0,0,2231876098606,37945761587,0,1304678340679,2954626383,0,109567040000,109567040000,0,0,1565912107,513188993447,0,5395418925,0,0,0
